areacd,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E00049317,5.6,0.9,1.3,92.3,0
E00049318,5.6,0,3.5,86.9,4
E00049319,4.5,0.7,3,90.7,1.1
E00049320,5.9,0,0,92.5,1.7
E00049321,3.4,2.4,4.6,89.6,0
E00049322,2.6,3.9,3.6,89.9,0
E00049323,3.7,0,1.7,94.6,0
E00049324,7.7,2.4,1,88.5,0.3
E00049325,5.5,1.5,3.3,88.9,0.7
E00049326,16.5,0.3,4.1,78.1,1.1
E00049327,0.3,1.7,2.8,94.5,0.7
E00049328,8.6,0.9,1.2,89.3,0
E00049329,7,4.7,6.1,80.8,1.5
E00049330,3.5,0.6,0.9,95.1,0
E00049331,4.6,3.2,2.1,90.1,0
E00049332,2.8,3.4,4,89.9,0
E00049333,4.5,4.5,4.2,86.7,0
E00049334,4.8,2.2,3.9,89.1,0
E00049335,4.6,0.3,3.9,91.2,0
E00049336,4,0.3,0.9,94.4,0.3
E00049337,2,0,1.3,96.7,0
E00049338,0,0,3.6,94.6,1.8
E00049339,2.3,2.6,2,92.8,0.3
E00049340,9.4,1.7,5.2,82.9,0.7
E00049341,3,1,1.3,92.5,2.3
E00049342,5.7,0.3,6.3,87.7,0
E00049343,3.9,2.7,3,90.3,0
E00049344,2.8,0,5.3,91.9,0
E00049345,8.5,3.5,0.7,87.3,0
E00049346,2.9,1.8,4.6,90.4,0.4
E00049347,4.1,1.5,4.7,88.2,1.5
E00049348,10.4,0.9,3.3,85.5,0
E00049349,12.7,3.9,0.3,83,0
E00049350,5.4,3.4,2.3,88.2,0.8
E00049351,4.4,0,0.3,95.3,0
E00049352,11.6,0.7,3.6,83.1,1
E00049353,11,2.5,2.1,82.3,2.1
E00049354,9.7,0.6,4.2,85.4,0
E00049355,19.3,2.9,2.6,73.4,1.8
E00049356,24.5,4,8.3,62.9,0.3
E00049357,17.9,0,2.8,79.3,0
E00049358,51.1,2,2,40.2,4.7
E00049359,8,3.3,1.1,87.1,0.5
E00049362,9.5,0,0,90.5,0
E00049438,2.8,0,3.5,93.4,0.3
E00049441,1.5,4.1,11.1,82.2,1.1
E00049442,3.4,3.1,0,93.2,0.3
E00049443,0,2.3,3.1,93.4,1.2
E00049445,3.5,0.7,0.7,94.7,0.4
E00049450,5.1,2.9,2.6,89.4,0
E00049451,0.3,1.7,2.8,94.8,0.3
E00049452,0,2,1.4,96.5,0
E00049453,1.4,0.7,2.7,95.3,0
E00049454,4.8,0,4,90.9,0.3
E00049455,3.2,0,0.7,95.7,0.4
E00049456,1.1,0,3.4,95.4,0
E00049457,2,0.3,3.3,93,1.3
E00049458,4.5,1,0,94.4,0
E00049459,0.3,0.3,0.9,98.2,0.3
E00049462,6.3,1.5,1.8,89.7,0.6
E00049464,0,0,0,100,0
E00049465,6.2,0.6,2.2,91,0
E00049472,0.4,3.8,2.3,93.5,0
E00049478,13.6,0,1.8,84.2,0.4
E00049479,3.8,2.5,0,93.7,0
E00049480,6.9,2.6,5.2,85.3,0
E00049481,2.3,4,9.6,81.8,2.3
E00049483,14.1,2.2,3.6,79.1,1.1
E00049484,11,1,2.3,82.5,3.2
E00049485,7.1,1.5,0.3,89.8,1.2
E00049486,0.8,0,1.9,97.3,0
E00049487,3.4,2.3,1.5,91.2,1.5
E00049488,1.7,0,3,95.3,0
E00049489,15.7,0,2.4,80.2,1.7
E00049490,0,4.5,3.2,92.3,0
E00049492,5.1,0,2.1,92.5,0.3
E00049493,2.1,1.7,3.4,92.4,0.3
E00049494,16.8,3.4,0,79.7,0
E00049495,0.9,0.3,2.2,96.6,0
E00049496,1,1.4,4.5,93.2,0
E00049497,1.4,0,1.1,97.1,0.4
E00049498,2.2,1.5,3.3,92.3,0.7
E00049499,2.2,10,6.3,81.5,0
E00049500,0,0.3,0.7,99,0
E00049501,0,0,1.7,97.9,0.4
E00049502,8.8,0.4,1.6,89.2,0
E00049503,1.4,0,1,97.6,0
E00049504,4.2,0,0,95.8,0
E00049505,4.6,2.7,0.4,92.3,0
E00049506,1.2,1.2,8.6,87.2,1.8
