geography_code,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00082142,8.7,42,34.1,15.2
E00082143,5.9,41.6,34.7,17.8
E00082145,7.3,35.4,41.7,15.6
E00082146,5.1,35.9,38.5,20.5
E00082147,12.5,43.8,31.3,12.5
E00082148,11.1,32,39.9,17
E00082149,14.2,41.9,32.4,11.5
E00082150,5.4,41.4,45.9,7.2
E00082152,3.2,20.4,57,19.4
E00082153,8.2,28.8,45.2,17.8
E00082154,0.7,34.3,45.5,19.4
E00082155,3.8,36.2,49.5,10.5
E00082156,6.7,44,34.7,14.7
E00082157,4,43,37,16
E00082159,14,39.5,30.7,15.8
E00082160,22.3,29.5,40.2,8
E00082161,12.3,36.8,36,14.9
E00082162,9.1,23.6,54.5,12.7
E00082164,7.9,28.1,45.6,18.4
E00082193,5.3,28,37.3,29.3
E00082194,3.6,27.4,40.5,28.6
E00082195,3.6,26.6,48.2,21.6
E00082199,2.9,29.9,43.1,24.1
E00082201,13.6,48.6,30,7.9
E00082202,35,44.7,14.6,5.7
E00082203,25.1,43,22.3,9.5
E00082204,6.3,27.8,40.3,25.7
E00082205,21.6,40,24,14.4
E00082206,17.9,44.7,30.9,6.5
E00082207,2.9,34.3,44.8,18
E00082208,9.3,45.3,36.6,8.7
E00082209,8.3,35,36.7,20
E00082211,10.9,44.6,30.3,14.3
E00082212,13.6,45.6,29.9,10.9
E00082213,27,37,20,16
E00082214,8.9,50.4,32.5,8.1
E00082215,9.6,34.8,48.9,6.7
E00082216,8.4,41.1,42.1,8.4
E00082217,49.6,41.6,8,0.9
E00082218,15.1,53.2,22.2,9.5
E00082219,9.2,40.8,38.5,11.5
E00082220,26.9,41,23.1,9
E00082221,8.1,48.6,37.8,5.4
E00082222,7,42.2,39.8,10.9
E00082223,8.7,47.2,37.3,6.8
E00082224,4.4,40.4,34.2,21.1
E00082225,5.7,43.9,43.1,7.3
E00082226,7.1,38.9,36.5,17.5
E00082227,9.4,47,28.2,15.4
E00082416,2.9,38.1,34.3,24.8
E00082417,2.2,34.3,40.9,22.6
E00082419,8.7,36.2,44.9,10.1
E00082420,4.3,33.3,51.4,10.9
E00082421,10.8,39.2,36.7,13.3
E00082422,8.7,46.5,35.4,9.4
E00082423,6.5,33.1,43.5,16.9
E00082424,4.1,37.1,41.8,17.1
E00082425,12.3,28.3,40.6,18.8
E00082426,6.3,38.3,35.2,20.3
E00082430,22.1,50.5,23.2,4.2
E00082431,16.7,53.2,20.6,9.5
E00082432,8.8,41.6,42.5,7.1
E00082433,4.8,48.4,32.5,14.3
E00082434,8.3,47,31.8,12.9
E00082581,8.3,36.4,42.1,13.2
E00082582,10,30.8,43.1,16.2
E00082583,12.2,39.7,35.9,12.2
E00082584,7.6,31.1,37.8,23.5
E00082585,11.8,31.4,34.3,22.5
E00082586,9,31.5,42.3,17.1
E00082587,10.5,45.6,30.7,13.2
E00082588,11.1,42.6,34.3,12
E00082589,8.3,33.8,36.8,21.1
E00082590,48.3,38.3,10.7,2.7
E00082592,31.1,53.3,13.1,2.5
E00082593,42.4,40,13.6,4
E00082594,51.7,41.3,6.3,0.7
E00082595,47.9,37.5,11.5,3.1
E00082596,56.3,36.2,5.7,1.7
E00082597,57.1,35.7,6.4,0.7
E00082598,46.7,40.9,11.7,0.7
E00082599,38,48.8,13.2,0
E00082600,17.6,59.2,19.2,4
E00082601,31.1,58.2,10.7,0
E00082602,33,50.3,14,2.8
E00082603,36.8,48.8,11.2,3.2
E00082604,27.7,46,22.6,3.6
E00082605,51.1,38.7,10.2,0
E00082606,32.4,55.9,10.3,1.5
E00082608,42.1,44.4,11.9,1.6
E00082610,39.1,44.4,15.6,0.9
E00082612,55,38.3,5.6,1.1
E00082613,58.7,30.1,10.5,0.7
E00082615,59.9,35,5.1,0
E00082616,53.1,39,7.9,0
E00082617,41.3,45.3,10.1,3.4
E00082619,65.4,27.6,7,0
E00082620,51.7,38.3,9.4,0.7
E00082621,58.3,31.3,8.3,2.1
E00082623,33.6,54.5,9,3
E00082624,36.8,49.7,11,2.5
E00082625,44.2,42.6,10.1,3.1
E00082626,43.9,36.9,17.8,1.3
E00082627,36,43.9,16.5,3.7
E00082628,30.5,50.4,16.8,2.3
E00082629,35.5,48.8,13.2,2.5
E00082630,44.7,40.7,13,1.6
E00082631,46.1,39,10.4,4.5
E00082632,33.6,39.4,24.1,2.9
E00082634,39.6,44.2,15.6,0.6
E00082635,40.2,32.8,23.8,3.3
E00082636,45.7,42,9.4,2.9
E00082637,36.1,45.1,16.5,2.3
E00082638,41.4,47.4,8.6,2.6
E00082639,27.7,61.4,8.9,2
E00082640,34.2,55.3,10.5,0
E00082641,40.3,41.1,16.3,2.3
E00082642,42.9,45.4,10.1,1.7
E00082643,49.6,37.8,12.6,0
E00082644,18.4,52.6,28.1,0.9
E00082645,31.7,48.3,17.5,2.5
E00082646,37.2,46.5,12.4,3.9
E00082647,23.7,54.3,16.8,5.2
E00082648,19.5,53.9,18.8,7.8
E00082649,23.2,58.7,14.5,3.6
E00082650,26,50.7,17.1,6.2
E00082651,24.7,57.1,17.5,0.6
E00082652,25.7,57.6,16.7,0
E00082654,36.6,44.4,17.6,1.4
E00082655,24.6,54.2,20.3,0.8
E00082656,14,63.3,17.3,5.3
E00082657,20.3,39,29.4,11.3
E00082658,21.2,48.7,25.7,4.4
E00082659,15.7,49,24.2,11.1
E00082661,17.5,59.5,16.7,6.3
E00082662,13.1,51.4,28,7.5
E00082663,26.4,53.8,13.2,6.6
E00082664,17.3,49.6,27.6,5.5
E00082665,27.6,49.6,20.3,2.4
E00082666,12.5,50.9,30.4,6.3
E00082667,19,49.6,23.1,8.3
E00082668,23.9,57,14.8,4.2
E00082669,17.8,50.3,25.5,6.4
E00082670,28.8,44.1,18.9,8.1
E00082671,42,42.6,11.8,3.6
E00082672,17.6,55,26,1.5
E00082673,23.9,56.4,16.2,3.4
E00082674,28.6,55.6,15.1,0.8
E00082675,26.7,52.7,19.1,1.5
E00082676,33.5,55.5,8.5,2.5
E00082677,16.2,52.3,26.9,4.6
