areacd,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E00042043,0,57.1,37.1,5.7
E00042048,0.7,32.6,52.1,14.6
E00042049,0.7,18.6,65.7,15
E00042050,2.2,16.9,65.4,15.4
E00042051,0,37.8,49.6,12.6
E00042055,0,19.6,53.6,26.8
E00042067,0.8,12.6,74.8,11.8
E00042068,0,14.8,58.3,27
E00042069,6.7,14.9,57.5,20.9
E00042070,0,34.8,46.4,18.8
E00042071,4.2,30,53.3,12.5
E00042072,3.7,15.7,67.9,12.7
E00042073,1.6,5.6,56.5,36.3
E00042074,0.9,19.8,67.2,12.1
E00042075,2.9,9.4,69.8,18
E00042076,1.6,9.4,76.6,12.5
E00042077,16.5,39.4,37.6,6.4
E00042078,18.5,47.1,30.3,4.2
E00042079,17.4,22.6,48.7,11.3
E00042080,9.9,57,27.3,5.8
E00042082,6.7,24.2,59.2,10
E00042083,0,4.8,74.2,21
E00042084,17.5,37.5,31.7,13.3
E00042085,22.7,19.5,53.1,4.7
E00042086,6.2,3.1,88.4,2.3
E00042087,0,42.4,55.1,2.5
E00042088,0,22.9,70.2,6.9
E00042089,61.5,13.9,23,1.6
E00042090,16.7,19,58.7,5.6
E00042091,6.3,3.1,83.5,7.1
E00042092,21.9,26.5,37.1,14.6
E00042093,0.8,45.4,52.9,0.8
E00042094,11.6,58.7,27.3,2.5
E00042095,1.7,29.4,62.2,6.7
E00042096,1.8,51.8,38.4,8
E00042097,7.8,25.5,59.3,7.4
E00042099,0.9,21.6,52.6,25
E00042100,0,20.4,75.2,4.4
E00042102,0.6,16.9,70.3,12.2
E00042103,3.1,28.3,66,2.5
E00042106,0.8,8.1,81.3,9.8
E00042125,23.2,55.2,17.6,4
E00042128,25.6,58.4,13.6,2.4
E00042140,0.8,1.7,85.1,12.4
E00042141,0,2.4,84.1,13.5
E00042142,0,13.8,72.4,13.8
E00042143,0,35.2,55.2,9.6
E00042144,0,35.5,48.8,15.7
E00042145,1.8,35.1,43.9,19.3
E00042146,0.8,22.6,55.6,21
E00042148,0.8,15.1,51.3,32.8
E00042149,0.8,3.2,84.7,11.3
E00042150,0,7.7,73.5,18.8
