areacd,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E00096409,10.9,34.3,8.8,43.9,2.1
E00096410,8.9,35.6,6.3,48.9,0.4
E00096411,27.8,40.4,7.6,20.2,4
E00096413,15.2,29,7.8,45,3
E00096414,13,37.5,5.7,41.4,2.3
E00096415,16.7,35.4,6.1,38.8,3
E00096416,11.1,33.2,6.2,45.1,4.4
E00096417,12.2,27.4,5.2,52.6,2.6
E00096418,8.7,33.8,9.1,45.5,2.9
E00096419,12.2,38.5,8,39.4,1.9
E00096420,8.3,34.4,4.1,52.3,0.9
E00096421,23.8,46.7,8.4,20.1,0.9
E00096422,24.3,42.5,4.2,26.2,2.8
E00096423,26.9,44.7,7.3,21,0
E00096424,15.6,33.2,5.9,42.9,2.4
E00096425,16,40.7,6.2,33.3,3.7
E00096426,26,43.8,7.3,19.8,3.1
E00096427,21.4,44.8,9.7,22.2,2
E00096428,32.4,42.9,7.7,15,2
E00096429,22.6,51.3,10,15.8,0.4
E00096430,21.1,39.3,10.9,27.5,1.2
E00096431,23.1,48.1,10.2,16.7,1.9
E00096432,24.5,54.9,6.6,12.1,1.9
E00096433,27.6,42.5,10.7,16.5,2.7
E00096434,28.7,43.7,9.2,15.7,2.7
E00096435,20.7,38,8.3,31,2.1
E00096436,15.1,35.9,5.5,39.4,4.1
E00096437,16.3,38.5,4,40.5,0.8
E00096438,13.7,37.4,5.9,40.4,2.6
E00096439,18.9,37.4,6.3,36.9,0.5
E00096440,10.8,36.5,3.9,47.3,1.5
E00096441,8.8,39.5,2.7,46.3,2.7
E00096442,9.9,34.2,6.1,49.8,0
E00096443,13.8,37.2,4.3,42.3,2.4
E00096444,15.6,37.1,5.3,40.5,1.6
E00096446,7.4,30.3,4.5,55.5,2.4
E00096447,21.3,34.3,7.1,34.7,2.6
E00096448,15.6,38.4,6.8,38.4,0.8
E00096449,16.3,36.8,7.9,35.1,3.8
E00096450,30.7,45.6,6.6,16.6,0.4
E00096451,11.2,41.7,7.4,38.8,0.8
E00096452,13.5,40,6.9,38.4,1.2
E00096453,6.9,27.5,3.4,59.1,3.1
E00096454,13.8,35.8,8.3,40.8,1.4
E00096455,26.3,26,5.3,38.4,4
E00096456,21.5,36.8,6.5,32.8,2.4
E00096457,7.3,31.2,5.6,54.5,1.3
E00096458,9,32.1,4.2,54.7,0
E00096459,16.4,36.3,8,37.4,1.9
E00096460,21.5,24.6,3.2,49.9,0.9
E00096461,26.5,33.7,6.6,29.1,4.1
E00096462,16.5,36.1,8,34.5,4.8
E00096463,19.3,35.9,8.9,31.3,4.7
E00096464,8.4,34.8,5.7,49.3,1.8
E00096465,11.4,33.1,6.3,47.6,1.6
E00096466,20.3,46,9.2,23.8,0.6
E00096467,31.2,42.5,7.5,17.2,1.6
E00096468,35.3,34.9,6.7,21,2.1
E00096469,30,44.2,6.8,17.4,1.6
E00096470,18.8,39.9,7.3,32.4,1.6
E00096472,13,34.2,5.6,46.5,0.7
E00096474,16.1,24,3.5,53.1,3.1
E00096475,8.8,25.8,6,56.2,3.2
E00096477,14.8,27.8,4.3,52.2,0.9
E00096478,8.9,30.7,6.4,51.8,2.2
E00096479,10.1,39.1,5.5,44,1.2
E00096480,10,32.4,4.3,50.2,3
E00096481,20.6,35.5,7.9,33.3,2.6
E00096482,10,32.1,6.6,50.7,0.7
E00096484,8.6,34.7,5.3,49,2.4
E00096485,23.4,49.5,4.7,17.8,4.7
E00096486,10.3,33.8,5.9,46.6,3.4
E00096488,14.5,36.8,7.2,40.1,1.3
E00096490,16.6,43.2,10.9,26.6,2.6
E00096491,19.9,38.6,8.7,29.9,2.9
E00096492,19.2,39.5,7.3,29.4,4.5
E00096493,21.2,43.2,11,22,2.5
E00096494,26.3,42.1,6.1,18.4,7
E00096495,19.5,39.7,4.8,31.8,4.1
E00096497,16.2,44.4,6.6,29.7,3.1
E00096498,28.4,37.8,10.4,21.6,1.8
E00096499,13.6,50,8.5,28,0
E00096500,19.2,43.3,4.6,32.5,0.4
E00096501,24.7,42.8,6.7,22.3,3.5
E00096502,29.7,39.7,9.6,19.7,1.3
E00096503,24.1,38.9,9.8,23.8,3.4
E00096504,25.6,46.2,9,17.1,2.1
E00096505,16.3,48.6,10.6,22.9,1.6
E00096506,14.2,48,9.1,25.2,3.5
E00096507,26.9,36.1,12,22.2,2.8
E00096508,27.9,48.1,7.3,13.7,3
E00096509,34.7,36.6,6,16.6,6
E00096510,31.6,47.9,3.8,14.5,2.1
E00096511,33,42.7,5.5,14.7,4.1
E00096512,36.3,39.6,7.5,14.6,1.9
E00096513,26.6,51.9,9.3,10.7,1.4
E00096514,18.6,43.4,6.9,27.4,3.6
E00096515,22.7,49,7,20.6,0.8
E00096516,39.1,37,7.7,13.6,2.6
E00096517,37.1,44.5,5.7,10.6,2
E00096518,43,39.8,7.6,8.4,1.2
E00096519,38.6,45.1,7.3,6,3
E00096520,34.2,47.7,6.4,9.8,1.9
E00096521,35.3,42.5,5.3,14,2.9
E00096522,27,45.6,7.8,15.7,3.9
E00096523,36.9,37.3,7.4,14.7,3.7
E00096524,21.8,56.8,5,13.2,3.2
E00096525,18.9,46.4,9.8,21.1,3.8
E00096541,26.9,40,7.4,21.7,4
E00096542,18.4,39.6,6.3,35.7,0
E00096543,23.2,41,6,26.2,3.6
E00096544,26.3,38.9,8.5,21.5,4.8
E00096545,16.4,44.5,4.6,33,1.4
E00096546,15.2,32.6,4.9,46.9,0.4
E00096547,13.5,40.9,6.8,37.1,1.7
E00096548,22.3,35.6,7.9,29.7,4.5
E00096549,10.2,37.8,8,40,4
E00096550,11.4,30.1,5,50.2,3.2
E00096551,14.8,37.7,3.1,43.2,1.2
E00096552,11.2,40.2,4.9,41.5,2.2
E00096553,17,36.2,4.8,41.5,0.5
E00096554,21.6,43.1,7.1,27.1,1.1
E00096555,19.8,44.7,9.9,24.6,1
E00096556,13.1,48.2,6,29.8,3
E00096557,18.7,39.8,8.3,31.5,1.7
E00096558,26,33.6,11.7,25.6,3.1
E00096559,31.3,31.7,8.7,26.1,2.2
E00096560,24.4,37.3,6.5,30,1.8
E00096561,10.9,33.9,6.9,46.6,1.7
E00096562,12,26.2,3.8,53.6,4.4
E00096563,11.7,36.7,6.9,41.5,3.2
E00096564,16.1,37,8.1,36.4,2.4
E00096565,18.2,34,8.9,36.9,2
E00096566,17,42.1,8.9,28.3,3.6
E00096567,25,39.6,7.8,23.5,4.1
E00096568,15.3,37.1,10.9,32.2,4.5
E00096569,18,40.9,8,29.9,3.2
E00096603,28.5,38.7,5.5,25.7,1.6
E00096604,34.7,36.2,9.5,16.1,3.5
E00096605,19,46.8,7.5,24.2,2.4
E00096606,21.8,43.1,4.5,27.7,3
E00096607,28,40.5,6.8,22,2.7
E00096608,20.4,51.2,7.2,17.2,4
E00096609,23.3,38.4,9.6,26.5,2.3
E00096610,16.7,42.4,5.7,33.5,1.6
E00096611,14.3,50.6,7.6,24.9,2.5
E00096612,32.9,36.1,10.1,19,1.9
E00096613,23.1,45.5,4.1,25.9,1.4
E00096652,14.9,41.8,11.3,27.7,4.3
E00096669,23.3,43.8,8.6,21.4,2.9
E00096670,21.2,44.4,8.3,22.2,4
E00096671,20.6,47.7,9.6,20.6,1.4
E00096672,19.7,38.1,10.1,31.7,0.5
E00096673,26.9,36.8,9.9,20.9,5.5
E00096674,22.6,49.6,8.7,17.4,1.7
E00096675,21.8,48.3,9.7,16.8,3.4
E00096676,25.8,42.4,6.5,20.5,4.7
E00096677,21,32.3,8.5,34.3,4
E00096678,25.6,35.8,8.9,28,1.6
E00096679,50.3,30.8,5,10.7,3.1
E00096680,16.9,40,6.2,36.4,0.4
E00096681,21.5,40.8,4.5,30.9,2.2
E00096682,16.8,42.9,7.3,31.9,1
E00096683,22.9,44.4,6,24.8,1.9
E00096684,22,46.3,6.9,22.8,2
E00096685,15.2,42.4,7.9,32.5,2.1
E00096691,19.6,40.5,7.1,30.2,2.7
E00096692,11.8,36.7,9,38.9,3.6
E00096693,18.9,44.5,6.4,26.8,3.4
E00096694,28.2,43.7,5.2,20.1,2.9
E00096695,10.8,38.5,5.9,43.4,1.5
E00096696,13.9,36.3,5.6,41.2,3
E00096697,17.7,33.3,4.8,42.2,2
E00096698,13,37.5,6.3,42.2,1
E00096699,10.4,40.5,6,41.3,1.8
E00096700,13.3,39.4,5.4,40,1.9
E00096701,22.2,43.7,5.2,25.9,3
E00096702,18.6,43.1,5.9,29.7,2.8
E00096703,17.4,44.8,8.7,29.1,0
E00096704,14.5,38.3,8.8,34.8,3.5
E00096705,19.5,40.1,5.9,30.9,3.7
E00096706,19.5,39.3,5.5,34.3,1.4
E00096707,14.2,38.6,5.1,39.7,2.4
E00096708,17.8,39.9,7.4,33.8,1.1
E00096709,16.7,36.3,4.4,40.4,2.2
E00096710,23.1,35.1,6.8,35.1,0
E00096711,27.1,42,8.8,19.8,2.3
E00096712,21.3,40.9,10.2,25.1,2.6
E00096713,21.9,44.4,8,20.9,4.8
E00096714,26.2,43.9,6.4,20.3,3.2
E00096715,40.5,38.4,9.1,8.2,3.9
E00096716,26.2,43.8,5.6,21,3.4
E00096717,30.4,40.9,6.5,17,5.3
E00096718,30,44.9,6.6,15.2,3.3
E00096719,32.4,36.6,3.3,24.5,3.3
E00096720,22.5,41.1,7.4,27.3,1.7
E00096721,21.8,39.3,9.8,26.2,2.9
E00096722,32,42.2,3.9,18.4,3.4
E00096723,26.5,42.2,6.5,20.9,3.9
E00096724,16.2,48.2,7.1,26.4,2
E00096725,30.4,37.3,7.3,24.8,0.3
E00096726,15.1,43.8,7.8,32,1.4
E00096727,23.3,45,10,21.8,0
E00096728,14.9,45.5,6.3,31.4,1.9
E00096975,10.6,45.3,8.2,35.3,0.6
E00096976,20.5,38.9,9.8,29.1,1.7
E00096977,15.2,39.6,6.5,36.1,2.6
E00096978,14.2,34,5.6,42.9,3.4
E00096979,4.9,35.2,6.1,50,3.7
E00096980,28.2,34.7,9.7,27,0.4
E00096981,19.3,43.4,8.4,26.9,2
E00096982,23,41.1,9.1,26.8,0
E00096983,23.4,46.8,7.8,20.2,1.8
E00096984,32.4,43.2,5.4,18.9,0
E00096985,27.2,48,7.1,17.7,0
E00096986,26,37.8,5.5,28.3,2.4
E00096987,11.5,46.4,5.3,35.4,1.4
E00096988,15.5,49.5,6.9,25.8,2.4
E00096990,20.6,39.3,10.9,25.8,3.4
E00096991,13,38.2,6.7,39.1,2.9
E00096992,14.1,42.8,5.4,33.3,4.3
E00096993,14.9,38.6,6.6,36.1,3.7
E00096994,16.5,47.7,6,29.8,0
E00096995,18.8,47.2,11.4,22.7,0
E00096996,16.3,46.6,9,24.4,3.6
E00096997,14.3,46.6,9.2,27.9,2
E00096998,20.8,40.8,8.3,26.8,3.4
E00097000,24.2,40.3,5.5,26.3,3.7
E00097001,30.2,33.3,8,23.9,4.6
E00097002,15.8,45.2,12.4,22.4,4.1
E00097003,37.8,41.3,6.6,12.2,2
E00097004,22.1,51.7,8.2,15,3.1
E00097005,25.5,45.6,4.9,21.1,2.9
E00097006,30.9,41,9,17.1,2
E00097007,37.3,41.8,6.2,13.3,1.3
E00097008,20.3,45.7,7.3,22.7,4
E00097009,21.4,47.5,4.7,24.1,2.4
E00097010,24.2,45.6,6.4,21.5,2.3
E00097011,16.9,46.1,10.5,24.7,1.8
E00097012,16.4,43.9,6.7,30.5,2.6
E00097013,10.7,52.2,6.5,28.2,2.4
E00097014,24,47.5,5.5,18.5,4.5
E00097015,40,37.8,7.8,11.9,2.6
E00097016,21.7,52.2,10,13.9,2.2
E00097017,26.4,39.8,8.3,23.1,2.3
E00097018,28.4,42.6,7.6,19.8,1.5
E00097019,29.1,47.6,11.1,11.6,0.5
E00097020,26.9,49.1,9.7,12.6,1.7
E00097021,15.1,43.8,5.8,32.2,3.2
E00097022,15.6,52.3,9.4,19.1,3.5
E00097023,19.5,47.2,8.2,22.5,2.6
E00097024,26.7,46.7,9.2,13.3,4.1
E00097025,17,49.8,3.6,28.3,1.3
E00097026,25.1,41,8.4,22.3,3.2
E00097027,37,35.5,6,17.7,3.8
E00097028,33.8,42,6.8,15.1,2.3
E00097029,28.9,40.2,5.2,21.6,4.1
E00097030,36.1,37.3,6.7,15.5,4.4
E00097031,25,48.9,9.5,13.4,3.2
E00097032,33.5,42.3,6.3,12.1,5.7
E00097033,28.6,47.3,5.8,15.8,2.5
E00097034,26.3,49.5,9.3,11.3,3.6
E00097050,16.1,41,5.5,33.5,3.9
E00097051,14,38.7,7.9,37.5,2
E00097052,7,39.1,5.2,46.5,2.2
E00097053,14.3,44.7,7.5,32.3,1.1
E00097054,14.1,44,5.5,32.4,4
E00097055,21.3,43,6.5,27,2.2
