areacd,hours_per_week_worked_3a-001,hours_per_week_worked_3a-002
E00096409,34,66
E00096410,28.9,71.1
E00096411,28.6,71.4
E00096413,27.2,72.8
E00096414,35.3,64.7
E00096415,32.1,67.9
E00096416,25.5,74.5
E00096417,33,67
E00096418,33.3,66.7
E00096419,35.4,64.6
E00096420,35.9,64.1
E00096421,36.6,63.4
E00096422,33.9,66.1
E00096423,34.5,65.5
E00096424,37.5,62.5
E00096425,30.1,69.9
E00096426,37.2,62.8
E00096427,29.8,70.2
E00096428,32.8,67.2
E00096429,27.1,72.9
E00096430,35.3,64.7
E00096431,29.9,70.1
E00096432,32.8,67.2
E00096433,37.3,62.7
E00096434,28.6,71.4
E00096435,34.8,65.2
E00096436,31.4,68.6
E00096437,30.9,69.1
E00096438,34.4,65.6
E00096439,35.3,64.7
E00096440,29.1,70.9
E00096441,44,56
E00096442,29.6,70.4
E00096443,27.3,72.7
E00096444,26.6,73.4
E00096446,31.6,68.4
E00096447,28.8,71.3
E00096448,33.8,66.2
E00096449,34.7,65.3
E00096450,28.3,71.7
E00096451,22.7,77.3
E00096452,41.4,58.6
E00096453,33.3,66.7
E00096454,35.9,64.1
E00096455,35.9,64.1
E00096456,32,68
E00096457,34.1,65.9
E00096458,34.2,65.8
E00096459,39.6,60.4
E00096460,26.6,73.4
E00096461,25.6,74.4
E00096462,36.5,63.5
E00096463,39.4,60.6
E00096464,27.9,72.1
E00096465,20.1,79.9
E00096466,29.4,70.6
E00096467,36.8,63.2
E00096468,29,71
E00096469,30.1,69.9
E00096470,31.2,68.8
E00096472,32.3,67.7
E00096474,39.6,60.4
E00096475,45.1,54.9
E00096477,31.9,68.1
E00096478,30.8,69.2
E00096479,27.8,72.2
E00096480,30.2,69.8
E00096481,28.1,71.9
E00096482,27.4,72.6
E00096484,38.3,61.7
E00096485,34.9,65.1
E00096486,40,60
E00096488,45.7,54.3
E00096490,30.2,69.8
E00096491,24.8,75.2
E00096492,29.9,70.1
E00096493,42.9,57.1
E00096494,33.9,66.1
E00096495,28.2,71.8
E00096497,34.8,65.2
E00096498,21.3,78.7
E00096499,33.8,66.2
E00096500,30.4,69.6
E00096501,30,70
E00096502,31.1,68.9
E00096503,24,76
E00096504,26.1,73.9
E00096505,28.2,71.8
E00096506,28,72
E00096507,36.5,63.5
E00096508,28.4,71.6
E00096509,36.1,63.9
E00096510,44.2,55.8
E00096511,30,70
E00096512,41.7,58.3
E00096513,41.8,58.2
E00096514,27.3,72.7
E00096515,30.5,69.5
E00096516,36.6,63.4
E00096517,31.4,68.6
E00096518,39.7,60.3
E00096519,32.8,67.2
E00096520,43.4,56.6
E00096521,35,65
E00096522,36.8,63.2
E00096523,38.3,61.7
E00096524,28.8,71.2
E00096525,27.8,72.2
E00096541,29.9,70.1
E00096542,31.2,68.8
E00096543,34.3,65.7
E00096544,28.3,71.7
E00096545,31.1,68.9
E00096546,41.5,58.5
E00096547,36.5,63.5
E00096548,35,65
E00096549,40.9,59.1
E00096550,33.3,66.7
E00096551,40.4,59.6
E00096552,34.9,65.1
E00096553,28.4,71.6
E00096554,35.8,64.2
E00096555,42.1,57.9
E00096556,35.6,64.4
E00096557,36.8,63.2
E00096558,43.8,56.2
E00096559,34,66
E00096560,31.3,68.7
E00096561,32.6,67.4
E00096562,50.7,49.3
E00096563,30.4,69.6
E00096564,33.7,66.3
E00096565,36.4,63.6
E00096566,38.4,61.6
E00096567,33.6,66.4
E00096568,33.7,66.3
E00096569,36.4,63.6
E00096603,31.7,68.3
E00096604,34.2,65.8
E00096605,23.3,76.7
E00096606,30.1,69.9
E00096607,28.2,71.8
E00096608,32.5,67.5
E00096609,31.6,68.4
E00096610,29.4,70.6
E00096611,32.4,67.6
E00096612,27.8,72.2
E00096613,34.5,65.5
E00096652,42.6,57.4
E00096669,26.6,73.4
E00096670,34.7,65.3
E00096671,32.5,67.5
