geography_code,country_of_birth_3a-001,country_of_birth_3a-002
E00110701,91.9,8.1
E00110702,90.6,9.4
E00110706,91.1,8.9
E00118325,86.9,13.1
E00118326,87.1,12.9
E00118327,88.4,11.6
E00118328,80.6,19.4
E00118329,91.5,8.5
E00118330,91.7,8.3
E00118331,87.6,12.4
E00118332,92.4,7.6
E00118333,90.3,9.7
E00118334,87.5,12.5
E00118335,94.2,5.8
E00118336,94.6,5.4
E00118337,87.9,12.1
E00118338,92.1,7.9
E00118339,85.1,14.9
E00118340,91.2,8.8
E00118341,89.1,10.9
E00118342,92,8
E00118343,91.1,8.9
E00118453,95.1,4.9
E00118454,90.1,9.9
E00118455,90.4,9.6
E00118456,92.5,7.5
E00118457,90.7,9.3
E00118458,90.2,9.8
E00118459,96.4,3.6
E00118460,93.3,6.7
E00118461,96.4,3.6
E00118462,90.4,9.6
E00118463,94.2,5.8
E00118465,88.5,11.5
E00118466,91.8,8.2
E00118467,88.8,11.3
E00118468,86,14
E00118469,92.2,7.8
E00118470,88.5,11.5
E00118471,92.3,7.7
E00118472,88.6,11.4
E00118473,88.9,11.1
E00118474,75.1,24.9
E00118476,88.5,11.5
E00118477,91.7,8.3
E00118478,88.8,11.2
E00118479,85.2,14.8
E00118480,90,10
E00118481,85.4,14.6
E00118482,91.9,8.1
E00118483,74.1,25.9
E00118484,85.1,14.9
E00118485,77.1,22.9
E00118486,91.1,8.9
E00118488,75.2,24.8
E00118489,85.2,14.8
E00118490,87.5,12.5
E00118491,68,32
E00118492,80.1,19.9
E00118493,88.1,11.9
E00118494,82.8,17.2
E00118509,86.4,13.6
E00118510,90.1,9.9
E00118512,89.4,10.6
E00118513,88.7,11.3
E00118515,93.2,6.8
E00118516,93.4,6.6
E00118517,88.7,11.3
E00118518,83,17
E00118519,91.1,8.9
E00118521,79.6,20.4
E00118522,90.3,9.7
E00118523,87,13
E00118524,87.9,12.1
E00118525,78.8,21.2
E00118526,72.4,27.6
E00118528,89.1,10.9
E00118529,79,21
E00118530,82.1,17.9
E00118576,82.7,17.3
E00118578,85.8,14.2
E00118579,88.8,11.2
E00118580,88.9,11.1
E00118581,88.6,11.4
E00118582,93.1,6.9
E00118583,86.6,13.4
E00118584,81.9,18.1
E00118585,84.1,15.9
E00118586,89,11
E00118587,85.7,14.3
E00118588,90.3,9.7
E00118589,89.1,10.9
E00118590,82.4,17.6
E00118591,87.7,12.3
E00118592,84.2,15.8
E00118593,78.1,21.9
E00119199,93.4,6.6
E00119200,93.8,6.2
E00119201,86.1,13.9
E00119202,98.4,1.6
E00119203,92.6,7.4
E00119204,96.1,3.9
E00119206,92.7,7.3
E00119207,94.9,5.1
E00119208,96.5,3.5
E00119209,92.5,7.5
E00119210,92.2,7.8
E00119211,85.5,14.5
E00119212,87.2,12.8
E00119213,81.7,18.3
E00119214,87.5,12.5
E00119215,93.4,6.6
E00119216,94.3,5.7
E00119217,92.2,7.8
E00119218,93.2,6.8
E00119219,95.3,4.7
E00119220,91.9,8.1
E00119221,92.5,7.5
E00119222,95.2,4.8
E00119223,96,4
E00119224,89.7,10.3
E00119225,92.2,7.8
E00119226,92.7,7.3
E00119227,90.8,9.2
E00119228,92.6,7.4
E00119229,92,8
E00119230,92.4,7.6
E00119231,90.3,9.7
E00119232,90.6,9.4
E00119233,93.1,6.9
E00119234,90.3,9.7
E00119236,92.1,7.9
E00119237,95.2,4.8
E00119238,90.4,9.6
E00119239,92.3,7.7
E00119240,95.6,4.4
E00119241,94.3,5.7
E00119242,90.7,9.3
E00119244,87.4,12.6
E00119246,88,12
E00119248,83.8,16.2
E00119249,85.7,14.3
E00119250,91.5,8.5
E00119252,89.1,10.9
E00119253,89.2,10.8
E00119254,81.2,18.8
E00119255,88.5,11.5
E00119256,87.2,12.8
E00119257,95.1,4.9
E00119259,95.4,4.6
E00119260,95,5
E00119261,92,8
E00119263,93.4,6.6
E00119264,95.7,4.3
E00119265,96,4
E00119266,89.1,10.9
E00119267,89,11
E00119268,91,9
E00119269,89.7,10.3
E00119270,91.1,8.9
E00119271,90.1,9.9
E00119272,95.1,4.9
E00119273,92.7,7.3
E00119274,92.4,7.6
E00119275,94.5,5.5
E00119276,89.1,10.9
E00119277,92.1,7.9
E00119278,88.2,11.8
E00119279,85.1,14.9
E00119281,90.3,9.7
E00119283,90.4,9.6
E00119284,94.6,5.4
E00119287,94.5,5.5
E00119288,89.1,10.9
E00119289,90.6,9.4
E00119290,92.7,7.3
E00119291,92.9,7.1
E00119292,92.9,7.1
E00119293,84.6,15.4
E00119294,96.2,3.8
E00119295,91.6,8.4
E00119296,89.8,10.2
E00119297,91.1,8.9
E00119298,90.5,9.5
E00119299,87.5,12.5
E00119300,86.2,13.8
E00119301,92.8,7.2
E00119302,80.6,19.4
E00119303,88.3,11.7
E00119304,90.3,9.7
E00119305,91.9,8.1
E00119306,91.7,8.3
E00119307,95.3,4.7
E00119308,90.8,9.2
E00119309,91,9
E00119310,90.3,9.7
E00119311,91.6,8.4
E00119312,87.7,12.3
E00119313,93.5,6.5
E00119314,85.2,14.8
E00119315,88.6,11.4
E00119316,82.3,17.7
E00119400,97.5,2.5
E00119412,91.7,8.3
E00119413,82.3,17.7
E00119415,93.3,6.7
E00119416,96.6,3.4
E00119417,92.4,7.6
E00119418,92.5,7.5
E00119419,85.3,14.7
E00119420,90.1,9.9
E00119421,90.1,9.9
E00119422,92.3,7.7
E00119423,88.4,11.6
E00119424,93.4,6.6
E00119425,84.5,15.5
E00119426,90.4,9.6
E00119427,95.7,4.3
E00119428,73.9,26.1
E00119429,88.1,11.9
E00119430,93.9,6.1
E00119431,87.4,12.6
E00119432,92.1,7.9
E00119433,88.7,11.3
E00119434,92.4,7.6
E00119435,93.9,6.1
E00119436,95.2,4.8
E00119437,96.1,3.9
E00119438,91.7,8.3
E00119439,90.4,9.6
E00119440,91.1,8.9
E00119441,90.2,9.8
E00119442,97.4,2.6
E00119443,92.9,7.1
E00119444,95.1,4.9
E00119445,96.2,3.8
E00119446,93.8,6.2
E00119447,96.1,3.9
E00119448,90.6,9.4
E00119449,95.1,4.9
E00119450,92.9,7.1
E00119451,88.2,11.8
E00119452,84.9,15.1
E00119453,89.8,10.2
E00119454,91.1,8.9
E00119455,93.6,6.4
E00119456,92.3,7.7
E00119457,94.9,5.1
E00119459,89.6,10.4
E00119460,89.8,10.2
E00119461,92.7,7.3
E00119462,93.1,6.9
E00119463,93.9,6.1
E00119464,89.6,10.4
E00119465,90.3,9.7
E00119466,90.6,9.4
E00119467,93.7,6.3
E00119468,93.9,6.1
E00121396,94.4,5.6
E00121423,92.5,7.5
E00121426,81.7,18.3
E00121427,86.3,13.7
E00121430,80.7,19.3
E00121480,93.4,6.6
E00121481,93.9,6.1
E00121583,89,11
E00121585,85.5,14.5
E00121587,85.3,14.7
E00121588,91,9
E00121589,90.6,9.4
E00121610,87,13
E00121611,85.8,14.2
E00121612,87.4,12.6
E00121613,84.9,15.1
E00121614,88,12
E00121615,77.9,22.1
E00121616,85.7,14.3
E00121617,86.4,13.6
E00121618,77,23
E00121619,94,6
E00121620,77.2,22.8
E00121622,87.5,12.5
E00121623,86.8,13.2
E00121624,81.5,18.5
E00121625,88.5,11.5
E00121626,82.7,17.3
E00121627,82.4,17.6
E00121628,79.4,20.6
E00121629,84.7,15.3
E00121630,84.5,15.5
E00121632,81.7,18.3
E00169427,68.9,31.1
E00169429,88.2,11.8
E00169430,92,8
E00169432,84.7,15.3
E00169715,81.6,18.4
E00169716,85,15
E00169717,77.8,22.2
E00169718,56.3,43.7
E00169727,91.5,8.5
E00169728,88,12
E00169729,90.6,9.4
E00169730,88.3,11.7
E00169731,80.1,19.9
E00169732,84.8,15.2
E00169733,81.6,18.4
E00169734,96.5,3.5
E00169735,89.9,10.1
E00169736,93.4,6.6
E00190219,81,19
E00190220,82.8,17.2
E00190223,80.5,19.5
E00190252,85.3,14.7
E00190258,87.5,12.5
E00190261,92.4,7.6
E00190279,93.5,6.5
E00190281,88.3,11.7
E00190291,80.6,19.4
E00190295,92.8,7.2
E00190307,77.4,22.6
E00190309,73.2,26.8
