areacd,disability_3a-001,disability_3a-002
E00057125,18.5,81.5
E00057127,15.1,84.9
E00057133,13.4,86.6
E00057134,9.9,90.1
E00057137,16.5,83.5
E00057145,15.3,84.8
E00057148,16.2,83.8
E00057149,7.7,92.3
E00057150,9.8,90.2
E00057151,14.7,85.3
E00057154,20.4,79.6
E00057155,12.3,87.7
E00057156,21.2,78.8
E00057157,12.9,87.1
E00057158,17,83
E00057161,23.9,76.1
E00057163,13.4,86.6
E00057164,26.3,73.7
E00057165,16.9,83.1
E00057171,17.7,82.3
E00057172,26.8,73.2
E00057173,21.6,78.4
E00057175,17.5,82.5
E00057176,11.3,88.7
E00057182,35.5,64.5
E00057186,22.5,77.5
E00057188,10.7,89.3
E00057189,12.4,87.6
E00057190,22.5,77.5
E00057191,14.7,85.3
E00057192,17.8,82.2
E00057193,16.8,83.2
E00057194,19.7,80.3
E00057195,15.6,84.4
E00057196,15.1,84.9
E00057197,14.6,85.4
E00057198,14.1,85.9
E00057199,19.4,80.6
E00057200,19.4,80.6
E00057202,15.3,84.7
E00057204,16.7,83.3
E00057205,14.4,85.6
E00057206,20.5,79.5
E00057207,11.2,88.8
E00057208,13.4,86.6
E00057209,13.6,86.4
E00057210,22.3,77.7
E00057211,20,80
E00057212,24.8,75.2
E00057213,15.9,84.1
E00057214,20.2,79.8
E00057215,19.1,80.9
E00057216,16.2,83.8
E00057217,15.5,84.5
E00057218,20.7,79.3
E00057220,16,84
E00057221,20.6,79.4
E00057222,15.1,84.9
E00057223,16.1,83.9
E00057225,11.3,88.7
E00057226,19.7,80.3
E00057227,13.5,86.5
E00057228,17.7,82.3
E00057229,18.2,81.8
E00057230,13.1,86.9
E00057231,11.9,88.1
E00057232,14.9,85.1
E00057233,19.4,80.6
E00057234,22.1,77.9
E00057235,9.6,90.4
E00057236,14.5,85.5
E00057238,16.4,83.6
E00057239,9.3,90.7
E00057240,25,75
E00057241,14.9,85.1
E00057242,17.5,82.5
E00057244,11.2,88.8
E00057245,20.9,79.1
E00057246,30.6,69.4
E00057247,10.1,89.9
E00057248,23.7,76.3
E00057249,9.2,90.8
E00057250,24.2,75.8
E00057251,10.6,89.4
E00057252,18.9,81.1
E00057253,13.8,86.2
E00057341,15.2,84.8
E00057393,21.7,78.3
E00057399,11.2,88.8
E00057401,15.1,84.9
E00057564,18,82
E00057565,15.8,84.2
E00057567,11.5,88.5
E00057568,12,88
E00057570,14.1,85.9
E00057571,10.8,89.2
E00057573,21.7,78.3
E00057574,15.4,84.6
E00057575,9.5,90.5
E00057576,17.4,82.6
E00057577,9.4,90.6
E00057579,9.4,90.6
E00057580,11.7,88.3
E00057581,15.7,84.3
E00057583,10.8,89.2
E00057584,13.6,86.4
E00057585,11.5,88.5
E00057586,12.8,87.2
E00057587,17.6,82.4
E00057590,12,88
E00057591,13.8,86.2
E00057592,17.1,82.9
E00057593,8.1,91.9
E00057594,11.4,88.6
E00057595,8.4,91.6
E00057596,12.2,87.8
E00057597,19.1,80.9
E00057598,23.4,76.6
E00057599,12.2,87.8
E00057600,14.7,85.3
E00057601,13.2,86.8
E00057602,12.8,87.2
E00057603,22,78
E00057604,23.2,76.8
E00057605,13.1,86.9
E00057606,28.1,71.9
E00057607,17.6,82.4
E00057608,12.6,87.4
E00057609,11.8,88.2
E00057610,15.8,84.2
E00057611,8.4,91.6
E00057612,10.3,89.7
E00057613,6.9,93.1
E00057614,11.4,88.6
E00057615,11.3,88.7
E00057616,9.3,90.7
E00057617,12.3,87.7
E00057618,8.9,91.1
E00057626,14.2,85.8
E00057628,15.4,84.6
E00057629,22.3,77.7
E00057630,14,86
E00057631,18.1,81.9
E00057632,18.6,81.4
E00057633,14.7,85.3
E00057634,13.1,86.9
E00057638,17.8,82.2
E00057639,18.7,81.3
E00057641,22,78
E00057642,17.8,82.2
E00057643,13.7,86.3
E00057646,14.4,85.6
E00057647,21,79
E00057648,12.2,87.8
E00057649,12.9,87.1
E00057650,12.5,87.5
E00057651,14.5,85.5
E00057652,12.6,87.4
E00057653,14.7,85.3
E00057654,11.5,88.5
E00057655,12.8,87.2
E00057656,17.2,82.8
E00057657,12.5,87.5
E00057658,10.7,89.3
E00057659,13.9,86.1
E00057660,13.3,86.7
E00057661,14.2,85.8
E00057662,18.6,81.4
E00057663,16.9,83.1
E00057664,11.1,88.9
E00057665,18.7,81.3
E00057666,15.4,84.6
E00057667,17.9,82.1
E00057668,21.4,78.6
E00057669,18.2,81.8
E00057670,21.4,78.6
