geography_code,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E00078250,12.1,21.4,55,11.4
E00112681,15.2,25.2,52.3,7.3
E00112682,12.8,16.3,48.2,22.7
E00112683,14.9,16.5,47.1,21.5
E00112684,14.2,15.9,46.9,23
E00112685,15.4,17.5,50.3,16.8
E00112686,17.2,19.9,43,19.9
E00112687,16.7,17.7,44.8,20.8
E00112688,7.3,10.9,56.4,25.5
E00112695,13.3,22.3,48.8,15.7
E00112753,14.3,20.6,42.9,22.2
E00112754,21.8,13.4,40.3,24.4
E00112755,9,27.9,50,13.1
E00112760,10.2,20.3,47.5,22
E00112761,22.7,20,40.9,16.4
E00112762,17,12.5,58,12.5
E00112764,17.8,24.4,38.9,18.9
E00112765,12.9,21.1,53.8,12.3
E00112766,14.6,16,56.9,12.5
E00112767,17.5,11.1,40.5,31
E00112768,15.4,14.1,61.7,8.7
E00112769,14.8,24.3,55,5.9
E00112770,8.5,24.4,57.3,9.8
E00112771,13,20.5,59,7.5
E00112772,10.1,21.7,60.1,8.1
E00112773,12.9,19.5,60.3,7.3
E00112775,15.9,22.4,51.4,10.3
E00112776,10.1,18.3,60.4,11.2
E00112777,11.1,27.5,52.9,8.5
E00112778,12.2,15.6,61.2,10.9
E00112779,11.2,24.1,56.9,7.8
E00112780,9.7,22.1,57.9,10.3
E00112781,8.6,19,62.6,9.8
E00112783,15.9,14.6,53.7,15.9
E00112784,11.7,20,57.9,10.3
E00112785,9.3,19.8,59.3,11.6
E00112786,9.4,22.8,58.3,9.4
E00112787,14.9,17,53.2,14.9
E00112788,18.6,19.3,53.8,8.3
E00112789,15,18.8,55,11.3
E00112790,16.1,22.6,51.6,9.7
E00112791,14.6,19.8,63.5,2.1
E00112792,15.8,18.5,59.6,6.2
E00112793,12.7,12,58.2,17.1
E00112794,13.7,17.8,58.9,9.6
E00112795,17,18,51.9,13.1
E00112796,20.3,17.4,53.6,8.7
E00112797,9,14.1,65.4,11.5
E00112798,24.1,17.1,46.8,12
E00112799,10.4,22.2,56.9,10.4
E00112800,16.9,18.8,52.5,11.9
E00112801,9.1,21.2,57.6,12.1
E00112802,12.8,16.5,56,14.7
E00112803,15.9,22.7,56.8,4.5
E00112804,14,22.8,53.5,9.6
E00112805,16,18,54,12
E00112806,14.5,20.3,54.1,11
E00112807,16.6,17.2,56.4,9.8
E00112808,20.4,17,51,11.6
E00112809,12.2,18.2,62.4,7.2
E00112810,12.4,26.5,51.2,10
E00112811,5.6,24.6,56.3,13.5
E00112812,9.9,19.8,58.8,11.5
E00112813,18.2,21.4,47.2,13.2
E00112814,14,19.1,60.5,6.4
E00112815,11.4,20.5,59.1,9.1
E00112816,10.6,22.5,57.7,9.2
E00112817,6.9,18.8,65.3,9
E00112818,5.6,21.3,69.4,3.7
E00112819,15.2,17.7,54.3,12.8
E00112820,17.6,14.3,58,10.1
E00112821,5.1,19.6,65.8,9.5
E00112822,11,17.1,67.1,4.8
E00112823,11.6,18.5,64.4,5.5
E00112824,17.2,11.2,56,15.7
E00112825,9.7,22.7,62.2,5.4
E00112826,12.7,15.8,57,14.6
E00112827,14.4,16.1,60.2,9.3
E00112828,14.3,14.3,50.6,20.8
E00112829,7.6,14.1,63.5,14.7
E00112830,16.8,22.6,44.5,16.1
E00112831,16,20.9,46.6,16.5
E00112832,19.4,17.7,43.5,19.4
E00112833,8.7,18.3,52.4,20.6
E00112834,10.5,19,50.5,20
E00112835,15.3,17.1,51.4,16.2
E00112836,19.7,20.5,43.9,15.9
E00112837,10.6,23,54.9,11.5
E00112838,11.9,25.7,54.1,8.3
E00112840,10.3,13.8,66.9,9
E00112841,10.5,19.1,55.4,15
E00112842,13.7,17.3,59,10.1
E00112843,9.2,21.1,55.9,13.8
E00112844,22.5,21.3,48.8,7.5
E00112845,15.2,27.8,41.8,15.2
E00112847,8.2,23.4,59.8,8.7
E00112848,23.8,14.3,30.2,31.7
E00112849,13.8,19.2,43.1,23.8
E00112850,19.7,23.9,50.4,6
E00112865,11,16,46,27
E00112866,24.5,18.7,46.8,10.1
E00112867,23.4,18.2,41.6,16.9
E00112868,15,25,50,10
E00112869,16.8,20.8,43.7,18.8
E00112871,13.2,17.1,57.6,12.2
E00112874,12.3,21.7,61.3,4.7
E00112875,9.3,14.4,60.8,15.5
E00112899,11.3,15.7,55.7,17.4
E00112900,15.3,22,43.3,19.3
E00112901,19.4,21.6,44.8,14.2
E00112902,13.6,20.7,55,10.7
E00112903,15.1,17.8,50,17.1
E00112904,15.4,13.1,63.8,7.7
E00112914,12.4,19,52.4,16.2
E00112945,16.1,22.4,48.3,13.3
E00112946,11.9,18.3,57.8,11.9
E00112947,17.3,17.3,47.4,18
E00112948,16.9,15.6,51.9,15.6
E00112949,11.9,18.9,58.2,10.9
E00112958,11.5,17.7,47.9,22.9
E00112960,13.6,20.3,57.6,8.5
E00112961,13.7,19.8,56.8,9.7
E00112962,10.5,23.5,53.7,12.3
E00112963,11,24.3,56.6,8.1
E00112964,19.1,10.6,53.4,16.9
E00112965,11.9,17,56,15.1
E00112966,19,22.2,47.6,11.1
E00112967,12.9,27,53.4,6.7
E00112968,11.8,20.6,57.1,10.6
E00112969,13.9,14.4,56.1,15.6
E00112970,10.7,18.9,51.6,18.9
E00112971,14.8,13.9,55.7,15.6
E00112972,9,18.8,59.7,12.5
E00112973,17.1,21.1,51.3,10.5
E00112975,8.6,11.6,64.6,15.2
E00162635,13.8,16.7,56.3,13.2
E00162636,14.1,21.8,56.4,7.7
E00162637,18.4,15.8,51.3,14.6
E00162638,16.7,25.6,49.4,8.3
E00162639,15.7,19,50.3,15
E00162640,14.3,21.9,46,17.9
E00162641,12.9,15.3,57.1,14.7
E00162642,13.8,15.9,52.8,17.4
E00162644,19.3,19.3,44.3,17.1
E00162647,5,18.3,60,16.7
E00162648,12.1,22,47.4,18.5
E00162868,14.1,19.6,54.9,11.4
E00162869,8.5,26.1,54.9,10.5
E00162870,9.9,17.4,58.4,14.3
E00162871,10.4,18.1,58.3,13.2
E00162872,11.4,17.5,63.2,7.9
E00162873,9.9,17,54.6,18.4
E00162874,10.7,19.7,60.7,9
E00162875,7.1,16.2,64.9,11.7
E00162876,12.9,16.1,63.7,7.3
E00162877,8.1,24.2,61.3,6.5
E00162878,17.7,16.9,47.6,17.7
E00162879,12.2,21.6,59.7,6.5
E00162880,10.4,16.4,66.1,7.1
E00162881,10.8,20.5,60.2,8.5
E00162882,11.2,17.3,55.4,16
E00162883,20.2,15.6,52.3,11.9
E00168924,6.8,13.2,72.6,7.4
E00168928,14,20,54,12
E00168929,12.1,16.5,58.2,13.2
E00168930,9.3,20.3,57.6,12.7
E00168931,14.3,20.4,51,14.3
E00168932,13,12.2,68.7,6.1
E00168933,14.1,17.8,48.2,19.9
E00168934,12.6,17.6,52.3,17.6
E00186321,15.9,20.6,45.8,17.8
E00186346,15.2,19.5,53.7,11.6
E00186365,10.5,21.1,54.4,14
E00186367,9.7,13.2,65.2,11.9
E00186384,9.8,10.7,67.9,11.6
E00186386,14.7,16.2,52.9,16.2
E00186395,10.9,11.6,58.1,19.4
E00186410,15.8,17.8,57.1,9.3
E00186422,12.2,16.2,59.5,12.2
E00186430,8.8,15.9,64.3,11
