areacd,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E02000984,88.3,8.9,2.8
E02000985,83.6,12,4.4
E02000986,83.2,12,4.8
E02000987,75.4,16.2,8.5
E02000988,79.5,13.8,6.8
E02000989,80.9,13.7,5.4
E02000990,84.1,11,4.9
E02000991,83.3,11.9,4.8
E02000992,82.3,12.7,5
E02000993,78.8,13.6,7.6
E02000994,79.3,13.5,7.2
E02000995,81.5,12.6,5.9
E02000996,75.8,15.6,8.6
E02000997,81.6,12.1,6.3
E02000998,80.7,13.3,6
E02000999,74.3,15.8,9.9
E02001000,77.2,15.6,7.2
E02001001,83.5,11.7,4.8
E02001002,79.3,14.2,6.4
E02001003,84.8,11.2,4
E02001004,80.7,12.5,6.9
E02001005,80.9,13,6.1
E02001006,82.7,11.9,5.4
E02001007,78.4,15.3,6.4
E02001008,81.8,11.4,6.8
E02001009,79.4,14,6.6
E02001010,81,12.5,6.4
E02001011,84.4,11.1,4.5
E02001012,83.1,11.7,5.3
E02001013,82,12.5,5.5
E02001014,78.3,14.6,7.2
E02001015,74,17.4,8.6
E02001016,77.1,14.8,8.1
E02001017,81.7,12.8,5.5
E02001018,83.6,12.2,4.2
E02001019,83.8,11.6,4.6
E02001020,83.5,12.4,4.1
E02001021,84.3,11.8,3.9
E02001022,78.9,14.7,6.4
E02001023,81.5,13.5,5
E02001024,83.6,12.1,4.3
E02001025,77.2,15.2,7.7
E02001026,79.4,14,6.5
E02001027,80.7,13.6,5.8
E02001028,82.4,13.5,4.1
E02001029,79.2,14.5,6.4
E02001030,84.3,11.1,4.5
E02001031,80.2,13.4,6.4
E02001032,78.5,14.5,7
E02001033,81,13.6,5.4
E02001034,74.6,16.4,9
E02001035,83,13,4
E02001036,82.2,12.3,5.4
E02001037,82.9,12.4,4.7
E02001038,77.4,15.4,7.2
E02001039,80.4,13.6,6
E02001040,81.6,13.3,5.1
E02001041,79.9,13.7,6.4
E02001042,82.9,12.5,4.5
E02001043,80.3,14,5.7
E02001044,87.6,9,3.3
E02001045,76.8,14.3,8.9
E02001046,79.5,13.5,7
E02001047,77,15,8
E02001048,81.3,12.8,5.9
E02001049,79.6,13.7,6.7
E02001050,81.4,11.8,6.8
E02001051,82.3,11.5,6.2
E02001052,82.7,11.7,5.5
E02001053,78.6,12.6,8.8
E02001055,76.7,14.6,8.7
E02001056,76.5,13.8,9.7
E02001059,80.6,12.3,7.1
E02001061,79.2,13,7.8
E02001062,82.2,11.7,6.1
E02001063,87.7,8.8,3.5
E02001064,79.4,12.6,8
E02001065,80.3,12.7,7
E02001066,83.7,11.6,4.8
E02001067,81.7,11.4,6.8
E02001068,83.8,10.9,5.3
E02001069,84.8,10.7,4.5
E02001070,84.8,10.4,4.8
E02001072,82.3,11.7,6
E02001073,85,10.8,4.2
E02001074,79.5,13.3,7.2
E02001075,83,11.8,5.2
E02001076,88.6,8.8,2.6
E02001077,85.3,10.4,4.3
E02001078,82.3,12.2,5.5
E02001079,80.4,12.8,6.7
E02001080,86.2,9.6,4.2
E02001081,85.8,9.3,4.9
E02001082,87.2,9.1,3.6
E02001083,87.8,8,4.2
E02001084,85,10.6,4.4
E02001085,78.8,13,8.2
E02001086,82,12.2,5.8
E02001087,86.4,9.5,4.1
E02001088,78.6,14,7.4
E02001089,85.7,10.3,4
E02001090,79.5,14,6.5
E02001091,78.3,14.7,7
E02001092,79.8,13.4,6.8
E02001093,78.1,13.8,8.1
E02001094,76.4,14.8,8.8
E02001095,76.7,14.5,8.8
E02001096,76.9,15.5,7.6
E02001097,76.6,15,8.4
E02001098,77.1,16.6,6.3
E02001099,77.5,14.9,7.6
E02001100,77.5,16.1,6.4
E02001101,81.5,13.6,4.9
E02001102,82,12.9,5.1
E02001103,82.2,12.8,4.9
E02001104,81.5,13,5.4
E02001105,77.1,16.6,6.3
E02001106,77.8,15,7.1
E02001107,82.4,13,4.6
E02001108,79.1,14.4,6.4
E02001109,76.5,15.5,8
E02001110,85.4,11,3.6
E02001111,76.4,14.8,8.8
E02001112,84.1,11.6,4.3
E02001113,80.4,13.3,6.3
E02001114,78.6,14.6,6.7
E02001115,80.6,14.1,5.3
E02001116,82.6,12.3,5.1
E02001117,83.4,12.2,4.5
E02001118,82.6,12.7,4.7
E02001119,80.3,13,6.7
E02001121,80.2,13.5,6.3
E02001123,78.3,13.9,7.8
E02001124,76.8,14.8,8.4
E02001125,79.1,14.6,6.2
E02001126,77.4,15.1,7.4
E02001127,77.7,15.4,6.9
E02001128,78.9,14.4,6.6
E02001129,77.1,14.7,8.2
E02001130,77.5,15.5,7
E02001131,81.3,13,5.7
E02001132,80,14,6
E02001133,84.1,11.6,4.3
E02001134,82,13.4,4.6
E02001135,76.8,15,8.2
E02001136,79.8,14.3,5.9
E02001137,85.2,10.8,3.9
E02001138,83.3,11.5,5.2
E02001139,79.8,13.3,6.9
E02001140,80.1,14,5.9
E02001141,77.4,14.6,8.1
E02001142,82.8,12.5,4.7
E02001143,79.4,14.3,6.4
E02001144,78.7,15.2,6.1
E02001145,80.3,14,5.7
E02001146,79,14,7
E02001147,79.8,13,7.3
E02001148,78,15.2,6.8
E02001149,76.8,15.3,7.9
E02001150,78,14.7,7.3
E02001151,83,12.3,4.7
E02001152,79.1,14,6.9
