areacd,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E02000984,3,24.2,72.9
E02000985,3.2,26.8,70
E02000986,3.4,32.5,64.1
E02000987,2.7,37.9,59.4
E02000988,6.4,34.4,59.2
E02000989,2.8,29.4,67.8
E02000990,4,29.4,66.7
E02000991,4.4,28.9,66.7
E02000992,4.2,29.3,66.5
E02000993,5.7,32.6,61.8
E02000994,8.5,35.8,55.7
E02000995,4.5,29.7,65.9
E02000996,4.6,31.3,64.2
E02000997,4.5,28.4,67.1
E02000998,10.3,32.7,57
E02000999,6.5,48.8,44.6
E02001000,6.1,37.2,56.7
E02001001,7.4,27.6,65
E02001002,4.8,28.5,66.7
E02001003,6.3,23.8,69.9
E02001004,9.8,29.3,60.8
E02001005,10.4,32.6,57
E02001006,10.1,22.8,67.1
E02001007,4.7,29.7,65.6
E02001008,9.5,24.7,65.8
E02001009,5.7,32.7,61.6
E02001010,8.1,30.4,61.5
E02001011,3.5,28.2,68.3
E02001012,12.2,21.2,66.6
E02001013,4.6,25.9,69.5
E02001014,4,33.1,62.8
E02001015,4.5,42.3,53.2
E02001016,7,26.9,66.1
E02001017,4.6,32.4,63
E02001018,4.2,22.7,73.1
E02001019,3.5,33.3,63.2
E02001020,2.9,24.7,72.4
E02001021,2.7,26.7,70.6
E02001022,5.4,30.8,63.8
E02001023,5,25.5,69.6
E02001024,3,25.8,71.2
E02001025,5.4,33.3,61.3
E02001026,9.2,34.1,56.7
E02001027,4.6,35.8,59.6
E02001028,3,25.1,71.8
E02001029,9.2,30.8,59.9
E02001030,3.7,22.7,73.6
E02001031,5.4,35.1,59.6
E02001032,4.4,29.7,65.9
E02001033,3.9,32.8,63.3
E02001034,4.4,43.4,52.2
E02001035,4.5,26.7,68.7
E02001036,4.9,28,67.1
E02001037,3.9,27.7,68.4
E02001038,4.9,38.9,56.2
E02001039,5.8,29.2,65
E02001040,5.5,30.2,64.3
E02001041,5.3,33.8,60.9
E02001042,5.5,36.9,57.6
E02001043,5.1,31.2,63.7
E02001044,8.3,20.1,71.6
E02001045,6,35.5,58.6
E02001046,8.2,29.7,62.1
E02001047,6.5,35.7,57.8
E02001048,9,32.3,58.7
E02001049,7,28.7,64.3
E02001050,9.1,33,57.9
E02001051,9,27.7,63.4
E02001052,14.7,27.1,58.3
E02001053,8.5,34.4,57
E02001055,6.6,36.7,56.7
E02001056,7.5,33.5,58.9
E02001059,10.4,33.1,56.5
E02001061,8.6,32.5,58.9
E02001062,13.9,34,52.1
E02001063,19.7,37.9,42.5
E02001064,9.1,32.4,58.5
E02001065,7.3,31.5,61.2
E02001066,25.9,33.1,41
E02001067,9.6,29.5,60.9
E02001068,13.2,31.9,54.8
E02001069,22.1,28.4,49.4
E02001070,25.3,33.1,41.6
E02001072,12.4,41.9,45.6
E02001073,12.4,35.1,52.4
E02001074,13.5,31.8,54.7
E02001075,12.7,33.1,54.2
E02001076,43.4,23.8,32.8
E02001077,12.9,31.4,55.6
E02001078,12.4,26,61.6
E02001079,18.3,27.7,54
E02001080,33.6,29.7,36.7
E02001081,7.1,32.4,60.5
E02001082,18.1,35.5,46.4
E02001083,11,41.2,47.8
E02001084,17.7,29.6,52.7
E02001085,9.6,25.1,65.3
E02001086,7.9,35.1,56.9
E02001087,7.8,35.8,56.4
E02001088,6.7,31.4,61.8
E02001089,7.5,26.1,66.4
E02001090,7.8,36.1,56.1
E02001091,4.5,36.7,58.8
E02001092,6.5,34.9,58.6
E02001093,8.2,30.7,61.1
E02001094,7.9,30.2,61.9
E02001095,8.1,32,60
E02001096,7,32.1,60.9
E02001097,8.8,30.4,60.9
E02001098,3.3,33.8,62.9
E02001099,3.9,35.9,60.2
E02001100,4.3,29.7,66
E02001101,4,27.8,68.3
E02001102,4.5,27.1,68.4
E02001103,2.8,29.8,67.4
E02001104,6,22.9,71.2
E02001105,2.9,32.5,64.5
E02001106,4.3,37.3,58.3
E02001107,5.5,26.1,68.4
E02001108,6.1,27.9,66
E02001109,5,35.6,59.4
E02001110,3.7,29.1,67.2
E02001111,8.4,41.6,49.9
E02001112,4.8,23.3,71.9
E02001113,16.3,19.8,63.9
E02001114,4.8,33,62.2
E02001115,3.7,31,65.3
E02001116,11.7,22.1,66.2
E02001117,3.3,29.7,67
E02001118,3.2,28.1,68.7
E02001119,21.1,17.1,61.8
E02001121,13.4,24.8,61.8
E02001123,6.9,30.3,62.8
E02001124,6.8,36,57.2
E02001125,5.1,31.6,63.2
E02001126,7,27.4,65.6
E02001127,6.3,26.5,67.2
E02001128,4.9,32.8,62.3
E02001129,5.1,36.5,58.5
E02001130,4.3,32,63.8
E02001131,4.3,27.7,68
E02001132,3.9,35,61.1
E02001133,3.8,25.1,71.2
E02001134,4.3,26.8,69
E02001135,6.5,34.7,58.8
E02001136,5.8,29.9,64.3
E02001137,3.6,25.4,71
E02001138,4.2,27.7,68.1
E02001139,12.9,26.2,61
E02001140,8,29.1,62.9
E02001141,8.4,38.9,52.7
E02001142,5.8,27,67.2
E02001143,8.8,26.8,64.4
E02001144,3.7,33.6,62.7
E02001145,3.6,29.2,67.2
E02001146,13.4,23.7,62.9
E02001147,4.9,29.3,65.8
E02001148,5.4,31.8,62.8
E02001149,4.2,39,56.8
E02001150,5.2,28.2,66.6
E02001151,4.3,28.2,67.5
E02001152,4.6,31.1,64.3
E02001153,6.4,30,63.6
E02001154,5.1,31.7,63.2
E02001155,4.5,41.3,54.2
E02001156,5.2,27.8,67
E02001157,6,31.5,62.5
E02001158,5.1,37.5,57.4
E02001159,4.8,32,63.1
E02001160,4.7,25.9,69.4
E02001161,4.4,34.2,61.4
E02001162,4.7,36.5,58.8
E02001163,4.1,31.7,64.2
E02001164,6.5,28.6,64.9
E02001165,5.6,30.5,63.9
E02001166,7.7,31.1,61.2
E02001167,7.1,33.7,59.3
E02001168,5.5,30.9,63.6
E02001169,3.7,23.2,73.1
E02001170,3.1,27.6,69.3
E02001171,5,26.6,68.4
E02001173,14.1,33.8,52.1
E02001174,11.6,28.3,60.2
E02001175,7.1,30.7,62.2
E02001176,6.7,41.1,52.2
E02001177,9.7,34.7,55.6
E02001179,12.8,37.3,49.9
E02001180,7.9,45.8,46.3
E02001181,6.9,36.9,56.2
E02001182,6.5,37.7,55.8
E02001183,7.9,33.7,58.3
E02001185,5,29.5,65.5
