areacd,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E02000984,8.6,18.8,61.2,11.3
E02000985,9.5,18.4,61.7,10.4
E02000986,9.4,20.9,61.1,8.6
E02000987,8.5,19.1,64.5,8
E02000988,10.2,24.4,58.1,7.3
E02000989,10,19.4,61.9,8.6
E02000990,8.6,17.9,64.7,8.7
E02000991,8.9,22.1,60.7,8.3
E02000992,8,18.3,63.2,10.4
E02000993,8.5,20.8,64.1,6.6
E02000994,11.5,30.4,53.6,4.5
E02000995,9.9,21,59.3,9.8
E02000996,9.4,22.3,61.3,7
E02000997,9,19,61,11
E02000998,9.9,25.8,58.2,6.1
E02000999,11.8,26.3,55.4,6.5
E02001000,8.4,21.1,62.6,7.9
E02001001,11.2,22.7,57.7,8.4
E02001002,7.9,22.1,62.6,7.5
E02001003,11.3,20.9,56.6,11.2
E02001004,12.3,30.6,53,4.1
E02001005,11.5,30.1,52.9,5.6
E02001006,11.7,30.6,52.8,4.9
E02001007,7.8,19.3,63.4,9.5
E02001008,11.5,31,52.9,4.6
E02001009,9,25.5,58.5,7.1
E02001010,9.7,24,58.9,7.4
E02001011,8.2,19.1,62.9,9.8
E02001012,10.4,27,56.2,6.5
E02001013,8.2,20.5,61.3,9.9
E02001014,9.2,17.8,64.3,8.7
E02001015,7,20.8,64.6,7.5
E02001016,9.3,21.8,61.2,7.6
E02001017,7.6,17.9,65.4,9.1
E02001018,7.6,18.4,63.4,10.5
E02001019,8.8,17.6,63.6,10.1
E02001020,10.7,20.1,59.1,10.1
E02001021,9.5,18.8,59.4,12.3
E02001022,8.8,20.6,62.2,8.5
E02001023,8.6,20.7,61.7,9.1
E02001024,9.1,18.6,61.9,10.4
E02001025,9.9,20.2,62.3,7.5
E02001026,10.1,24.7,59.1,6
E02001027,6.8,18.3,66.2,8.6
E02001028,9.9,18.8,60.7,10.6
E02001029,10.5,24.3,58.4,6.8
E02001030,8.4,18.2,63.1,10.2
E02001031,8.6,21,63,7.3
E02001032,8.3,19.2,64.8,7.7
E02001033,7,20.2,64,8.7
E02001034,8.6,21.2,62.1,8.1
E02001035,9.1,18.8,63.8,8.2
E02001036,9.2,20.1,60.9,9.8
E02001037,11.7,19.6,58.1,10.6
E02001038,8.4,19,64.8,7.8
E02001039,8.4,19.7,64.3,7.7
E02001040,9.2,17.5,63.1,10.2
E02001041,7.8,18.8,64.6,8.8
E02001042,9.5,19.1,61.9,9.5
E02001043,8.3,18.4,64.6,8.7
E02001044,12.9,33.4,46.5,7.2
E02001045,9.9,24.6,59.4,6.1
E02001046,8.6,22.3,62.4,6.7
E02001047,7.8,22.1,63.2,6.9
E02001048,10.9,27.1,55.9,6.1
E02001049,9.1,21.1,63.3,6.5
E02001050,10.5,24.9,58.2,6.4
E02001051,10.2,23.8,59.6,6.3
E02001052,14.4,31.8,48.3,5.5
E02001053,10.5,27.4,56.6,5.5
E02001055,9.5,22.5,60.9,7.1
E02001056,9.9,27.6,57,5.5
E02001059,10.1,23.5,59.5,6.9
E02001061,10.9,22.8,59.7,6.6
E02001062,14.3,24.6,55.6,5.5
E02001063,18.2,20.8,56.2,4.9
E02001064,10.9,28.9,53.3,6.9
E02001065,10.3,23.3,60.5,6
E02001066,19.7,26.3,50.2,3.8
E02001067,11.8,28.3,54,5.9
E02001068,14.2,27.4,53.2,5.1
E02001069,17.4,25.7,51.9,5
E02001070,20.7,24.1,49.6,5.5
E02001072,9.8,20.6,61.8,7.8
E02001073,8.6,16.8,65.8,8.8
E02001074,12.2,22.3,59.4,6.1
E02001075,10.6,25,58.6,5.8
E02001076,30.1,21.1,44.4,4.4
E02001077,8.6,16.3,64.8,10.3
E02001078,12.2,24.1,56.9,6.7
E02001079,14.6,21.8,57.8,5.7
E02001080,20.6,20.9,52.2,6.2
E02001081,7,16.5,64.7,11.8
E02001082,9.7,13,67.1,10.2
E02001083,6.4,10.6,70.6,12.4
E02001084,11.9,18.6,59.8,9.7
E02001085,11,24.8,59.5,4.7
E02001086,8.9,17.4,64,9.8
E02001087,7.2,13.4,65.1,14.3
E02001088,9.7,20.6,63.4,6.2
E02001089,9.8,16.6,62.9,10.7
E02001090,8.7,18.1,65,8.2
E02001091,8.3,19.5,64,8.1
E02001092,9.2,20.8,63.3,6.6
E02001093,9.7,22.4,61.6,6.3
E02001094,10.9,24.2,59.4,5.5
E02001095,8,21.2,64.4,6.5
E02001096,9.6,20.6,63,6.8
E02001097,9.9,22.9,60.8,6.4
E02001098,8.2,19.8,63.6,8.4
E02001099,7.9,18.9,64.4,8.9
E02001100,8.2,19.4,62.3,10.1
E02001101,8,18,65.2,8.9
E02001102,6.3,18.6,66.6,8.4
E02001103,10.5,17.6,59.2,12.7
E02001104,6.9,19.3,64,9.8
E02001105,7.8,20.4,63.8,8
E02001106,7.8,19.4,65.5,7.3
E02001107,11.1,24.5,57.4,7
E02001108,7.6,23.2,61.6,7.6
E02001109,7.1,21.5,63.6,7.8
E02001110,9.8,17.7,60,12.5
E02001111,12.1,30.7,51.7,5.5
E02001112,8.6,18.6,64.5,8.4
E02001113,12.6,37.8,46.5,3.2
E02001114,9.1,23.5,61,6.4
E02001115,8.6,18.1,65.2,8.1
E02001116,9.9,30.6,53.1,6.5
E02001117,10.7,19.9,57.8,11.7
E02001118,8.7,17.6,63,10.7
E02001119,14.3,33.2,47.4,5.1
E02001121,13.6,31,51.2,4.2
E02001123,10.3,24.4,57.6,7.7
E02001124,9.3,23.8,59.6,7.3
E02001125,6.8,19.8,66.5,6.8
E02001126,8.7,25.9,60,5.5
E02001127,9,23.9,59.5,7.6
E02001128,8,19.6,65.1,7.3
E02001129,8,18.6,65.8,7.6
E02001130,8.2,18.5,64.5,8.9
E02001131,6.8,19,67,7.2
E02001132,8,18.8,64.1,9.2
E02001133,7.2,18.3,64,10.5
E02001134,7.3,18.2,63.6,11
E02001135,7.5,23,62.3,7.2
E02001136,9.3,22.3,59.4,9
E02001137,9.4,16.9,63.4,10.3
E02001138,8.5,18.6,63.1,9.9
E02001139,11.5,28.3,54.9,5.4
E02001140,9.3,23.3,59.6,7.9
E02001141,10.6,27,56.6,5.7
E02001142,9.9,20.3,58.2,11.6
E02001143,10.8,25.3,57.6,6.3
E02001144,7.3,17.9,66.4,8.4
E02001145,7.6,17.7,65.5,9.2
E02001146,11.3,30,54.1,4.7
E02001147,7.8,20.5,62.8,8.9
E02001148,8.3,21.1,62.5,8.1
E02001149,7.8,19.6,65.3,7.3
E02001150,7.7,19.8,64.4,8.2
E02001151,7.5,16.9,65.4,10.2
E02001152,7.4,20.2,64,8.4
E02001153,8.2,20.4,64.4,7
E02001154,7.6,18.2,67.2,7
E02001155,7.9,18.4,65.3,8.4
E02001156,7.8,18.3,64.5,9.4
E02001157,9.9,23.1,59.7,7.3
E02001158,7.3,22.2,62.2,8.3
E02001159,7.4,16,68.1,8.5
E02001160,8.5,20.6,62.9,8
E02001161,7.6,19,65.8,7.6
E02001162,8.7,18,65.8,7.6
E02001163,7.5,16.9,65.9,9.7
E02001164,7.8,19.4,65.2,7.6
E02001165,8.6,17.6,67,6.7
E02001166,16,41.9,36.5,5.6
E02001167,12.2,23.3,56.2,8.3
E02001168,7.9,17.8,66.1,8.2
E02001169,8.4,16.8,63.1,11.7
E02001170,8.9,17.3,61.4,12.4
E02001171,7,17.4,68,7.6
E02001173,17.2,23.6,53.6,5.7
E02001174,9,17.7,66,7.4
E02001175,7.7,17,66.9,8.3
E02001176,7.6,16.1,67.1,9.3
E02001177,8.2,17,67.9,6.8
E02001179,9.9,20,63.8,6.3
E02001180,13.8,20.2,60.5,5.5
E02001181,8.7,21.4,62.7,7.2
E02001182,7.8,18.9,66.1,7.2
E02001183,7.9,17.8,66.9,7.4
E02001185,7.8,19.6,64.4,8.3
E02001186,7.4,17.3,66.2,9.1
E02001187,8.6,18.4,65.9,7.1
E02001188,8,20.3,65,6.7
E02001189,7.8,19.4,64.8,8
E02001190,8,23.3,62.5,6.1
E02001191,8.5,19.6,63.6,8.3
E02001192,8.8,15.8,63,12.4
E02001193,8,18.4,66.2,7.4
E02001194,9.5,18,59.8,12.6
E02001195,8.2,18.5,64.9,8.4
E02001196,9.8,20.2,59.5,10.5
E02001197,10.6,19.8,60.3,9.3
E02001198,9,18.9,63.5,8.5
E02001199,10.5,18,61.9,9.6
E02001200,8.8,18.5,66.6,6.1
E02001201,8,20.1,64.5,7.5
E02001202,8.2,17.1,67.3,7.4
E02001203,11.3,18.2,56.6,13.9
E02001204,7.6,18.4,66.8,7.2
E02001205,8.7,20.2,64.6,6.5
E02001206,10,19.1,61.6,9.4
E02001207,9.5,20.4,61.7,8.4
E02001208,8.2,19.9,64.8,7.1
E02001209,8.7,19.2,64.2,7.9
E02001210,8.4,22.6,61.7,7.3
E02001211,10.6,17.8,61.4,10.1
E02001212,9.3,21.6,61.9,7.3
E02001213,8,19.1,63.8,9.1
E02001214,12.3,19.3,57.3,11.1
E02001215,11,20.8,58.9,9.4
E02001216,9.9,19.2,60.9,10
E02001217,8.2,19.3,63.5,9
E02001218,10.8,19.3,57.2,12.7
E02001219,10.2,18.2,62.3,9.3
E02001220,10.5,19.3,59.8,10.4
E02001221,10.6,19,60.6,9.7
E02001222,11.2,20.2,59.9,8.6
E02001223,11.2,19.9,56.4,12.5
E02001224,10.7,21,58.7,9.5
E02001225,9.8,19.3,61.7,9.2
E02001226,9.7,21.5,60.5,8.2
E02001227,11.7,19.3,56.7,12.4
E02001228,12.7,17,55.1,15.3
E02001229,7.8,17.1,66,9
E02001230,9.1,19.7,63.1,8.1
E02001231,7.8,18.5,64.8,8.8
E02001232,8.4,20.7,63.5,7.3
E02001233,7.8,21.9,63.7,6.6
E02001234,8.1,20.6,64.1,7.3
E02001235,7.2,19.4,66,7.4
E02001236,7.4,20.6,65.3,6.8
E02001237,8.2,18.7,64.9,8.2
E02001238,7.8,19.3,65.5,7.4
E02001239,7.6,19.8,65.1,7.5
E02001240,9.1,19.3,65.2,6.4
E02001241,10.8,23.8,59.6,5.8
E02001242,7.1,18.6,66.3,8.1
E02001243,8.5,18.4,63.6,9.5
E02001244,7.9,18.5,65.6,8
E02001245,8.7,17.4,66.3,7.5
E02001246,7.5,19.5,64.8,8.3
E02001247,6.3,19.5,66.7,7.5
E02001248,7.1,18.8,65.7,8.4
