areacd,english_proficiency_4a-001,english_proficiency_4a-002,english_proficiency_4a-003
E02001185,96.2,2.9,0.9
E02001186,96.2,3.1,0.6
E02001187,96.7,2.6,0.6
E02001188,94,4.9,1.2
E02001189,97,2.3,0.7
E02001190,93.1,5.3,1.6
E02001191,98.7,1.1,0.2
E02001192,94.8,4,1.2
E02001193,94.5,4.2,1.4
E02001194,95.5,3.7,0.8
E02001195,98.2,1.4,0.4
E02001196,98.6,1.3,0.2
E02001197,95.2,3.6,1.1
E02001198,97.9,1.8,0.2
E02001199,93.2,5.7,1.1
E02001200,89.2,8.5,2.3
E02001201,98.5,1.2,0.3
E02001202,92.4,6.2,1.4
E02001203,99.3,0.6,0
E02001204,96.5,2.8,0.6
E02001205,95.8,3.1,1.1
E02001206,98.2,1.6,0.2
E02001207,98.3,1.4,0.4
E02001208,96.6,2.7,0.7
E02001209,94.4,4.3,1.3
E02001210,96.5,2.8,0.7
E02001211,93.8,4.9,1.2
E02001212,93.5,5.2,1.3
E02001213,95.4,3.8,0.8
E02001214,91.9,6.7,1.3
E02001215,98.9,1,0.2
E02001216,95.8,3.3,0.9
E02001217,94.1,5.1,0.8
E02001218,95.9,3.5,0.7
E02001219,98,1.7,0.4
E02001220,95.2,4.2,0.6
E02001221,98.2,1.4,0.5
E02001222,92.2,6.3,1.5
E02001223,96,3.2,0.8
E02001224,98.5,1.3,0.2
E02001225,96.7,2.6,0.7
E02001226,92.3,5.8,1.9
E02001227,97.4,2.2,0.4
E02001228,96.8,2.6,0.6
E02001229,97.8,1.8,0.4
E02001230,91.8,6.3,1.9
E02001231,98,1.6,0.3
E02001232,88.2,8.5,3.3
E02001233,92.4,5.5,2.2
E02001234,88.8,8,3.2
E02001235,89.6,7.4,3
E02001236,94.7,3.9,1.4
E02001237,97.5,2.1,0.4
E02001238,96.1,2.6,1.2
E02001239,93,5.2,1.7
E02001240,93.8,5,1.3
E02001241,76.7,16.3,7
E02001242,95.2,3.6,1.2
E02001243,97.2,2.2,0.6
E02001244,98.3,1.4,0.3
E02001245,94.8,3.9,1.3
E02001246,96.8,2.4,0.8
E02001247,95.1,3.6,1.3
E02001248,95,3.7,1.3
E02001249,94.9,3.9,1.2
E02001250,98.3,1.4,0.3
E02001251,98.9,0.9,0.2
E02001252,98.1,1.3,0.6
E02001253,97.6,1.8,0.6
E02001254,97.7,1.7,0.5
E02001255,96.4,3.1,0.5
E02001256,88,7.1,4.9
E02001257,97.2,2.3,0.5
E02001258,98.5,1.1,0.4
E02001259,78.5,16.1,5.4
E02001260,97.3,2.3,0.5
E02001261,89.1,9.2,1.6
E02001262,84.8,11.4,3.8
E02001263,97.7,1.9,0.4
E02001264,92.2,6.5,1.3
E02001265,98.2,1.5,0.2
E02001266,94,4.9,1.1
E02001267,97,2.5,0.6
E02001268,98.2,1.6,0.2
E02001269,92.2,6.5,1.3
E02001270,93.2,5.9,0.9
E02001271,95.9,3.4,0.7
E02001272,95.6,3.9,0.5
E02001273,89.7,8.5,1.7
E02001274,92,7.2,0.9
E02001275,96.9,2.3,0.7
E02001276,92.7,6.1,1.2
E02001277,90.7,7.9,1.4
E02001278,92.2,6.8,1
E02001279,95.1,4.4,0.4
E02001280,93,6.1,0.9
E02001281,96.6,2.8,0.6
E02001282,91.3,7.7,1
E02001283,92.6,6.7,0.7
E02001284,95.7,3.7,0.6
E02001285,95.3,4.2,0.6
E02001286,92.2,6.8,0.9
E02001287,97.9,1.8,0.2
E02001288,97.6,2,0.5
E02001289,99.1,0.8,0.1
E02001290,98.4,1.2,0.4
E02001291,95.5,3.3,1.1
E02001292,94.1,4.9,1
E02001293,97.5,2.2,0.3
E02001294,94,4.8,1.3
E02001295,90,7.5,2.5
E02001296,91.3,7.1,1.6
E02001297,96.9,2.5,0.6
E02001298,92.1,6.2,1.7
E02001299,98.1,1.2,0.6
E02001300,96.7,2.7,0.6
E02001301,94.3,4.5,1.2
E02001302,98.1,1.5,0.4
E02001303,95.5,3.7,0.8
E02001304,98.9,0.8,0.3
E02001305,98,1.7,0.3
E02001306,98.6,1.1,0.3
E02001307,99.1,0.7,0.2
E02001308,97.7,2,0.4
E02001309,97.3,2.2,0.5
E02001310,94.7,4.2,1.1
E02001311,96.7,2.4,0.9
E02001312,96.6,2.6,0.8
E02001313,94.3,4.3,1.5
E02001314,97.8,1.8,0.4
E02001315,97.2,2.3,0.6
E02001316,87.9,9.1,3
E02001317,96.1,3,0.8
E02001318,98.7,1,0.3
E02001319,95.3,3.9,0.8
E02001320,96.8,2.6,0.7
E02001321,98.4,1.2,0.3
E02001322,98.7,1,0.3
E02001323,97,2.5,0.5
E02001324,97.4,2,0.6
E02001325,98.5,1.3,0.2
E02001326,98.6,1.2,0.3
E02001333,96.9,2.4,0.7
E02001335,95.9,3.7,0.4
E02001339,98.2,1.4,0.4
E02001406,99.2,0.6,0.2
E02001407,99.5,0.4,0.1
E02001408,99.4,0.5,0.1
E02001409,98.2,1.4,0.4
E02001410,97.7,1.8,0.5
E02001411,98,1.6,0.4
E02001412,98.5,1.2,0.3
E02001413,98.4,1.1,0.4
E02001414,99.3,0.6,0.1
E02001415,96.8,2.6,0.6
E02001416,93.5,4.7,1.8
E02001417,95.1,3.6,1.3
E02001418,96.6,2.6,0.8
E02001419,90.8,6.9,2.3
E02001420,98,1.6,0.4
E02001421,97.7,1.7,0.6
E02001422,94.1,4.6,1.3
E02001423,98,1.7,0.3
E02001425,96.9,2.4,0.7
E02001426,98.3,1.3,0.5
E02001427,97.6,2,0.4
E02001428,98.3,1.3,0.4
E02001509,98.5,1.2,0.3
E02001510,98.6,1,0.4
E02001511,98.3,1.3,0.4
E02001512,98.1,1.3,0.6
E02001513,98.8,1.1,0.1
E02001515,96.1,3.1,0.9
E02001516,97.4,2.2,0.4
E02001517,98,1.6,0.4
E02001518,95,3.7,1.3
E02001519,95.5,3.7,0.8
E02001520,97.8,1.8,0.5
E02001521,80.8,15.5,3.8
E02001523,91.4,6.8,1.8
E02001524,99.3,0.6,0.1
E02001525,84,12.5,3.5
E02001526,91.1,7.3,1.7
E02001527,98.3,1.4,0.3
E02001529,96.5,2.7,0.8
E02001531,92.5,6.1,1.4
E02001532,99,0.8,0.1
E02001535,99.2,0.7,0.2
E02001536,99,0.9,0.2
E02001537,98.4,1.2,0.4
E02001538,98.8,1,0.3
E02001584,99.2,0.7,0.2
E02001611,99,0.9,0.1
E02001612,99.4,0.5,0.1
E02001613,98.1,1.6,0.3
E02001614,99,0.9,0.1
E02001615,98.4,1.3,0.3
E02001616,98,1.7,0.3
E02001617,93.2,5.4,1.4
E02001618,98.3,1.4,0.2
E02001619,95.3,3.6,1
E02001620,91,7.2,1.9
E02001621,90.4,7.7,1.9
E02001622,95,3.9,1.1
E02001623,82,12.7,5.3
E02001624,87.9,9.1,2.9
E02001625,93.2,5.4,1.4
E02001626,97.7,1.8,0.4
E02001627,91.4,6.8,1.8
E02001629,85.3,11,3.7
E02001630,70.7,20.6,8.7
E02001631,98,1.7,0.3
E02001632,63.8,25.7,10.5
E02001633,98.7,1.1,0.2
E02001634,95.4,3.9,0.7
E02001635,97.8,1.8,0.4
E02001636,76.9,17.4,5.7
E02001637,69.4,20.5,10.2
E02001638,94.5,4.7,0.8
E02001639,95.1,4.2,0.7
E02001640,92.9,6,1.1
E02001643,95,4.4,0.6
E02001646,93.3,6,0.8
E02001648,94.8,4.7,0.5
E02001649,87.1,9.9,2.9
E02001650,82.1,13.5,4.5
E02001651,95.8,3.8,0.4
E02001652,80.7,14.5,4.8
E02001653,86,10.8,3.2
E02001656,94.8,4.5,0.7
E02001657,97.2,2.4,0.3
E02001658,90.5,7.3,2.2
E02001660,91.8,5.9,2.2
E02001661,88.9,7.9,3.2
E02001662,97.6,2.1,0.3
E02001663,95.9,3.2,0.9
E02001664,94.9,3.8,1.3
E02001665,96.4,3.2,0.3
E02001669,95.8,3.2,0.9
E02001670,91.9,6,2
E02001672,98,1.8,0.2
E02001674,97.9,1.6,0.5
E02001676,98.4,1.4,0.2
E02002183,99,0.9,0.1
E02002184,97.9,1.8,0.3
E02002185,98.9,1,0.1
E02002187,99.2,0.6,0.2
E02002188,95.9,2.7,1.4
E02002189,85.3,9.4,5.2
E02002190,83.1,10.3,6.6
E02002191,88.1,7.9,4
E02002192,98.6,1.1,0.2
E02002193,93.7,4.5,1.7
E02002194,97.4,1.9,0.6
E02002195,98.9,0.9,0.2
E02002196,98.8,0.8,0.3
E02002197,97.4,2,0.6
E02002198,97.7,2,0.4
E02002199,98.4,1.4,0.2
E02002200,96.6,2.7,0.7
E02002201,97.2,2.2,0.6
E02002202,94.5,4.5,1
E02002203,95.6,3.6,0.8
E02002204,97.9,1.7,0.4
E02002205,99.3,0.5,0.2
E02002206,94.5,4,1.4
E02002207,82.2,11.4,6.4
E02002208,95.6,3.4,1
E02002209,85.8,11.1,3.2
E02002210,86.7,9.7,3.7
E02002211,82,10.4,7.5
E02002212,79.9,13.9,6.2
E02002213,98.4,1.2,0.4
E02002214,93.2,4.6,2.2
E02002215,75.2,13.7,11.1
E02002216,71.6,15.9,12.5
E02002217,78.5,14.6,6.9
E02002218,89.2,8.3,2.5
E02002219,71,18.4,10.6
E02002220,75.1,15.5,9.4
E02002222,83.8,12.3,3.9
E02002223,68.6,20,11.3
E02002224,68.9,18.6,12.5
E02002225,95.6,3.6,0.8
E02002226,64,23.3,12.6
E02002227,70.9,17.9,11.2
E02002228,86.6,9.6,3.9
E02002229,94,4.5,1.4
E02002230,66.3,21.1,12.6
E02002231,83.1,11.3,5.7
E02002232,77,14.8,8.2
E02002233,70.9,18.6,10.5
E02002234,88.8,8.2,2.9
E02002235,76.8,14.8,8.3
E02002236,91,6.6,2.4
E02002237,91.9,6,2.1
E02002238,89.4,7,3.6
E02002239,89.2,8.7,2.2
E02002240,98.5,1.3,0.3
E02002241,95.2,3.9,0.9
E02002242,96.7,2.6,0.7
E02002243,97.1,2.3,0.5
E02002244,99.3,0.6,0.1
E02002245,98,1.7,0.3
E02002246,98.9,0.9,0.1
E02002247,98.7,1.1,0.1
E02002248,95.9,3.1,1
E02002249,94.9,3.9,1.2
E02002250,98.9,0.9,0.2
E02002251,90.9,7.5,1.6
E02002252,95.1,3.7,1.2
E02002253,83.8,11,5.2
E02002254,98.8,1,0.2
E02002255,71.7,16.6,11.7
E02002256,97.8,1.6,0.6
E02002257,77.4,13.6,9
E02002258,98.6,1.2,0.2
E02002259,93.9,4.6,1.5
E02002260,98.4,1.3,0.3
E02002261,95.8,3.6,0.5
E02002262,98.4,1.4,0.2
E02002263,99.2,0.6,0.2
E02002264,96.7,2.8,0.6
E02002265,98.8,0.8,0.3
E02002266,98.2,1.2,0.6
E02002267,98.4,1.2,0.4
E02002268,97.2,2.3,0.5
E02002269,98.8,0.8,0.3
E02002270,99.2,0.7,0.1
E02002271,98.8,1,0.2
E02002272,97.4,2.1,0.5
E02002273,98.3,1.1,0.6
E02002274,98.5,1.3,0.3
E02002275,96.7,2.4,0.9
E02002276,94.6,4.1,1.3
E02002277,88.4,7.9,3.7
E02002278,97.2,2.2,0.7
E02002279,96.4,2.5,1
E02002280,83.1,10.5,6.4
E02002281,88.5,7.1,4.3
E02002282,84,10.3,5.6
E02002283,76.4,13.8,9.7
E02002284,96,2.9,1.1
E02002285,98.1,1.2,0.7
E02002286,87.8,8.9,3.4
E02002287,80.9,12.8,6.3
E02002288,95.2,3.6,1.2
E02002289,79.5,13,7.5
E02002290,98.8,0.8,0.4
E02002291,97.5,1.9,0.6
E02002292,93.7,4.7,1.6
E02002293,72.6,16.3,11.2
E02002294,76.8,14.8,8.4
E02002295,87.7,9.2,3.1
E02002296,98.4,1.3,0.3
E02002297,90,7.6,2.3
E02002298,98.1,1.6,0.3
E02002299,77.3,16.4,6.2
E02002300,96.1,3.4,0.5
E02002301,77.1,15,7.9
E02002302,98.3,1.4,0.2
E02002303,93.7,5.1,1.2
