areacd,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E02000984,92.6,0.3,7,0.2
E02000985,93.4,0.2,6,0.4
E02000986,91.9,0.1,7.4,0.5
E02000987,92.7,0.2,6.9,0.2
E02000988,92.3,0.1,6.8,0.8
E02000989,94.1,0.1,5.5,0.2
E02000990,90.8,0.2,8.5,0.5
E02000991,93.3,0.1,6.1,0.6
E02000992,93.1,0.3,6.4,0.3
E02000993,93,0.1,6.4,0.4
E02000994,92.3,0.1,6.3,1.2
E02000995,93.3,0.1,6.2,0.4
E02000996,94.6,0,5.1,0.2
E02000997,92.1,0.3,7.2,0.4
E02000998,90.9,0.2,6.9,1.9
E02000999,87.6,0.4,10.2,1.9
E02001000,89.7,0.2,9.1,0.9
E02001001,91.2,0.3,7.5,0.9
E02001002,94.1,0.1,5.4,0.4
E02001003,92,0.2,7,0.8
E02001004,92.8,0.2,5.5,1.4
E02001005,87.2,0.3,10.5,1.9
E02001006,93.4,0.1,5.4,1.1
E02001007,94.4,0.1,5.2,0.4
E02001008,93.8,0.1,4.8,1.2
E02001009,91.3,0.1,7.3,1.3
E02001010,90.3,0.1,8.3,1.4
E02001011,91.7,0.2,7.7,0.4
E02001012,92.6,0.1,5.6,1.6
E02001013,93.2,0.2,6.1,0.4
E02001014,92.9,0.1,6.6,0.4
E02001015,91,0.1,8.3,0.6
E02001016,92,0.1,7.3,0.7
E02001017,93.6,0.1,5.9,0.4
E02001018,93.3,0.1,6.3,0.3
E02001019,92.2,0.2,7.4,0.3
E02001020,94.2,0.3,5.1,0.5
E02001021,92.4,0.2,7,0.4
E02001022,92.9,0.2,6.4,0.6
E02001023,94.6,0.1,4.8,0.4
E02001024,93.3,0.1,6.3,0.3
E02001025,92.9,0,6.3,0.7
E02001026,90.4,0.1,8,1.5
E02001027,90.9,0.1,8.4,0.6
E02001028,94.8,0.2,4.7,0.3
E02001029,92.5,0.1,6.6,0.8
E02001030,92.6,0.1,7,0.3
E02001031,93,0.1,6.5,0.4
E02001032,93.2,0.1,6.3,0.4
E02001033,92.1,0.1,7.1,0.6
E02001034,91.7,0,7.9,0.4
E02001035,93.4,0.2,6.1,0.2
E02001036,92.4,0.3,7,0.3
E02001037,92.2,0.2,7.3,0.3
E02001038,92.1,0.1,7.2,0.6
E02001039,93.8,0.1,5.8,0.3
E02001040,92.2,0.2,6.8,0.8
E02001041,91.5,0.2,7.9,0.4
E02001042,91.5,0.1,7.8,0.6
E02001043,92.4,0.2,7,0.4
E02001044,93.3,0.2,5.7,0.8
E02001045,93.8,0.3,5.6,0.4
E02001046,92.1,0.2,6.9,0.9
E02001047,92.5,0.1,6.5,0.9
E02001048,91,0.2,7.3,1.6
E02001049,93.6,0.2,5.8,0.5
E02001050,89.9,0.1,8.2,1.9
E02001051,89.6,0.2,8.2,2
E02001052,90.7,0.3,6.7,2.3
E02001053,90.7,0.3,7.3,1.7
E02001055,91.3,0.1,7.4,1.1
E02001056,93.4,0.2,5.5,1
E02001059,88.3,0.4,9.1,2.2
E02001061,88.2,0.3,9.7,1.8
E02001062,80.6,2.9,11.2,5.3
E02001063,54.4,4.3,32.7,8.6
E02001064,91.3,0.2,7,1.5
E02001065,87.3,0.2,10.8,1.7
E02001066,66.8,8,20.2,5
E02001067,91.1,0.4,7.1,1.5
E02001068,88.4,0.6,9.1,1.9
E02001069,74.1,6.4,15.1,4.5
E02001070,59.8,6.8,26.5,7
E02001072,84.9,0.6,13.4,1.1
E02001073,85.7,0.9,12.1,1.3
E02001074,90,0.8,7.9,1.4
E02001075,88.1,0.5,9.3,2.2
E02001076,38.9,20.5,36.9,3.7
E02001077,87.6,0.9,10.6,0.9
E02001078,88.9,1.3,8.6,1.2
E02001079,78.4,6.2,13.9,1.5
E02001080,52.4,18.9,26.6,2.1
E02001081,88.9,0.5,10.1,0.5
E02001082,72.8,5.9,19.9,1.5
E02001083,76.4,1.6,20.3,1.7
E02001084,75.6,7.2,15.4,1.8
E02001085,93.3,0.2,5.6,0.9
E02001086,86.7,0.5,11.3,1.5
E02001087,84.7,1.4,12.8,1.1
E02001088,92.4,0.3,6.9,0.4
E02001089,88.3,0.7,9.7,1.2
E02001090,90.2,0.6,7.9,1.4
E02001091,92.2,0.2,6.9,0.7
E02001092,91.4,0.3,7,1.3
E02001093,91.6,0.2,7.2,1
E02001094,91.3,0.2,7.4,1.1
E02001095,92.3,0.3,6.2,1.3
E02001096,91.7,0.3,7.2,0.7
E02001097,92.6,0.1,6.6,0.7
E02001098,94.6,0.1,5,0.3
E02001099,93.3,0.1,6.4,0.3
E02001100,93.3,0.2,6.4,0.1
E02001101,94.1,0.1,5.5,0.3
E02001102,93.8,0.2,5.9,0.2
E02001103,92.6,0.3,6.9,0.2
E02001104,91.6,0.2,7.9,0.3
E02001105,94.5,0.1,5.2,0.2
E02001106,92.4,0.1,7.2,0.3
E02001107,93.5,0.1,6,0.4
E02001108,93.2,0.1,6.5,0.2
E02001109,93.1,0.1,6.3,0.6
E02001110,90.5,0.2,9.1,0.3
E02001111,92,0.1,6.6,1.3
E02001112,93.8,0.2,5.6,0.4
E02001113,95,0.1,4,0.9
E02001114,93.8,0.1,5.5,0.6
E02001115,93.4,0.1,6.4,0.2
E02001116,91.5,0,7,1.5
E02001117,93.8,0.2,5.7,0.3
E02001118,93.4,0.1,6.3,0.2
E02001119,94.5,0.1,4,1.4
E02001121,92.5,0.1,6,1.5
E02001123,93,0.1,6.4,0.5
E02001124,92.5,0.1,6.8,0.6
E02001125,93.7,0.1,5.9,0.3
E02001126,91.7,0.1,7.3,0.9
E02001127,93.2,0.1,6.3,0.5
E02001128,92.9,0.2,6.5,0.4
E02001129,91.2,0.2,7.9,0.7
E02001130,94.3,0.2,5.3,0.3
E02001131,93.9,0.2,5.7,0.2
E02001132,92.6,0.2,7,0.2
E02001133,94.3,0.1,5.6,0.1
E02001134,93.2,0.1,6.4,0.4
E02001135,91.5,0.1,7.5,0.9
E02001136,92.3,0.1,7.1,0.6
E02001137,93.4,0.1,6.1,0.3
E02001138,93.1,0.2,6.2,0.4
E02001139,91.2,0,7.5,1.3
E02001140,92.7,0.1,6.5,0.6
E02001141,91.7,0.1,6.5,1.8
E02001142,93.2,0.2,6.2,0.4
E02001143,92.9,0.1,6.1,0.9
E02001144,91.9,0.2,7.7,0.1
E02001145,93.6,0.1,6,0.2
E02001146,90.4,0.1,7.5,2.1
E02001147,92.2,0.1,7.2,0.5
E02001148,93.6,0.1,5.7,0.6
E02001149,91.5,0.1,8,0.4
E02001150,92.6,0.1,6.9,0.4
E02001151,92.2,0.1,7.3,0.4
E02001152,90.4,0.1,8.8,0.7
E02001153,92.1,0.1,7.2,0.6
E02001154,92.5,0.1,6.9,0.4
E02001155,92.3,0.2,6.8,0.8
E02001156,94,0.2,5.5,0.3
E02001157,91.1,0.1,8,0.8
E02001158,91.3,0.2,7.8,0.8
E02001159,88.5,0.2,10.5,0.8
E02001160,92.9,0.1,6.6,0.4
E02001161,92,0.2,6.7,1.1
E02001162,92,0.1,7.2,0.7
E02001163,90.9,0.2,8.4,0.6
E02001164,86.4,0.1,12.8,0.8
E02001165,88.8,0.2,10.3,0.6
E02001166,90.2,0.4,8.3,1.2
E02001167,89.4,0.4,8.8,1.4
E02001168,89.5,0.2,9.4,0.8
E02001169,92.4,0.3,6.8,0.5
E02001170,92.3,0.2,7.1,0.4
E02001171,93.4,0.1,6,0.5
E02001173,74.3,5.5,18.5,1.8
E02001174,87.2,2,10.1,0.7
E02001175,91.1,0.3,7.9,0.6
E02001176,89.1,0.4,9.6,0.9
