areacd,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E02000984,3.1,23.2,40.5,33.2
E02000985,2.1,24,43.2,30.7
E02000986,9.4,33.7,41.8,15.1
E02000987,10.7,36.7,41.8,10.8
E02000988,10.1,39.9,33.8,16.2
E02000989,4.5,24.4,50.9,20.1
E02000990,5.5,27.9,44.2,22.4
E02000991,5,36.1,44,14.9
E02000992,5.2,29.2,46.8,18.8
E02000993,13.4,32.2,46.8,7.5
E02000994,18.6,45,24.4,12.1
E02000995,6,27,46.8,20.1
E02000996,14,31.6,49.4,5
E02000997,5.5,25.1,40.5,28.8
E02000998,14.1,44.2,26.4,15.4
E02000999,33.5,40.1,18.1,8.3
E02001000,12.7,38.1,40,9.2
E02001001,4,37.4,34.2,24.4
E02001002,5.7,32.8,50.3,11.2
E02001003,1.9,16.8,32.9,48.4
E02001004,16.2,41.5,29.2,13.1
E02001005,17.5,34.9,34,13.6
E02001006,4.7,46.4,36.2,12.7
E02001007,6.8,28.9,50.3,13.9
E02001008,10.6,36.3,42,11.1
E02001009,14.6,32.3,42.4,10.7
E02001010,7.2,46.7,36,10.1
E02001011,5.7,25.4,43.1,25.8
E02001012,3.2,17.3,65.2,14.4
E02001013,3.4,24.6,46.5,25.5
E02001014,10.4,32.5,44.1,13
E02001015,18.7,39.6,35,6.7
E02001016,10.1,22.6,61.6,5.7
E02001017,7.7,29.1,51.1,12.1
E02001018,2.7,24.9,41.8,30.5
E02001019,9.3,39.1,35.4,16.2
E02001020,3.8,20.4,41.9,34
E02001021,4.4,25.6,37.5,32.5
E02001022,8.4,27.4,49.6,14.6
E02001023,4.4,21.9,38.7,34.9
E02001024,2.6,28.4,50.4,18.7
E02001025,13.7,41.7,35.7,8.9
E02001026,15.1,52.5,24.1,8.2
E02001027,11.5,42.8,36,9.7
E02001028,4.6,14.8,49,31.6
E02001029,11.1,33.4,42.8,12.7
E02001030,3.9,20.8,43.6,31.8
E02001031,11,29.7,44.4,14.9
E02001032,5.9,32,49.2,12.9
E02001033,6.9,35.4,47.8,9.9
E02001034,23.2,41.6,30.1,5
E02001035,3.9,16.1,50.5,29.5
E02001036,4.3,30.7,46.9,18.1
E02001037,4.2,22.7,39.4,33.7
E02001038,14.5,30.1,45.4,10
E02001039,6.3,22.1,63.6,7.9
E02001040,8.1,16.2,52.5,23.3
E02001041,10.1,27.5,51.1,11.4
E02001042,17.2,22.8,38.1,21.8
E02001043,6.5,26.6,48.8,18.1
E02001044,7.7,7.4,47.2,37.6
E02001045,8.3,34,52.1,5.7
E02001046,8.5,26.1,55.3,10.1
