areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E02000984,7.1,38.3,41.3,13.3
E02000985,12.1,40.9,35.6,11.4
E02000986,15.6,45.7,30.5,8.2
E02000987,27.4,42.8,24.1,5.7
E02000988,29.1,43.5,21,6.3
E02000989,13.5,41.2,35.2,10.1
E02000990,15.6,44.5,31.5,8.3
E02000991,20.1,45.3,27.3,7.3
E02000992,13.9,43.4,33.3,9.4
E02000993,36,41.2,19.2,3.6
E02000994,39.5,42.1,15,3.4
E02000995,21.5,42.6,28.9,7.1
E02000996,37.9,40.3,17.1,4.6
E02000997,16.1,41.2,31.9,10.8
E02000998,37.3,43.2,15.4,4.2
E02000999,54.4,35,8.7,1.8
E02001000,30.7,46.2,19,4.2
E02001001,22.7,43.4,25.7,8.2
E02001002,22,43.4,27.7,6.9
E02001003,8.8,39.4,38.2,13.6
E02001004,41.2,42.7,12.7,3.5
E02001005,36.1,42.8,16.9,4.2
E02001006,29.6,48.3,16.9,5.3
E02001007,18.4,44,28.6,8.9
E02001008,31.7,45.3,18.4,4.6
E02001009,29.1,44.5,20.7,5.8
E02001010,31.8,44.6,18.3,5.3
E02001011,11.7,43.1,35.3,9.9
E02001012,20.4,42.9,25.9,10.8
E02001013,11.4,41.2,36.2,11.2
E02001014,24.8,42.3,25.9,7
E02001015,36.4,43.9,15.9,3.7
E02001016,30,43.1,21.7,5.3
E02001017,19.5,44.7,27.4,8.4
E02001018,10.4,38.7,37.8,13.1
E02001019,18.2,44,30.5,7.3
E02001020,10.7,39.4,37.8,12.1
E02001021,10.6,37.5,38.9,13
E02001022,20.4,43.3,28.6,7.8
E02001023,17.5,40,33.5,9
E02001024,12.5,42.3,35.2,10.1
E02001025,35.9,42.2,17.2,4.7
E02001026,39.1,44.5,13.1,3.3
E02001027,27.6,45.2,22.3,4.9
E02001028,11.7,40.4,37.2,10.6
E02001029,28.8,45.4,20.3,5.5
E02001030,9,37.4,39.2,14.3
E02001031,22.5,44.5,26.3,6.7
E02001032,19.8,45.4,26.9,7.9
E02001033,25.1,45.5,23.7,5.7
E02001034,40.9,40.8,14.9,3.4
E02001035,12.1,43.9,34,10
E02001036,19,44.3,29.2,7.6
E02001037,11.9,42.5,36.3,9.3
E02001038,29,45.5,21.6,3.9
E02001039,29,45.6,20.4,5
E02001040,16,45.1,30.9,8
E02001041,27.1,48.3,20.4,4.1
E02001042,23.8,45.4,24.2,6.6
E02001043,21.9,46.6,26,5.4
E02001044,15,45.6,30.5,9
E02001045,36.5,45.8,14.4,3.3
E02001046,35.4,42.1,19.1,3.4
E02001047,35.4,44.5,16.8,3.3
E02001048,30,46.2,19,4.8
E02001049,25,47.5,21.9,5.6
E02001050,43.8,42.9,11.6,1.7
E02001051,38,43.7,15.3,3
E02001052,34.5,43.3,17.5,4.6
E02001053,50.6,38.4,9.8,1.2
E02001055,43,42.5,11.8,2.7
E02001056,45.7,40.8,11.5,2
E02001059,42.4,45.7,10.3,1.5
E02001061,43.8,41.9,12.1,2.2
E02001062,48.5,40.5,9,1.9
E02001063,53.5,39.4,5.7,1.4
E02001064,40.7,44.1,12.8,2.5
E02001065,41.7,42.4,12.7,3.2
E02001066,50.8,35.5,10.1,3.6
E02001067,41.3,42.6,13.5,2.6
E02001068,48.8,40.2,9.7,1.4
E02001069,51,38.3,8.6,2.1
E02001070,46.8,35.6,12.9,4.7
E02001072,36.6,45.2,14.6,3.6
E02001073,26.3,48.4,20.5,4.8
E02001074,33.5,44.1,17.3,5.1
E02001075,39.8,45.7,12.3,2.3
E02001076,40.3,37.7,15.2,6.8
E02001077,23.1,48,23.1,5.8
E02001078,25,46.1,21.4,7.5
E02001079,32.5,44.8,17.9,4.7
E02001080,39.6,39.2,15.9,5.3
E02001081,22.6,50.1,23.4,3.9
E02001082,30.8,45.4,19.1,4.7
E02001083,28.1,48.9,19.9,3
E02001084,27.8,43.9,22.5,5.9
E02001085,31.1,46.8,17.4,4.7
E02001086,26.6,48.7,20.9,3.8
E02001087,24.3,47.2,24.4,4.2
E02001088,31.2,46.8,18.4,3.6
