areacd,hh_language-001,hh_language-002,hh_language-003,hh_language-004
E02000984,98.4,0.9,0,0.6
E02000985,98.7,0.9,0,0.4
E02000986,95.4,2.6,0.7,1.4
E02000987,97.7,0.7,0.3,1.3
E02000988,84.9,7.8,1.8,5.5
E02000989,98.6,0.7,0.2,0.5
E02000990,96.8,1.4,0.5,1.3
E02000991,91.4,3.7,1.4,3.5
E02000992,98.4,0.7,0.1,0.7
E02000993,91,3.4,1.9,3.7
E02000994,67.7,13.9,4.9,13.6
E02000995,94.9,2.4,0.5,2.2
E02000996,93.6,1.7,1.5,3.2
E02000997,95.8,2.1,0.6,1.5
E02000998,69.3,11.6,3.9,15.2
E02000999,72.3,8.8,3.9,15
E02001000,89.2,4,1,5.8
E02001001,80.9,8.2,2.9,8
E02001002,95.7,1.9,0.5,1.9
E02001003,88.2,7.4,1,3.5
E02001004,51.3,18.8,5.3,24.6
E02001005,65.8,14.4,3.9,16
E02001006,60.2,17.6,6.3,15.9
E02001007,98.1,1,0.2,0.7
E02001008,59.2,18.3,7.2,15.2
E02001009,83.1,6.1,2.9,7.9
E02001010,84.6,7.4,2.2,5.8
E02001011,97.3,1.3,0.3,1.1
E02001012,78.9,13,2.5,5.6
E02001013,92.7,3.4,1.1,2.8
E02001014,97.4,1,0.3,1.4
E02001015,94,1.9,1,3.1
E02001016,91.4,2.9,1.6,4.2
E02001017,97.1,1.1,0.3,1.4
E02001018,97.8,1,0.4,0.9
E02001019,97.8,1.1,0.3,0.7
E02001020,98.5,1.1,0,0.3
E02001021,98.6,0.8,0.1,0.4
E02001022,93.7,3.2,0.7,2.4
E02001023,95.3,2.7,0.6,1.3
E02001024,98.2,0.9,0.3,0.5
E02001025,88.4,2.7,2.2,6.7
E02001026,73.2,11.2,3.5,12.1
E02001027,94.1,2.5,0.7,2.8
E02001028,98,1.2,0.2,0.6
E02001029,77.1,12.1,2.7,8.1
E02001030,97.7,1.4,0.3,0.6
E02001031,91.4,4.1,1.3,3.3
E02001032,96.4,1.5,0.4,1.7
E02001033,93.2,3,0.9,2.9
E02001034,92.4,2.4,1.1,4
E02001035,96.3,2.2,0.3,1.2
E02001036,94.6,1.8,0.9,2.7
E02001037,95.5,2.3,0.4,1.8
E02001038,92.6,3.1,1,3.3
E02001039,91.1,3.2,1.6,4.1
E02001040,92.3,3.8,0.6,3.4
E02001041,92,3.8,1,3.2
E02001042,90.8,3.9,1.1,4.1
E02001043,90.6,3.4,1.8,4.3
E02001044,84.6,9.3,1.2,4.9
E02001045,89.7,3.4,2.1,4.8
E02001046,83.4,6,3.1,7.5
E02001047,87.7,4,2.1,6.1
E02001048,74,11.3,3.9,10.8
E02001049,90.7,3.5,1.7,4.2
E02001050,72.5,7.3,4.5,15.6
E02001051,82.2,5.6,3.7,8.5
E02001052,47.5,22.8,7.7,22
E02001053,76.7,6.4,4.6,12.3
E02001055,86.3,4.2,2.5,7.1
E02001056,81.2,6.2,4.4,8.1
E02001059,73.7,7.1,4.9,14.4
E02001061,78.8,7.1,3.6,10.5
E02001062,62.3,12.8,4.7,20.3
E02001063,69,9,3.2,18.8
E02001064,65.4,12.5,6.2,15.9
E02001065,79.2,5.1,4.7,11
E02001066,54.8,17.9,3.8,23.5
E02001067,72.5,8.7,5.6,13.1
E02001068,62.7,15,6.9,15.4
E02001069,59.1,15.4,5.9,19.6
E02001070,59.5,18.4,3,19.1
E02001072,75.8,9.7,2,12.5
