areacd,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E02000984,92.1,1.4,6.4
E02000985,89.6,1.6,8.8
E02000986,87.3,3.1,9.6
E02000987,80,2.7,17.3
E02000988,79.3,7.7,13
E02000989,88.3,1.4,10.3
E02000990,85.2,3.7,11.1
E02000991,82.2,6.9,10.9
E02000992,84.7,1.5,13.8
E02000993,70.6,9.3,20.2
E02000994,70,16.2,13.8
E02000995,79.8,4.1,16.1
E02000996,65.8,6.8,27.3
E02000997,82.6,4.3,13.1
E02000998,62.3,24.4,13.3
E02000999,64.7,15.6,19.7
E02001000,75,8.9,16.1
E02001001,75.5,12.5,12
E02001002,79,3.8,17.2
E02001003,89.5,4.9,5.7
E02001004,66.8,20.9,12.3
E02001005,65.2,22.9,11.9
E02001006,69.6,20,10.4
E02001007,84.3,1.8,13.9
E02001008,69.7,18.2,12.1
E02001009,73.5,12.3,14.2
E02001010,72.7,12.3,15
E02001011,88.5,2.5,9
E02001012,75.6,12.4,12
E02001013,86.7,4.5,8.8
E02001014,79.1,3.1,17.7
E02001015,75.8,5.8,18.4
E02001016,69.3,8.2,22.5
E02001017,83.2,3,13.8
E02001018,87.4,1.9,10.6
E02001019,86,2.6,11.4
E02001020,89.3,1.4,9.3
E02001021,90.5,1.6,8
E02001022,81,5.3,13.7
E02001023,83.2,4,12.8
E02001024,87.5,2.2,10.3
E02001025,68.9,8.8,22.2
E02001026,65.5,19.6,14.9
E02001027,79.8,5.4,14.8
E02001028,89.6,2.1,8.3
E02001029,72.6,15.8,11.5
E02001030,89.6,2,8.4
E02001031,80.8,7.7,11.5
E02001032,82.1,3.2,14.7
E02001033,78.2,6,15.8
E02001034,72.3,6.5,21.2
E02001035,87.9,4.4,7.6
E02001036,80.5,5.1,14.4
E02001037,88.1,4.6,7.2
E02001038,79,7.9,13.2
E02001039,76.4,8.3,15.3
E02001040,83.3,6.6,10.2
E02001041,80.2,7.2,12.6
E02001042,83,8.3,8.7
E02001043,80.3,7.8,11.9
E02001044,83.1,9.4,7.4
E02001045,71.1,12.6,16.3
E02001046,67.4,17.8,14.8
E02001047,70.2,14.4,15.5
E02001048,71.2,19.6,9.2
E02001049,76.6,10.4,13
E02001050,56.8,28.4,14.8
E02001051,60.2,24.1,15.7
E02001052,63.7,29.3,6.9
E02001053,56.7,24.5,18.8
E02001055,65.5,16.7,17.9
E02001056,60.9,20.8,18.3
E02001059,60.1,25,14.9
E02001061,60,23.8,16.2
E02001062,62.4,27.9,9.7
E02001063,66.5,27.9,5.5
E02001064,64,23.4,12.5
E02001065,59.5,24.2,16.3
E02001066,64.5,29.1,6.3
E02001067,58.8,26,15.2
E02001068,70.2,20.8,9.1
E02001069,66.7,24.4,8.9
E02001070,69.7,24.8,5.5
E02001072,75.3,17.2,7.5
E02001073,84.1,9.7,6.2
E02001074,76.4,13.8,9.8
E02001075,65.6,25.2,9.2
E02001076,82,14.2,3.8
E02001077,85.9,8.7,5.4
E02001078,77.6,14.4,7.9
E02001079,78.3,11.7,10
E02001080,82.1,12.5,5.4
E02001081,85,7.6,7.4
E02001082,81.9,12.8,5.3
E02001083,82,12.3,5.7
E02001084,81.6,11.5,6.9
E02001085,74.3,12.9,12.9
E02001086,75.5,12.5,12
E02001087,84.1,11.1,4.8
E02001088,74,10.1,15.8
E02001089,84.5,10.2,5.3
E02001090,80.5,8,11.5
E02001091,79.4,8.1,12.6
E02001092,73.9,12,14
E02001093,67.2,13.1,19.6
E02001094,61.7,15.7,22.6
E02001095,70.4,12.7,16.9
E02001096,76,8.9,15.1
E02001097,69.4,13.7,16.8
E02001098,83.4,2.4,14.2
E02001099,81.5,3.8,14.7
E02001100,83.6,3.4,13
E02001101,87.8,1.1,11
E02001102,86.8,2.1,11.1
E02001103,89.5,1.6,8.9
E02001104,81.5,4.3,14.2
E02001105,84.2,2.7,13.1
E02001106,83.4,3.1,13.4
E02001107,84.5,6.2,9.3
E02001108,69.6,8.1,22.2
E02001109,75.8,6.8,17.4
E02001110,90.8,1.4,7.8
E02001111,61.2,20.7,18.1
E02001112,90,3.6,6.5
E02001113,81,12.6,6.4
E02001114,81.2,6.3,12.5
E02001115,82.9,2.8,14.3
E02001116,66.4,23.3,10.3
E02001117,89.4,1.5,9.1
E02001118,89,1.2,9.7
E02001119,78.5,14.7,6.8
E02001121,71.3,19.2,9.5
E02001123,70.8,11,18.3
E02001124,73.2,10.1,16.7
E02001125,82.4,4,13.6
E02001126,65.7,14.1,20.2
E02001127,71.3,8.2,20.5
E02001128,79.6,6.3,14.1
E02001129,74.9,8.8,16.3
E02001130,84.8,2.9,12.3
E02001131,84.4,3.4,12.3
E02001132,82.1,2.7,15.2
E02001133,87.2,1.5,11.4
E02001134,86.8,2.1,11.2
E02001135,72.8,9.5,17.7
E02001136,83,4.5,12.5
E02001137,89.5,2.3,8.2
E02001138,88.8,2.7,8.5
E02001139,76.9,14,9.1
E02001140,75.8,9.3,15
E02001141,65.2,19.2,15.6
E02001142,89.2,4.7,6.1
E02001143,74.8,11.8,13.4
E02001144,82.4,3.7,13.9
E02001145,86,2,12.1
E02001146,72.5,18.7,8.7
E02001147,69.5,12.5,18
E02001148,77.9,6.5,15.5
E02001149,71.8,8.3,19.9
E02001150,74.1,7.1,18.9
E02001151,83,3.5,13.6
E02001152,75.3,9.4,15.3
E02001153,65.5,14.7,19.8
E02001154,79.7,5.3,14.9
E02001155,77.7,6.7,15.7
E02001156,86.1,5,8.8
E02001157,63.5,13.3,23.2
E02001158,71.7,9.5,18.9
E02001159,76.6,8.7,14.6
E02001160,68.7,11.9,19.4
E02001161,76.5,10.2,13.3
E02001162,76.8,7.7,15.4
E02001163,83.1,4.8,12.1
E02001164,72.6,9.8,17.6
E02001165,78.7,7.3,14.1
E02001166,76.6,15.2,8.2
E02001167,70.3,17.8,11.9
E02001168,77.4,7.9,14.7
E02001169,89.1,3.8,7.1
E02001170,89.4,3.1,7.5
E02001171,85.6,4.8,9.6
E02001173,66.1,17,16.9
E02001174,81.6,8.1,10.3
E02001175,74,9.7,16.3
E02001176,79.7,8.9,11.5
E02001177,70.6,15,14.4
E02001179,67.8,19.1,13.1
E02001180,60.4,20.8,18.8
E02001181,65.3,14.4,20.3
E02001182,69.4,13.5,17.1
E02001183,71.1,12.7,16.1
E02001185,79,4.6,16.4
E02001186,79.3,4.4,16.2
E02001187,82.1,4.6,13.3
E02001188,78.7,6.6,14.7
E02001189,84.1,5.2,10.7
