geography_code,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E00167144,27.9,20.9,51.2
E00167154,50,19.7,30.3
E00167161,22.9,18.8,58.3
E00167181,32.5,7.5,60
E00167184,16.8,37.8,45.4
E00167185,14.7,29.9,55.5
E00167186,18.3,29.1,52.6
E00167187,11.9,27.4,60.7
E00167189,28.2,23.6,48.2
E00167190,17.9,32.6,49.5
E00167191,16.7,26.3,57
E00167192,23.9,20.7,55.4
E00167193,7.5,41,51.5
E00167194,12.1,37.9,50
E00167195,13,38.2,48.9
E00167196,14.3,34.1,51.6
E00167202,7,46.5,46.5
E00167204,26.9,26.9,46.3
E00167210,20.6,26.5,52.9
E00167212,14.8,32.6,52.6
E00167213,22.5,20.7,56.8
E00167214,13.4,22.8,63.8
E00167216,21.5,20.6,57.9
E00167217,20.2,29.2,50.6
E00167218,15.6,25.9,58.5
E00167219,10.3,30.8,59
E00167227,15.3,36.3,48.4
E00167228,17.7,26.6,55.7
E00167229,20.7,19,60.3
E00167230,15.2,39.3,45.5
E00167231,31.5,19.6,48.9
E00167233,20.2,28.6,51.2
E00167234,16,22.9,61.1
E00167236,27.6,27.6,44.8
E00167237,20.2,37.4,42.4
E00167238,13.4,33.9,52.7
E00167239,11.5,24.5,64
E00167246,10.3,41.4,48.3
E00167247,10.8,35.1,54.1
E00167253,9.4,30.7,59.8
E00167256,11.4,37.4,51.2
E00167257,8.7,26.8,64.5
E00167258,31,20.7,48.3
E00167263,16.3,42.3,41.3
E00167264,18.4,34.6,47
E00174987,6.3,45.3,48.4
E00174990,23.2,36.2,40.7
E00175037,17.5,34.2,48.3
E00175053,12.5,34.7,52.8
E00175068,23.2,28.4,48.5
E00175074,18.3,28.7,53
E00175078,6.2,26.8,67
E00182079,26.9,23.9,49.3
E00182108,12.8,22.2,65
E00182110,11.9,32.2,55.9
E00182147,10.6,41.2,48.2
E00182203,17.8,27.8,54.4
E00182217,16.4,39.5,44.1
E00182225,15.9,38.9,45.1
E00182232,20.9,30.2,48.8
E00182292,9.8,19.6,70.6
E00182308,25.8,28.4,45.9
E00182370,20.5,27.7,51.8
E00182389,12.2,42.7,45.1
E00182391,20.9,32,47.1
E00182396,7.5,68.8,23.8
E00182397,26.3,23.9,49.8
E00183710,17,22.6,60.4
E00183711,16.5,21.8,61.7
E00183712,13.4,19,67.6
E00183713,17.9,23.2,58.9
E00183714,21.8,27.7,50.5
E00183724,2.6,36.8,60.5
E00183725,14.5,18.2,67.3
