areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00046507,34,43.1,20.1,2.8
E00046508,39,44.9,14.7,1.5
E00046512,29.6,50,19.4,0.9
E00046515,36.1,42.9,16.8,4.2
E00046519,38.1,40,18.1,3.8
E00046520,37.4,41.1,19.6,1.9
E00046522,38.1,39.8,16.8,5.3
E00046524,23.5,46.1,22.6,7.8
E00046525,50.4,39,9.8,0.8
E00046528,4.1,42.1,40.5,13.2
E00163864,6,44,37.1,12.9
E00163870,16.2,44.6,28.5,10.8
E00163920,3.3,25.8,29.8,41.1
E00163931,0.8,32.2,40.5,26.4
E00164076,10.8,35.1,31.5,22.5
E00164078,8.5,35.9,35.9,19.7
E00164079,11.2,31.2,42.9,14.7
E00164080,7.6,36.2,34.3,21.9
E00164081,7.1,27.7,40.6,24.5
E00164082,17.2,35.7,34.4,12.7
E00164083,9.6,42.7,33.1,14.6
E00164084,14.9,43.9,30.4,10.8
E00164086,12.7,44.7,28.7,14
E00164087,10.1,38.8,34.1,17.1
E00164088,17.3,39.1,36.1,7.5
E00164089,18.2,27.3,36.4,18.2
E00164090,16.2,38.5,31.6,13.7
E00164091,13.9,33.6,39.3,13.1
E00164092,15,34.6,35.4,15
E00164093,7,26.6,41.4,25
E00164094,20,32.8,39.2,8
E00164096,10.4,42.4,39.2,8
E00164113,6.7,22.8,38.3,32.2
