areacd,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E00090512,28.5,71.5
E00090514,37.1,62.9
E00090515,38.1,61.9
E00090516,49.1,50.9
E00090517,29.5,70.5
E00090518,35.1,64.9
E00090519,40.4,59.6
E00090520,31.6,68.4
E00090521,36.8,63.2
E00090522,35,65
E00090523,32.6,67.4
E00090524,30.7,69.3
E00090525,31.7,68.3
E00090526,27.3,72.7
E00090527,34.1,65.9
E00090528,31.5,68.5
E00090529,32.1,67.9
E00090530,31.3,68.7
E00090531,34.3,65.7
E00090532,32.9,67.1
E00090533,42.6,57.4
E00090534,43.4,56.6
E00090535,27.3,72.7
E00090536,37.4,62.6
E00090537,43.6,56.4
E00090539,46.6,53.4
E00090540,37.9,62.1
E00090541,34,66
E00090542,44.1,55.9
E00090543,51.7,48.3
E00090545,38.1,61.9
E00090546,26.7,73.3
E00090547,25.6,74.4
E00090548,36.5,63.5
E00090549,36.6,63.4
E00090550,40.5,59.5
E00090551,36.8,63.2
E00090552,33.3,66.7
E00090553,36.9,63.1
E00090554,34.5,65.5
E00090555,31.6,68.4
E00090556,49,51
E00090557,48.1,51.9
E00090558,19.9,80.1
E00090559,47.3,52.7
E00090560,37.2,62.8
E00090561,44,56
E00090562,23.1,76.9
E00090563,36.4,63.6
E00090564,44.2,55.8
E00090565,30.8,69.2
E00090566,31.4,68.6
E00090567,41.8,58.2
E00090568,44.1,55.9
E00090569,54.4,45.6
E00090570,35,65
E00090571,43.7,56.3
E00090574,6.2,93.8
E00090575,38.9,61.1
E00090576,33.5,66.5
E00090577,5.4,94.6
E00090580,14.2,85.8
E00090581,44.2,55.8
E00090582,50.6,49.4
E00090583,51.7,48.3
E00090584,38.2,61.8
E00090586,53.3,46.7
E00090587,47.4,52.6
E00090588,48.6,51.4
E00090589,41.1,58.9
E00090590,33,67
E00090591,41.8,58.2
E00090592,48,52
E00090593,47.3,52.7
E00090594,42.5,57.5
E00090595,40.5,59.5
E00090596,53.1,46.9
E00090597,52.9,47.1
E00090598,60.1,39.9
E00090599,54.7,45.3
E00090600,74.6,25.4
E00090601,53.6,46.4
E00090602,39.2,60.8
E00090603,57.6,42.4
E00090604,45.1,54.9
E00090605,49.3,50.7
E00090606,60.9,39.1
E00090607,55.7,44.3
E00090608,41.5,58.5
E00090609,47.2,52.8
E00090610,44.5,55.5
E00090611,52.6,47.4
E00090612,45.7,54.3
E00090613,57.1,42.9
E00090614,48.7,51.3
E00090615,43.7,56.3
E00090616,45,55
E00090617,44,56
E00090618,45.2,54.8
E00090619,35.7,64.3
E00090620,43.3,56.7
E00090621,51.2,48.8
E00090622,51,49
E00090623,32.3,67.7
E00090624,39.7,60.3
E00090627,36.4,63.6
E00090628,30.8,69.2
E00090629,52.3,47.7
E00090630,28,72
E00090631,44.7,55.3
E00090632,23.1,76.9
E00090633,29.6,70.4
E00090634,42.7,57.3
E00090635,34.6,65.4
