geography_code,hh_deprivation-001,hh_deprivation-002,hh_deprivation-003,hh_deprivation-004,hh_deprivation-005
E00025651,41.1,32.6,20.6,5.7,0
E00025654,47.7,30.2,19.5,2.7,0
E00025727,22.1,33.8,26.9,17.2,0
E00025730,30.2,36.7,23.7,9.4,0
E00025756,40.3,25.5,22.4,11.2,0.5
E00025758,33.3,39,22,5,0.7
E00025759,37.2,33.6,24.1,5.1,0
E00026788,29.3,36.1,25.6,8.3,0.8
E00026789,51.2,36.6,10.6,1.6,0
E00026790,50,35,9.3,5,0.7
E00026791,33.6,36,22.4,8,0
E00026792,25,36.7,26.7,10.8,0.8
E00026793,27.3,34.4,31.3,7,0
E00026795,42,29,22.5,6.5,0
E00026796,28.8,37.9,27.3,6.1,0
E00026797,41.3,34.7,20.7,3.3,0
E00026798,31.9,34,22.7,11.3,0
E00026799,22.5,40.6,27.5,9.4,0
E00026800,43.2,37.1,15.9,3.8,0
E00026801,52.2,31,15,1.8,0
E00026802,54.1,26.7,16.3,3,0
E00026803,51.6,36.3,9.7,2.4,0
E00026804,40.9,40.9,13.4,4.7,0
E00026812,32.2,31.5,25.9,10.5,0
E00026818,30.6,36.3,22.6,9.7,0.8
E00026819,31.1,34.1,23.5,11.4,0
E00026906,35.5,32.7,23.4,8.4,0
E00026907,29.5,33,29.5,8,0
E00026909,34.8,30.4,23,11.1,0.7
E00026910,40.3,28.5,24.3,6.9,0
E00026912,29,31.3,26.7,13,0
E00026913,26.1,35.2,28.2,10.6,0
E00026914,41.8,30.3,20.5,7.4,0
E00026915,20,35.8,35.8,8.3,0
E00026916,58.7,28.9,10.7,1.7,0
E00026917,37.7,35.1,17.5,9.1,0.6
E00026918,34.9,34.9,16.5,12.8,0.9
E00026919,28.2,39.1,19.1,11.8,1.8
E00026920,42.5,27.6,22.4,6.7,0.7
E00026921,42,38.5,15.4,4.2,0
E00026922,35.3,33.8,25.2,5.8,0
E00026923,29.5,28.8,26.6,15.1,0
E00026924,33.3,42.3,17.9,5.7,0.8
E00026925,36.1,39.5,17.7,6.8,0
E00026926,28.2,32.8,27.5,11.5,0
E00026927,33,34.8,26.1,6.1,0
E00026928,35.6,34.1,23.7,6.7,0
E00026929,32.8,37,21.8,8.4,0
E00026930,32.6,38.8,19.4,7.8,1.6
E00026931,29.7,26.6,28.9,14.8,0
E00026932,37.9,32.3,21,8.9,0
E00026934,28.4,34.3,29.1,8.2,0
E00026935,37.9,32.4,17.9,11.7,0
E00026936,29,34.4,22.1,14.5,0
