areacd,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E00091597,3.2,27.4,58.9,10.5
E00091598,0,19.2,69.6,11.2
E00091679,7.3,32.8,43.1,16.8
E00091680,2.9,12.6,29.9,54.6
E00091681,0.9,1.7,12.1,85.3
E00091682,0,8.9,39.5,51.6
E00091683,0,0,12.2,87.8
E00091684,4.1,3.3,66.9,25.6
E00091685,14.4,22.9,25.5,37.3
E00091686,24.7,39.8,24.7,10.8
E00091687,0,2.8,12.3,84.9
E00091688,1.6,1.6,37.6,59.2
E00091689,2.2,1.5,22.2,74.1
E00091690,4.9,36.6,26.8,31.7
E00091691,42.5,26.8,11.8,19
E00091692,0,5.3,65.6,29
E00091693,17.3,50.9,20.9,10.9
E00091694,15.3,19,48.9,16.8
E00091695,16.4,37.1,30.7,15.7
E00091696,0,10.7,32.9,56.4
E00091697,7.8,30.7,32.5,28.9
E00091698,2.9,2.2,65.4,29.4
E00091699,29.1,23,35.1,12.8
E00091700,18.5,4.4,31.9,45.2
E00091701,1.6,17.2,50.8,30.5
E00091702,0.7,8.2,46.3,44.8
E00091703,24,25.7,45.8,4.5
E00091704,8.6,9.4,79.1,2.9
E00091705,3.8,15.3,58,22.9
E00091706,33.6,20.7,21.6,24.1
E00091707,9.7,44.6,33.9,11.8
E00091708,1.4,31,55.6,12
E00091709,1.3,15,28.8,55
E00091710,8.5,31.7,47.9,12
E00091711,7,24.2,47.7,21.1
E00091712,29.1,38.2,23.6,9.1
E00091713,10.3,15.4,74.4,0
E00091714,20,24.8,51,4.1
E00091715,6.1,20.4,59.2,14.3
E00091716,0.8,11.2,54.4,33.6
E00091717,23.5,10.1,51.7,14.8
E00091718,8.3,20.8,49.2,21.7
E00091720,27.7,52.3,16.9,3.1
E00091721,10.7,12.4,43,33.9
E00091722,13.2,10.7,69.4,6.6
E00091723,27.4,27.4,38.5,6.8
E00091724,0.8,31.7,55,12.5
E00091725,8.8,36,46.4,8.8
E00091726,12.6,19.7,61.4,6.3
E00091727,3.1,16.4,64.8,15.6
E00091728,14.1,9.6,57.8,18.5
E00091729,6.8,23.6,48,21.6
E00091730,0,5.1,92,2.9
E00091731,11.6,15.5,47.3,25.6
E00091732,0.8,28,61.4,9.8
E00091733,0.9,6.5,76.9,15.7
E00091734,0,1.7,88,10.3
E00091735,0.8,8.7,81.1,9.4
E00091736,18.6,54.6,22.7,4.1
E00091737,0,9.3,78.7,12
E00091738,10.6,45.5,39,4.9
