geography_code,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E00049398,57,43
E00049399,40,60
E00049400,35.8,64.2
E00049401,41.8,58.2
E00049402,30.7,69.3
E00049403,41.9,58.1
E00049404,30.9,69.1
E00049405,39.7,60.3
E00049406,58.9,41.1
E00049407,48.1,51.9
E00049409,62.1,37.9
E00049410,59,41
E00049411,45.5,54.5
E00049412,35.8,64.2
E00049413,49.6,50.4
E00049414,42.6,57.4
E00049415,30.9,69.1
E00049416,61.5,38.5
E00049417,35.1,64.9
E00049418,45.2,54.8
E00049419,51.3,48.8
E00049420,51.6,48.4
E00049421,37.3,62.7
E00049422,59.4,40.6
E00049423,43.5,56.5
E00049424,52.4,47.6
E00049425,42.1,57.9
E00049426,29.3,70.7
E00049427,41.5,58.5
E00049428,49.2,50.8
E00049429,24.6,75.4
E00049430,39.5,60.5
E00049431,44.2,55.8
E00049432,29.2,70.8
E00049433,41,59
E00049434,35.5,64.5
E00049435,26.7,73.3
E00049436,36.9,63.1
E00049437,38.1,61.9
E00049439,48.6,51.4
E00049440,50,50
E00049460,47.5,52.5
E00049461,36.5,63.5
E00049463,35.8,64.2
E00049467,55.1,44.9
E00050481,63.8,36.2
E00050482,47.7,52.3
E00050483,35.7,64.3
E00050484,32.7,67.3
E00050485,35.9,64.1
E00050486,36.9,63.1
E00050487,50.4,49.6
E00050489,45.8,54.2
E00050490,50,50
E00050491,38.8,61.2
E00050492,39,61
E00050729,32.7,67.3
E00050731,55.7,44.3
E00050732,58.9,41.1
E00050733,57,43
E00050734,44.5,55.5
E00050735,50.4,49.6
E00050736,41.9,58.1
E00050737,52.2,47.8
E00050738,46,54
E00050739,37.3,62.7
E00050740,56.8,43.2
E00050741,56.7,43.3
E00050742,61.3,38.7
E00050743,37.6,62.4
E00050744,39.3,60.7
E00050745,7.7,92.3
E00050746,35.2,64.8
E00050747,31.1,68.9
E00050748,35.3,64.7
E00050750,23.4,76.6
E00050751,31.6,68.4
E00050752,24.8,75.2
E00050753,32.5,67.5
E00050754,19.9,80.1
E00050755,36.5,63.5
E00050757,36.8,63.2
E00050758,39.5,60.5
E00050759,22.9,77.1
E00050760,26,74
E00050761,33.6,66.4
E00050762,26.5,73.5
E00050763,35.6,64.4
E00050764,34.3,65.7
E00050765,34.9,65.1
E00050766,44.4,55.6
E00050767,34.7,65.3
E00050768,35.2,64.8
E00050769,34.6,65.4
E00051006,44.9,55.1
E00051010,30.5,69.5
E00051011,32.3,67.7
E00051014,47.6,52.4
E00051016,26,74
E00051019,26.3,73.7
E00051023,35.1,64.9
E00051025,49.1,50.9
E00051032,41,59
E00051035,53.3,46.7
E00051059,34,66
E00051061,56.9,43.1
E00051062,55.8,44.2
E00051063,58.9,41.1
E00051064,38.5,61.5
E00051843,39.7,60.3
E00051844,51.8,48.2
E00051845,51.4,48.6
E00051846,37.7,62.3
E00051850,29.1,70.9
E00051851,46.5,53.5
E00051852,40.4,59.6
E00051853,48.7,51.3
E00051864,46.2,53.8
E00051865,34.4,65.6
E00051868,39.8,60.2
E00051869,41.5,58.5
E00051870,44.4,55.6
E00051871,30.3,69.7
E00051873,38.5,61.5
E00051874,42.7,57.3
E00051875,43.8,56.2
E00051876,46.6,53.4
E00051877,29.5,70.5
E00051878,53.4,46.6
E00051879,29,71
E00051880,46.9,53.1
E00051881,38.7,61.3
E00051882,33.1,66.9
E00051883,40.2,59.8
E00052097,42.2,57.8
E00052098,41,59
E00052099,43.9,56.1
E00052100,22.1,77.9
E00052101,43.7,56.3
E00052102,27.9,72.1
E00052103,37.9,62.1
E00052104,34.1,65.9
E00052106,46.9,53.1
E00052107,35,65
E00052108,36.9,63.1
E00052110,40.8,59.2
E00052111,34,66
E00052112,36.6,63.4
E00052113,44.3,55.7
E00052114,37.8,62.2
E00052115,32,68
E00052116,19.8,80.2
E00052117,38.3,61.7
E00052118,40.3,59.7
E00052121,39.7,60.3
E00052122,32,68
E00052123,43.8,56.2
E00052124,42.2,57.8
E00052125,41.8,58.2
E00052127,30.4,69.6
E00052129,28.9,71.1
E00052131,38.2,61.8
E00052132,39.2,60.8
E00052134,43.5,56.5
E00052535,33.5,66.5
E00052536,40.5,59.5
E00052537,37.7,62.3
E00052538,22.9,77.1
E00052539,41.4,58.6
E00052540,55.6,44.4
E00052541,41.2,58.8
E00052542,37.8,62.2
E00052543,44.9,55.1
E00052544,48.6,51.4
E00052545,54,46
E00052546,28.5,71.5
E00052547,53.1,46.9
E00052548,29.6,70.4
E00052549,24.9,75.1
E00052550,47.1,52.9
E00052551,40.9,59.1
E00052552,52.9,47.1
E00052553,26.5,73.5
E00052554,23.1,76.9
E00052555,32.2,67.8
E00052565,16.5,83.5
E00052566,47.9,52.1
E00052567,31.2,68.8
E00052569,57,43
E00052570,39.3,60.7
E00052571,34.5,65.5
E00052572,35.8,64.2
E00052573,48.4,51.6
E00052574,54.1,45.9
E00052575,36.4,63.6
E00052576,28.6,71.4
E00052577,36.2,63.8
E00052578,30.3,69.7
E00052579,37.5,62.5
E00052580,31.1,68.9
E00052581,37.5,62.5
E00052582,35.1,64.9
E00052583,34.6,65.4
E00052585,31.2,68.8
E00052587,34.3,65.7
E00052588,35.3,64.7
E00052589,35.1,64.9
E00052590,35.5,64.5
E00052591,38,62
E00052592,36.7,63.3
E00052593,46.2,53.8
E00052594,32.5,67.5
E00052595,24,76
E00052596,41.6,58.4
E00052597,40.1,59.9
E00052599,33.9,66.1
E00052600,40.7,59.3
E00052601,44.8,55.2
E00052602,48.2,51.8
E00052603,34,66
E00052604,41.1,58.9
E00052605,41.8,58.2
E00052606,38.6,61.4
E00052607,40.6,59.4
E00052608,40,60
E00052609,42.6,57.4
E00052611,37.4,62.6
E00052612,34.1,65.9
E00052613,43,57
E00052614,58.8,41.2
E00052615,42.1,57.9
E00052616,46.3,53.7
E00052617,45,55
E00052618,39.6,60.4
E00052619,38.9,61.1
E00052620,50.2,49.8
E00052621,50.9,49.1
E00052622,48.8,51.2
E00052623,50,50
E00052624,35.3,64.7
E00052625,51.2,48.8
E00052626,33.3,66.7
E00052627,39.7,60.3
E00052628,28.1,71.9
E00052629,51,49
E00052630,44.7,55.3
E00052631,49.9,50.1
E00052632,38.6,61.4
E00052633,53.8,46.2
E00052634,45.3,54.7
E00052635,38.2,61.8
E00052636,41.6,58.4
E00052637,29.2,70.8
E00052638,51.6,48.4
E00052639,41.4,58.6
E00052640,33.9,66.1
E00052641,29.1,70.9
E00052642,32.3,67.7
E00052643,19.4,80.6
E00052644,28.4,71.6
E00052645,53.4,46.6
E00052646,43.9,56.1
E00052647,58.7,41.3
E00052648,45.1,54.9
E00052649,35.2,64.8
E00052650,55,45
E00052651,20.2,79.8
E00052652,47.8,52.2
E00052653,44.2,55.8
E00052654,52.1,47.9
E00052655,55.5,44.5
E00052656,56.2,43.8
E00052726,32.6,67.4
E00052727,38.4,61.6
E00052728,52.2,47.8
E00052729,42.4,57.6
E00052730,38.3,61.7
E00052733,38.3,61.7
E00052735,39.5,60.5
