areacd,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E00084364,30.6,32.5,14.4,22.5
E00084380,30.8,33.1,18,18
E00084381,26.4,25.6,22.5,25.6
E00084382,27,40.5,15.9,16.7
E00084383,24.8,30.2,20.9,24
E00084384,35.8,25.8,20,18.3
E00084390,37.6,26.5,14.7,21.2
E00084568,30.9,36.7,18,14.4
E00084569,22.4,39.1,19.9,18.6
E00084570,22.3,42.9,15.2,19.6
E00084571,19.6,37.5,16.1,26.8
E00084572,29.8,41.1,13.5,15.6
E00084573,34.5,35.2,14.1,16.2
E00084575,38.8,38.8,10.1,12.2
E00084576,26.5,46.3,10.3,16.9
E00084577,27.7,47.7,12.9,11.6
E00084578,19.9,40.7,15.8,23.5
E00084579,14.3,44.8,16.2,24.8
E00084580,14.8,40.9,23.5,20.9
E00084582,29.6,33.6,20.8,16
E00084583,24,30.2,19.4,26.4
E00084584,33.8,27.9,18.4,19.9
E00084585,29.9,33.1,15.7,21.3
E00084586,50.8,31.5,9.2,8.5
E00084587,15.5,36.4,21.7,26.4
E00084588,19.7,43.1,16.1,21.2
E00084589,21.3,43.4,16.2,19.1
E00084590,45.6,27.9,12.5,14
E00084591,11.9,53.3,20.7,14.1
E00084592,22.6,42.7,16.1,18.5
E00084593,23.7,46.6,15.3,14.5
E00084594,22.8,40.2,17.3,19.7
E00084595,22.8,42.8,18.6,15.9
E00084596,19,43.1,16.8,21.2
E00084597,19.4,48.1,16.3,16.3
E00084598,40.2,40.2,10.2,9.4
E00084599,55,34.1,2.3,8.5
E00084600,25.7,41.9,11,21.3
E00084601,24,33.9,18.2,24
E00084602,27.5,40,20.8,11.7
E00084603,27.6,37.8,12.6,22
E00084604,18.3,52.7,11.5,17.6
E00084605,25,29.3,12.9,32.9
E00084606,35,35.8,16.7,12.5
E00084607,26.3,30.7,15.3,27.7
E00084608,25,36.7,18,20.3
E00084609,23.9,23.9,17.9,34.2
E00084610,24.8,24,21.7,29.5
E00084611,26.2,23.8,18.3,31.7
E00084612,15.1,25.4,23,36.5
E00084613,27.5,31.3,18.3,22.9
E00084615,24.2,40.3,20.2,15.3
E00084616,24,49.6,12.4,14
E00084617,31.5,37.7,14.2,16.7
E00084618,26,26,21.3,26.8
E00084619,14.6,39.4,22.6,23.4
E00084620,25.2,32.3,22.8,19.7
E00084621,29.2,25,21.7,24.2
E00084622,19.8,38.9,19.8,21.4
E00084623,37.9,37.1,7.8,17.2
E00084626,50,20.2,14.5,15.3
E00084627,28,34,16,22
E00084628,21.7,45.7,18.6,14
E00084629,18,40,24,18
E00084630,23.7,29.8,21.9,24.6
E00084631,24,33.9,21.5,20.7
E00084632,21.6,46.6,16.4,15.5
E00084633,23.3,46.6,10.3,19.8
E00084635,56.1,23.7,11.4,8.8
E00084691,28.6,42.2,12.2,17
E00084692,38.3,26.6,10.9,24.2
E00084693,22.6,38.3,12.2,27
E00084694,28.8,39.8,11.9,19.5
E00084695,26.6,34.4,14.1,25
E00084696,26.8,37.3,16.9,19
E00084697,14.2,31.7,21.7,32.5
E00084698,44.4,34.6,8.5,12.4
E00084699,28.4,29.6,21.3,20.7
E00084700,14.9,39.6,24.6,20.9
E00084701,20.2,38.7,18.5,22.6
E00084702,14.5,31.6,24.8,29.1
E00084703,33.3,35.1,7.9,23.7
E00084704,20.5,37.7,15.9,25.8
E00084705,30.1,42.1,15,12.8
E00084706,29.8,42.7,12.1,15.3
E00084707,25.4,44.6,9.2,20.8
E00084708,24.2,35.5,22.6,17.7
E00084709,23.3,38,17.8,20.9
E00084710,6.8,45.3,20.5,27.4
E00084711,22.5,38,16.3,23.3
E00084712,17.5,28.5,26.3,27.7
E00084713,19.1,41.2,14.7,25
E00084715,43.4,24.5,16,16
E00084716,45.4,28.7,6.5,19.4
E00084717,22.6,45.9,15.8,15.8
E00084718,22.8,40.7,21.1,15.4
E00084719,12.1,44.7,16.7,26.5
E00084720,23.9,40.8,18.3,16.9
E00084721,22.5,34.2,20.7,22.5
E00084722,27.7,37.8,18.9,15.5
E00084723,18.6,45.1,13.3,23
E00084724,17.9,28.2,21.4,32.5
E00084725,32.5,26.8,19.5,21.1
E00084726,29.9,36.5,17.5,16.1
E00084727,22,34.1,18.7,25.2
E00084728,50,28.1,14.1,7.8
E00084729,55.8,27.9,10.3,6.1
E00084730,22.4,34.3,19.4,23.9
E00084731,31.7,42.2,11.8,14.3
E00084732,29.7,33.8,17.8,18.7
E00084733,38.6,30.7,15,15.7
E00084734,34.4,38.2,17.8,9.6
E00084735,26.1,43,16.2,14.8
E00084736,22.5,37.2,17.8,22.5
E00084737,23,33.3,17,26.7
E00084745,16.8,35.3,21,26.9
E00084746,37.4,31.7,13.8,17.1
E00084747,20,38.5,23.1,18.5
E00084748,51,31,6,12
E00084751,18.2,36.4,17.3,28.2
E00084752,23.9,33.3,20.5,22.2
E00084756,30.2,29.3,17.2,23.3
E00084757,24.6,41.3,16.7,17.4
E00084758,15.4,41.5,17.9,25.2
E00084760,32.8,36.6,16.4,14.2
E00084763,23.5,47.9,12.6,16
E00084764,40.5,34.5,9.5,15.5
E00084765,20.2,45.5,15.2,19.2
E00084766,27.5,44.1,13.7,14.7
E00084769,25.6,43.6,15.8,15
E00084771,17.9,53.6,16.1,12.5
E00084772,16,50,20,14
E00084778,20.6,43.1,15.6,20.6
E00084780,21.2,39.4,15.2,24.2
E00084781,42.6,36.9,4.1,16.4
E00084782,23.9,46.6,18.2,11.4
E00084783,14.5,40,22.8,22.8
E00084784,19.6,31.9,19.6,29
E00084785,30.5,43.5,15.3,10.7
E00084786,25.4,38.1,13.5,23
E00084787,19.4,49.6,19.4,11.6
E00084788,24,34.1,21.7,20.2
E00084789,19.1,34.8,17.7,28.4
E00084790,18,32.3,18.8,30.8
E00084791,32.8,20.6,23.7,22.9
E00084792,42,32,12,14
E00084793,27.7,19.6,15.2,37.5
E00084794,19.5,28.1,21.9,30.5
E00084795,22.8,25,16.2,36
E00084796,51.3,28.7,10.4,9.6
E00084797,33.7,23.8,15.8,26.7
E00084798,21.9,24.8,22.6,30.7
E00084799,22.5,21.8,25.4,30.3
E00084800,31.9,29.9,17.4,20.8
E00084801,14.4,34.4,20,31.3
E00084802,21.6,38.8,19.8,19.8
E00084803,27.2,21.1,16.7,35.1
E00084804,35.5,35.5,13.1,15.9
E00084805,18.8,27.5,15.2,38.4
E00084806,35.8,39.8,9.8,14.6
E00084807,23.4,41.6,11.7,23.4
E00084808,27.9,35.7,16.3,20.2
E00084809,34.7,37.2,6.6,21.5
E00084810,28.9,59.6,7,4.4
E00084811,23.2,37,17.4,22.5
E00084815,78.4,16,4.8,0.8
E00084831,35.6,34.5,18.4,11.5
E00084832,34.1,25,12.1,28.8
E00084833,33.1,24.8,16.5,25.6
E00084836,31.5,37.9,16.1,14.5
E00084839,33.3,40.3,10.9,15.5
E00084847,23.8,38.5,17.7,20
E00084848,50.6,33.5,7.3,8.5
E00084849,46.2,38.5,7.7,7.7
E00084850,48.1,33.1,14.3,4.5
E00084851,33.5,27.7,16.8,21.9
E00084852,39.2,37.1,14.5,9.1
E00084853,31.5,38.6,15,15
E00084854,24.4,38.9,16.8,19.8
E00084855,42.4,33.3,11.4,12.9
E00084856,39.5,32.6,13.2,14.7
E00084857,32.3,42.3,12.3,13.1
E00084858,36,42.5,9.7,11.8
E00084859,32.4,29.7,12.2,25.7
E00084860,32.8,34.4,13,19.8
E00084932,28.9,29.6,14.8,26.7
E00084933,33.6,37.6,13.6,15.2
E00084934,23.9,37.3,19.4,19.4
E00084935,33.1,39.2,16.2,11.5
E00084936,21.1,40.6,15.8,22.6
E00084937,36.3,29.8,15.3,18.5
E00084938,21.8,30.2,23.5,24.6
E00084939,25,27.6,17.8,29.6
E00084940,25.8,40.3,14.5,19.4
E00084941,33.6,25.5,20.4,20.4
E00084942,34.3,23.1,18.5,24.1
E00084944,20.5,28.2,20.5,30.8
E00084945,16.7,37.7,14,31.6
E00084946,27.6,37.9,17.2,17.2
E00084947,20.2,27.7,16,36.1
E00084948,18.3,35.9,14.5,31.3
E00084949,27.6,27.6,15,29.9
E00084950,24.6,23.1,14.2,38.1
E00084954,29.9,30.5,13.8,25.9
E00084955,22.6,33.6,19,24.8
E00084957,35.6,23.7,16.9,23.7
E00084958,27.1,34.2,15.5,23.2
E00084959,20,31.7,18.6,29.7
E00084960,26.9,29.4,14.3,29.4
E00084961,24.5,36.7,21.8,17
E00084962,17.3,29.3,22.7,30.7
E00084963,33.9,29.7,11,25.4
E00084964,14.4,43.2,15.3,27.1
E00084965,14.3,40.3,19.3,26.1
E00084966,18.6,34.1,16.3,31
E00084967,28.3,35.8,18.3,17.5
E00138749,27.1,47.2,12.5,13.2
E00138750,26.3,37.2,15.3,21.2
E00138751,50,33.1,8.5,8.5
E00138752,17.7,42,17.7,22.7
E00138753,14.2,37.9,26,21.9
E00138754,23.9,35.9,20.1,20.1
E00138853,18.1,39.7,21.6,20.7
E00138854,21.8,40.6,18.8,18.8
E00138855,21.2,47.1,15.4,16.3
E00138856,18,34.5,21.8,25.7
E00138857,23.1,36.9,17.7,22.3
E00138858,23.4,31.5,23.4,21.6
E00169282,15.7,32.8,19.4,32.1
E00169283,22.9,41,15.7,20.5
E00169284,38.7,32.3,12.9,16.1
E00175374,13.9,47.2,16.7,22.2
E00175404,34.5,34,16.7,14.8
E00175405,21.3,45.4,14.9,18.4
E00175410,16.5,34.1,19.8,29.7
E00175411,36.3,36.3,19.6,7.8
E00175412,27.4,32,15.4,25.1
E00175455,18,29.1,23.8,29.1
E00175459,31.6,37.8,20.4,10.2
E00175460,27.3,36.4,23.2,13.1
E00175461,31,25.4,16.7,27
E00175462,38,29.1,16.5,16.5
E00175463,41.5,32.3,13.4,12.8
E00175464,21.6,21.6,19.6,37.1
E00175465,24,38.9,17.3,19.7
E00175466,26,41,16,17
E00183451,11.6,35.8,22.1,30.5
E00183452,23.4,40.5,19.6,16.5
E00183627,27.6,32.1,22.4,17.9
E00183669,47.2,36.1,14.4,2.3
E00183670,36.4,47.3,10.9,5.5
E00183671,16.8,31.9,23.8,27.6
E00183672,20.5,24.7,19.2,35.6
E00183673,23.2,31.1,21.6,24.2
E00183674,10,42.5,20,27.5
E00183675,19.2,30.5,21.6,28.7
E00183676,27.2,35.9,18.5,18.5
E00183677,21.2,28.2,17.6,32.9
E00183678,22.6,36.3,22.6,18.5
E00183679,19.7,38.8,18.5,23
E00183708,74.8,25.2,0,0
