areacd,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E00048921,93.9,2.6,3.5
E00048932,92.8,3.1,4.1
E00048936,92.1,2,6
E00048938,89.9,3.6,6.5
E00048939,95.4,2,2.6
E00158772,96,1.1,2.8
E00158773,98,0.8,1.2
E00158938,96,1.2,2.8
E00158939,97,1,2
E00158940,96.5,0,3.5
E00158941,96.2,0.3,3.5
E00158942,97.6,0.6,1.8
E00159358,85.7,5,9.3
E00159359,87,2.9,10.1
E00159360,83.7,2.3,14.1
E00159362,89,3.5,7.5
E00159368,86.9,4.2,9
E00159369,90.6,2.9,6.5
E00159372,91.6,2.3,6.1
E00159373,88.2,1.5,10.3
E00159374,93,2.4,4.5
E00159375,87.2,2.9,9.9
E00159376,86.7,3.2,10
E00159377,89.8,2,8.2
E00159378,85.5,2.1,12.3
E00159390,74.6,4.3,21.1
E00159391,70,4,25.9
E00159392,69.5,1.4,29
E00159393,77.2,5.9,16.9
E00159394,81,2.5,16.5
E00159395,71.2,5.5,23.3
E00159396,68.4,6.2,25.4
E00159397,78.9,5.4,15.7
E00159398,84.1,4.1,11.8
E00159399,78.3,7.1,14.6
E00159400,82.3,4.1,13.5
E00159401,74.3,5.4,20.3
E00159402,76.5,2.4,21.1
E00159403,85.8,1.5,12.8
E00159404,73.5,4.4,22.1
E00159405,86.3,1.1,12.6
E00159406,80.1,3.5,16.5
E00159407,87.3,0.8,11.9
E00159408,84.5,1.6,13.9
E00159409,71.3,2.9,25.9
E00159410,60,4.7,35.3
E00159411,85.2,0.8,14
E00159413,43.4,5.2,51.4
E00159414,78.8,4.2,17
E00159415,55.5,4,40.5
E00159416,67.8,3.9,28.3
E00159417,82.9,2.2,14.9
E00159418,68.5,2.6,28.9
E00159419,62.6,3.3,34.1
E00159439,76.8,7.2,15.9
E00159440,73.9,6.2,19.9
E00159441,72,4.5,23.5
E00159442,83.3,4,12.7
E00159443,65.7,3.8,30.4
E00159444,75.6,3,21.4
E00159445,80.5,5.4,14
E00159446,60,5.3,34.7
E00159447,82.8,5.2,12
E00159449,89.4,2,8.5
E00159450,83.5,2,14.5
E00159451,78.8,3,18.2
E00159453,75.5,4.2,20.3
E00159454,75,6,19
E00159455,83,3.1,13.9
E00159456,75,2.5,22.5
E00159457,84,5.9,10.1
E00159458,76.6,4.7,18.6
E00159459,75.2,0,24.8
E00159460,94,1.7,4.3
E00159461,84.3,3.4,12.4
E00159462,86.7,1.2,12
E00159463,94.2,0.9,4.9
E00159464,88.1,3.8,8.1
E00159465,78.9,1.7,19.4
E00159466,90.6,1.3,8.1
E00159467,83.1,1.9,15
E00159468,90,2.1,7.9
E00159469,93.8,0.3,5.9
E00159470,88.5,3.4,8.1
E00159471,94.3,1.6,4.1
E00159472,90,2,8
E00159473,85.1,1.8,13.1
E00159474,86.4,3.7,9.9
E00159475,94.6,2,3.4
E00159476,91.6,2.4,6
E00159477,91.1,2.4,6.5
E00159478,87.9,4.6,7.5
E00159479,95.3,2.5,2.2
E00159480,89.9,1.9,8.2
E00159481,91.1,3.2,5.6
E00159482,93.9,2.6,3.5
E00159483,91.5,2.8,5.7
E00159484,94,2.1,3.9
E00159485,89.8,0.6,9.6
E00159486,95.4,0.7,3.9
E00159487,95.9,0,4.1
E00159488,94,4.3,1.8
E00159489,94,1.6,4.4
E00159490,89.3,2.3,8.4
