areacd,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E00012149,76.8,13.6,5.6,2.5,1.5
E00012150,84.9,11.7,2,1,0.3
E00012151,81.4,11.3,2.8,3.6,0.9
E00012152,81,13.4,1.4,2.5,1.7
E00012153,78.8,11.4,3.7,2.7,3.4
E00012154,94.6,4.8,0.3,0.3,0
E00012155,74.7,17.5,1.8,1.2,4.8
E00012156,74.8,9.5,3.7,6.6,5.4
E00012157,78.5,15.8,2.4,2.9,0.5
E00012158,77,14,3.9,0.4,4.7
E00012159,83.8,13.6,1.7,0.4,0.4
E00012160,88.1,10.4,1.5,0,0
E00012161,81.1,12.2,5.6,0.7,0.4
E00012162,80.7,15,3.1,0.6,0.6
E00012163,82.4,12.7,2.4,0.6,1.8
E00012164,89.3,8.4,0.3,0.9,1.2
E00012165,86.4,8.8,1.7,2,1
E00012166,80.4,12.3,5.4,1.4,0.4
E00012167,81.7,14.3,0.8,2.4,0.8
E00012168,85,13.1,0.5,1.4,0
E00012169,86.1,7.1,1.3,1.3,4.2
E00012170,87,12,0.7,0.3,0
E00012171,88.1,9.7,0.8,1.1,0.3
E00012172,86.8,9.5,0.7,3,0
E00012173,87.1,10.3,2.3,0.3,0
E00012245,85.2,10.6,1.8,2.1,0.3
E00012246,81.9,17,0,0.3,0.8
E00012247,80.2,17.2,1.5,0.9,0.3
E00012248,83.6,11,2.8,1.9,0.6
E00012249,84,11.6,1.6,1.6,1.3
E00012250,76.2,16.6,2,2.3,2.9
E00012251,78.2,14.6,2.4,1.3,3.5
E00012253,77,18.4,2.7,0.5,1.4
E00012254,65.6,17.4,3.7,6.9,6.4
E00012255,74.1,16.2,4.9,2.1,2.8
E00012257,77.2,14.8,4.6,2.6,0.9
E00012261,61.4,29.1,3.1,2.8,3.6
E00012311,72.5,22,2.7,1,1.7
E00012315,65.5,28.8,3.1,1.9,0.7
E00012329,59.3,33.1,1.3,3.4,2.9
E00012336,51.2,37.5,5,5,1.3
E00012337,66.1,23.7,4.7,2.1,3.4
E00012609,79.5,15.1,2.1,1.3,2.1
E00012610,77.9,14,4.3,3.5,0.4
E00012618,71.8,20,5.7,1.5,1
E00012622,83.2,13.6,2.8,0.4,0
E00012624,80.4,13.2,3.8,0.9,1.6
E00012627,89.6,7.9,2.2,0.4,0
E00012628,82.9,15.1,2,0,0
E00012630,89.1,10.1,0.3,0,0.6
E00089864,70,14.3,7.3,5.1,3.3
E00089865,85.8,13.3,0.9,0,0
E00089866,75.8,19.6,1.3,2.6,0.7
E00089867,75.4,16.8,5.3,1.8,0.7
E00089868,79.9,17.1,2.3,0.3,0.3
E00089869,85.4,11.9,1.2,0.6,0.9
E00089870,84.7,13.3,1,1,0
E00089871,84.4,12.4,1.3,0.6,1.3
E00089872,76.5,18.3,2.4,2.1,0.6
E00089875,84.1,10.8,4.1,1,0
E00089876,86.8,12.6,0,0.3,0.3
E00089877,81.9,11.7,2.1,1.8,2.5
E00089878,86.4,10.3,1.3,1.7,0.3
E00089879,89.4,8,1,0.3,1.3
E00089882,81.2,16,0.6,0,2.2
E00089883,78.5,20.1,0.7,0.7,0
E00089905,71.4,20.9,3.4,2.8,1.5
E00121041,82.3,9.9,4.3,2.1,1.4
E00178360,71.4,21.1,1.7,4.6,1.1
E00178429,89,9.7,0.3,0,1
E00178439,82.6,9.7,5.6,1.7,0.3
E00184487,76.6,17.2,1.6,2.1,2.6
