areacd,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E00012149,9.7,19.4,55.6,15.3
E00012150,15.9,22.2,42.1,19.8
E00012151,4.3,19.3,41,35.4
E00012152,4.6,30.3,38.9,26.3
E00012153,15.3,34.7,33.1,16.9
E00012154,21.2,37.1,33.3,8.3
E00012155,6.1,28.8,27.3,37.9
E00012156,15.9,28.3,35.5,20.3
E00012157,60.6,25.7,13.8,0
E00012158,14.2,50.4,23.6,11.8
E00012159,24.1,24.1,33,18.8
E00012160,6.4,21.6,60,12
E00012161,43.6,28.6,18,9.8
E00012162,4,57.1,31.7,7.1
E00012163,25,33.8,25.7,15.4
E00012164,4.7,15.7,66.1,13.4
E00012165,35.5,20.3,36.2,8
E00012166,0,11.3,47,41.7
E00012167,4.9,30.5,42.7,22
E00012168,23.7,43.2,24.6,8.5
E00012169,7.3,33,43.1,16.5
E00012170,11.2,58.6,28.4,1.7
E00012171,1.5,41.5,40.8,16.2
E00012172,0.9,54.4,35.1,9.6
E00012173,4.8,34.4,45.6,15.2
E00012245,0.8,11.8,49.6,37.8
E00012246,0,11.4,53.7,35
E00012247,0,16.4,38.3,45.3
E00012248,0.9,17.1,43.6,38.5
E00012249,1.5,10.6,58.3,29.5
E00012250,0,16.2,32.4,51.4
E00012251,0.8,15.3,51.9,32.1
E00012253,1.4,2.9,41.7,54
E00012254,48.8,36.4,8.3,6.6
E00012255,7.7,31.6,33.5,27.1
E00012257,2.2,14.9,34.3,48.5
E00012261,2.8,8.3,26.9,62.1
E00012311,46.5,4.7,9.4,39.4
E00012315,17.8,35.7,7.6,38.9
E00012329,3,1.5,16.7,78.8
E00012336,26.6,54.7,9.4,9.4
E00012337,33,51.9,12.3,2.8
E00012609,33.3,9.8,39.8,17.1
E00012610,33.3,30.8,30.8,5
E00012618,9.2,22.2,26.1,42.5
E00012622,13.3,31.9,33.6,21.2
E00012624,0.8,36.8,43.2,19.2
E00012627,22.9,41,27.6,8.6
E00012628,23,44.2,25.7,7.1
E00012630,0,11.2,64,24.8
E00089864,43.9,46.5,8.3,1.3
E00089865,13.2,4.7,65.1,17.1
E00089866,17.3,21.6,35.3,25.9
E00089867,2.5,19.3,60.5,17.6
E00089868,1.7,9.1,47.1,42.1
E00089869,12.2,74.3,7.4,6.1
E00089870,11.3,12.1,46.8,29.8
E00089871,4.9,47.5,18,29.5
E00089872,18.2,60,14.7,7.1
E00089875,19.5,37.6,28.6,14.3
E00089876,1.6,12.7,30.2,55.6
E00089877,3.4,22.9,28,45.8
E00089878,0.9,9.6,75.4,14
E00089879,11.9,22,53.2,12.8
E00089882,0.8,11.8,31.9,55.5
E00089883,2.7,15.3,25.2,56.8
E00089905,0.8,5.5,18.1,75.6
E00121041,8.3,23.3,33.3,35
E00178360,0,12.3,9.2,78.5
E00178429,9.5,81.1,8.6,0.9
E00178439,28.2,66.9,4.2,0.7
E00184487,41.5,39.6,1.9,17
