areacd,country_of_birth_3a-001,country_of_birth_3a-002
E00012149,76.8,23.2
E00012150,84.9,15.1
E00012151,81.1,18.9
E00012152,81.5,18.5
E00012153,78.3,21.7
E00012154,94.6,5.4
E00012155,75.6,24.4
E00012156,75,25
E00012157,78.8,21.2
E00012158,77.6,22.4
E00012159,83.8,16.2
E00012160,87.8,12.2
E00012161,80.5,19.5
E00012162,80.4,19.6
E00012163,82.2,17.8
E00012164,89.6,10.4
E00012165,86.4,13.6
E00012166,80.7,19.3
E00012167,81.9,18.1
E00012168,83.5,16.5
E00012169,85.9,14.1
E00012170,87,13
E00012171,88.1,11.9
E00012172,86,14
E00012173,87.1,12.9
E00012245,84.9,15.1
E00012246,82.1,17.9
E00012247,80.2,19.8
E00012248,83.9,16.1
E00012249,84,16
E00012250,76.2,23.8
E00012251,78.6,21.4
E00012253,76.8,23.2
E00012254,65.3,34.7
E00012255,74.5,25.5
E00012257,76.6,23.4
E00012261,61.2,38.8
E00012311,73,27
E00012315,65.6,34.4
E00012329,59.6,40.4
E00012336,50.8,49.2
E00012337,66.4,33.6
E00012609,79.8,20.2
E00012610,77.9,22.1
E00012618,72.3,27.7
E00012622,82.5,17.5
E00012624,80.7,19.3
E00012627,90.2,9.8
E00012628,83.2,16.8
E00012630,88.4,11.6
E00089864,70,30
E00089865,85.6,14.4
E00089866,75.8,24.2
E00089867,74.7,25.3
E00089868,79.3,20.7
E00089869,84.9,15.1
E00089870,85.3,14.7
E00089871,84.2,15.8
E00089872,77,23
E00089875,83.8,16.2
E00089876,86.8,13.2
E00089877,82.2,17.8
E00089878,86.7,13.3
E00089879,89.1,10.9
E00089882,81.2,18.8
E00089883,78.3,21.7
E00089905,71.6,28.4
E00121041,82.3,17.7
E00178360,71.4,28.6
E00178429,89,11
E00178439,82.1,17.9
E00184487,77,23
