geography_code,in_full_time_education-001,in_full_time_education-002
E00127329,12,88
E00127330,12.3,87.7
E00127331,14,86
E00127332,13.6,86.4
E00127333,18.2,81.8
E00127334,13.1,86.9
E00127335,13.4,86.6
E00127336,9.1,90.9
E00127337,15.4,84.6
E00127338,12.7,87.3
E00127339,15.8,84.2
E00127340,19,81
E00127341,22.2,77.8
E00127342,11.4,88.6
E00127343,9.7,90.3
E00127344,22.4,77.6
E00127345,54.8,45.2
E00127346,19.6,80.4
E00127347,20.8,79.2
E00127348,19.5,80.5
E00127349,21.6,78.4
E00127350,20.3,79.7
E00127351,26.8,73.2
E00127352,23.6,76.4
E00127354,16.6,83.4
E00127355,62.1,37.9
E00127357,54.9,45.1
E00127358,60.6,39.4
E00127359,20.1,79.9
E00127360,20.7,79.3
E00127361,22.9,77.1
E00127362,23.3,76.7
E00127363,21,79
E00127364,25.6,74.4
E00127365,38.5,61.5
E00127366,8.6,91.4
E00127367,18.9,81.1
E00127368,18.1,81.9
E00127369,18.2,81.8
E00127370,20,80
E00127371,16.7,83.3
E00127372,17.8,82.2
E00127373,18.8,81.2
E00127374,13.5,86.5
E00127375,20.3,79.7
E00127376,24.8,75.2
E00127377,12.4,87.6
E00127378,19.9,80.1
E00127379,10.5,89.5
E00127380,30.3,69.7
E00127381,33.1,66.9
E00127384,20.3,79.7
E00127391,36.1,63.9
E00127392,47.2,52.8
E00127396,21.8,78.2
E00127399,37,63
E00127400,32.3,67.7
E00127402,20.2,79.8
E00127403,24.2,75.8
E00127406,49.4,50.6
E00127407,39.6,60.4
E00127408,63.1,36.9
E00127409,56.2,43.8
E00127410,50.2,49.8
E00127413,21.5,78.5
E00127415,28.5,71.5
E00127416,17,83
E00127417,18,82
E00127419,17.4,82.6
E00127420,16.9,83.1
E00127421,21.4,78.6
E00127422,19.9,80.1
E00127423,18.4,81.6
E00127426,16.1,83.9
E00127427,17.7,82.3
E00127428,21,79
E00127429,18.2,81.8
E00127431,20.9,79.1
E00127433,15.9,84.1
E00127515,35.2,64.8
E00127516,49.3,50.7
E00127517,24.6,75.4
E00127518,59.9,40.1
E00127519,40.3,59.7
E00127520,25.2,74.8
E00127521,38.4,61.6
E00127522,44,56
E00127524,57.6,42.4
E00127525,62.4,37.6
E00127527,44.9,55.1
E00127528,17.7,82.3
E00127529,18.6,81.4
E00127530,20.4,79.6
E00127531,12.3,87.7
E00127532,20.3,79.7
E00127533,16,84
E00127534,35.3,64.7
E00127535,29.7,70.3
E00127536,33.6,66.4
E00127537,20.5,79.5
E00127538,18.6,81.4
E00127539,16.2,83.8
E00127540,19.4,80.6
E00127541,15.7,84.3
E00127542,8,92
E00127543,18.3,81.7
E00127544,14.8,85.2
E00127545,22,78
E00127546,12.2,87.8
E00127547,17.5,82.5
E00127548,16.6,83.4
E00127549,17.8,82.2
E00127550,14.5,85.5
E00127551,19.7,80.3
E00127552,15.3,84.7
E00127553,13.9,86.1
E00127554,20.1,79.9
E00127555,17.5,82.5
E00127556,12.8,87.2
E00127557,15.5,84.5
E00127558,14,86
E00127559,19.3,80.7
E00127597,13.9,86.1
E00127598,25.4,74.6
E00127599,30.7,69.3
E00127600,15.8,84.2
E00127601,15.8,84.2
E00127602,18.7,81.3
E00127603,20.2,79.8
E00127604,25.9,74.1
E00127605,29,71
E00127606,23.9,76.1
E00127607,19.3,80.7
E00127608,22.1,77.9
E00127609,13,87
E00127610,21.7,78.3
E00127611,13.3,86.7
E00127612,23.5,76.5
E00127613,15.1,84.9
E00127614,35,65
E00127615,22.9,77.1
E00127616,23.9,76.1
E00127618,15.6,84.4
E00127619,21.8,78.2
E00127620,32.3,67.7
E00127621,26.3,73.7
E00127622,16.9,83.1
E00127623,23.9,76.1
E00127624,29.7,70.3
E00127625,38.7,61.3
E00127626,27.8,72.2
E00127627,38.3,61.7
E00127628,40.7,59.3
E00127629,35,65
E00127630,16,84
E00127631,29.9,70.1
E00127632,20.1,79.9
E00127633,28.8,71.2
E00127642,13.9,86.1
E00127643,20.6,79.4
E00127644,16.8,83.2
E00127645,19.6,80.4
E00127646,21.8,78.2
E00127647,26.1,73.9
E00127648,25,75
E00127649,15,85
E00127650,29.1,70.9
E00127651,12.6,87.4
E00127652,5.8,94.2
E00127653,26,74
E00127654,28.9,71.1
E00127655,23.7,76.3
E00127656,10.8,89.2
E00127657,15.6,84.4
E00127658,14.6,85.4
E00127659,21.9,78.1
E00127660,25.5,74.5
E00127661,19,81
E00127662,29.9,70.1
E00127663,21.4,78.6
E00127664,28.4,71.6
E00127665,26.5,73.5
E00127670,27.5,72.5
E00127672,22.7,77.3
E00127676,37.4,62.6
E00127680,36.4,63.6
E00127682,20.1,79.9
E00127683,11.7,88.3
E00127684,16.7,83.3
E00127685,14.9,85.1
E00127687,12.1,87.9
E00127688,20.8,79.2
E00127689,14.3,85.7
E00127690,19.5,80.5
E00127691,14.1,85.9
E00127692,16.1,83.9
E00127693,18.8,81.2
E00127695,7.1,92.9
E00127696,21.4,78.6
E00127698,9.6,90.4
E00127699,17.6,82.4
E00127700,9.5,90.5
E00127701,13,87
E00127728,9.5,90.5
E00127729,18.3,81.7
E00127730,9,91
E00127731,17.8,82.2
E00127733,15.4,84.6
E00127734,16,84
E00127735,11.3,88.7
E00127737,16.8,83.2
E00127738,12.6,87.4
E00127739,15.3,84.7
E00127740,15.2,84.8
E00127741,14.2,85.8
E00127742,11.1,88.9
E00127743,15.5,84.5
E00127744,13.5,86.5
E00129963,18.6,81.4
E00140271,12.6,87.4
E00140272,13.9,86.1
E00140273,14.9,85.1
E00140274,14.5,85.5
E00140275,9.8,90.2
E00140276,16.8,83.2
E00140277,12.9,87.1
E00140278,16.7,83.3
E00140279,16,84
E00140280,11.9,88.1
E00140281,13.8,86.2
E00140282,10.2,89.8
E00140338,16.3,83.7
E00140339,9.6,90.4
E00140341,12.4,87.6
E00140342,17.4,82.6
E00140343,12.5,87.5
E00140344,15.2,84.8
E00140346,14.4,85.6
E00170158,67.7,32.3
E00170159,18.6,81.4
E00170160,54.5,45.5
E00170161,75.7,24.3
E00170162,15.9,84.1
E00170163,65.9,34.1
E00170165,43.2,56.8
E00170168,95.5,4.5
E00170169,22.1,77.9
E00170170,94.6,5.4
E00170171,19.4,80.6
E00185570,26.5,73.5
E00185582,26.7,73.3
E00185587,72.3,27.7
E00185589,27.5,72.5
E00185590,79.2,20.8
E00185594,23.4,76.6
E00185602,63.9,36.1
E00185618,8.8,91.2
E00185621,7.1,92.9
E00185623,52.6,47.4
E00185629,48.7,51.3
E00185635,17.4,82.6
E00185636,20,80
E00185643,26.9,73.1
E00185646,43.2,56.8
E00185647,39.1,60.9
E00185653,10.4,89.6
E00185659,12.7,87.3
E00185661,16.3,83.7
E00185664,19.5,80.5
