areacd,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E00023580,16.2,20.5,4.6,32.1,26.6
E00023581,24.9,11.8,7.4,29.3,26.6
E00023617,18.6,6.4,6.5,38.6,29.9
E00023620,20.9,4.7,7.8,59.5,7
E00023622,15.5,2.3,10.9,60.1,11.2
E00023623,22.2,4.3,7.6,56.2,9.7
E00023624,9.1,3,1.8,82.3,3.7
E00023625,19.7,4.1,6.7,57,12.4
E00023627,16,2.8,7.7,52.5,21
E00023628,11.2,1.3,9,67.3,11.2
E00023629,7.5,11.7,15.3,50,15.6
E00023631,8.4,0.9,5.8,56.9,28
E00023632,10.4,0.5,3.3,82.5,3.3
E00023633,19.2,6.5,2.8,59.8,11.7
E00023634,17.4,3.6,6.5,59.1,13.4
E00023637,11,1.1,11,66.9,9.9
E00023639,40.2,4.3,4.3,45.7,5.5
E00023640,51.3,0,6.2,38.6,3.8
E00023641,17,2.1,9,64.9,6.9
E00023644,13.8,6.3,2.5,39.6,37.7
E00023646,14,17.4,11.8,48.3,8.4
E00023647,33.1,3.7,4.3,49.7,9.2
E00023648,27.5,4.6,6.7,23.3,37.9
E00023649,18.3,7.6,4.6,50.8,18.8
E00023650,31.3,15.3,5.1,32.4,15.9
E00023651,16.4,31.8,1.3,24.9,25.6
E00023652,49.3,1.4,4.1,34.2,11
E00023656,34.6,5.2,5.2,34.6,20.4
E00023754,12.7,5.8,7.3,19.2,54.9
E00023757,16.3,8.5,0,51.9,23.3
E00023760,16.4,26.3,1.9,34.7,20.7
E00023762,14,10.4,4.9,34.7,36
E00023811,9.4,1.4,6.6,76.9,5.7
E00023812,40.2,0,5.7,50,4.1
E00023813,32,5.9,4.5,43.5,14.1
E00023814,34.6,9.8,4.1,40.4,11.1
E00023815,8.9,6.8,3,48.9,32.5
E00023816,11.2,5.2,4.5,67.2,11.9
E00023817,21.6,2.4,5.2,62.8,8
E00023818,16.4,4.7,12,55.8,11.2
E00023819,10.2,0.4,2.8,79.2,7.4
E00023820,8,2.9,1.4,80.4,7.2
