areacd,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E00072967,19.5,43.2,12.7,24.6
E00072968,29.2,29.2,16,25.7
E00072970,16.4,43.4,18.4,21.7
E00073224,34.7,37.4,13.6,14.3
E00073225,31.8,47.3,11.9,9
E00073226,42.1,45.1,6,6.8
E00073227,41.7,38.8,13.7,5.8
E00073228,25.6,44.4,16.9,13.1
E00073229,15.8,39.5,17.5,27.2
E00073230,21.6,41.9,18.9,17.6
E00073231,15.2,34.8,17.7,32.3
E00073232,30.3,36.6,18.3,14.8
E00073233,21.7,27,21.7,29.6
E00073234,19.5,36.6,30.1,13.8
E00073236,32,32,14.8,21.3
E00073237,31.5,32.2,20.5,15.8
E00073238,20.9,40.3,30.2,8.5
E00073239,31.2,45.2,14,9.5
E00073240,22,36.5,14.5,27
E00073241,25.6,43.4,22.5,8.5
E00073242,23.2,42.9,17,17
E00073243,19.8,29.8,19.8,30.5
E00073245,21.8,28.9,23.9,25.4
E00073246,22.8,33.8,25,18.4
E00073247,18.9,32.8,15.6,32.8
E00073248,26.9,40.3,16.4,16.4
E00073249,37.3,44.8,11.9,6
E00073250,27,47.2,15,10.7
E00073251,27.4,43.3,17.2,12.1
E00073252,25.2,37.1,22.4,15.4
E00073253,29.2,34.3,11.6,25
E00073254,23.2,42.3,21.1,13.4
E00073255,29.8,41.4,14.1,14.6
E00073256,31.9,31.9,19,17.2
E00073257,16.4,32.1,22.9,28.6
E00073258,20.6,35.5,21.9,21.9
E00073259,26.8,39.3,16.1,17.9
E00073260,17.3,44.9,20.5,17.3
E00073261,21.8,42.2,19.7,16.3
E00073262,40.2,28.6,18.8,12.5
E00073301,25.2,35.7,21,18.2
E00073302,32.2,22.8,22.1,22.8
E00073303,18.2,36.4,17.5,27.9
E00073304,19,37.2,18.2,25.6
E00073305,32.3,32.3,15.8,19.5
E00073306,24.3,39.6,13.5,22.5
E00073307,30.4,36.8,13.6,19.2
E00073308,22.2,27.8,30.2,19.8
E00073309,37.4,32.1,11.5,19.1
E00073310,21.8,37.4,18.4,22.4
E00073311,31.7,27,15.1,26.2
E00073312,31.7,28.2,13.4,26.8
E00073313,20.7,34.5,19.3,25.5
E00073314,28.9,30.6,24.8,15.7
E00073315,43.6,25.5,17,13.8
E00073316,25.2,25.2,22.7,26.9
E00073317,27.1,36.4,16.9,19.5
E00073318,15.6,28.9,25,30.5
E00073319,24.7,37.4,16.8,21.1
E00073320,30.4,32.9,16.1,20.5
E00073321,38.1,34.7,14.3,12.9
E00073322,21.6,42.5,15.7,20.1
E00073323,22.2,37.6,25.6,14.5
E00073324,20.7,30.7,22.9,25.7
E00073325,24.2,42.4,18.8,14.5
E00073326,52.4,23.1,7.7,16.8
E00073327,22.4,29.1,16.4,32.1
E00073328,21.2,32.1,21.2,25.5
E00073329,29.5,36.4,16.7,17.4
E00073330,19.6,33.1,18.9,28.4
E00073331,17.8,36.7,20.1,25.4
E00073332,22,34.7,20.3,22.9
E00073333,26.7,48.9,11.1,13.3
E00073334,22.8,33.3,13.8,30.1
E00073335,30,31.1,16.7,22.2
E00073336,18.5,37.8,17.6,26.1
E00073337,22.1,30.5,26,21.4
E00073339,36,36,16.2,11.8
E00073350,29.4,40,18.2,12.4
E00073353,25,41.4,15.8,17.8
E00073361,30,39.2,15,15.8
E00073366,31,31.6,20.7,16.7
E00073373,21.2,42.4,18.6,17.8
E00073374,18,41.7,19.4,20.9
E00073377,21.7,37.5,21.7,19.2
E00073378,23,46.7,15.6,14.8
E00073379,23.4,40.4,14.9,21.3
E00073380,20.3,36.5,17.6,25.7
E00073381,22.4,30.4,20.5,26.7
E00073382,18.7,30.9,16.5,33.8
E00073383,51.6,29.4,11.1,7.8
E00073384,16.4,38.3,17.5,27.9
E00073388,20.3,36.4,13.6,29.7
E00073389,38,35.3,14.7,12
E00073390,34.7,27.3,18.7,19.3
E00073391,28.2,32.8,13.7,25.2
E00073392,21.7,38.2,17.1,23
E00073393,29.9,33.1,17.3,19.7
E00073394,32.3,33.3,16.4,17.9
E00073395,32.1,26,13,29
E00073397,17.7,47.8,17.7,16.8
E00073398,23.3,35,26.7,15
E00073399,23.4,32,23.4,21.1
E00073400,23,34.9,20.6,21.4
E00073401,30.4,39.3,16.3,14.1
E00073402,28.1,46.3,10.7,14.9
E00073403,22.7,42.4,19.7,15.2
E00073404,33.1,40.6,16.5,9.8
E00073405,28.1,38.1,15.1,18.7
E00073406,19.8,38.8,18.2,23.1
E00073407,34.8,32.9,18.4,13.9
E00073408,13.1,37.7,23.1,26.2
E00073409,31.8,28.2,18.2,21.8
E00073410,23.1,41.5,21.5,13.8
E00073411,18.1,34.6,21.3,26
E00073412,26.5,32.9,17.4,23.2
E00073413,21.7,42.5,14.2,21.7
E00073432,54.5,27.3,6.8,11.4
E00073437,55.1,36,7.4,1.5
E00073447,36.3,33.9,20.2,9.7
E00073448,28.2,32.5,17.1,22.2
E00073453,42.5,32.9,11.6,13
E00073454,30,47.5,11.9,10.6
E00073455,39.6,41,2.8,16.7
E00073456,31.8,44.7,13.6,9.8
E00073457,39,45.8,9.3,5.9
E00073458,21.3,55.1,13.4,10.2
E00073461,44.2,36.3,11.5,8
E00073462,17,34,23.4,25.5
E00073463,60.2,28.9,4.7,6.3
E00073464,31.6,39,15.4,14
E00073465,32.1,39.6,11.9,16.4
E00073466,36.4,42,14.2,7.4
E00073467,37.8,45.5,7.7,9.1
E00073468,23.2,41.5,14.1,21.1
E00073469,38.1,41.5,14.4,5.9
E00073470,36.7,47.3,9,6.9
E00073471,41.3,44.2,5.8,8.7
E00073496,35.3,41.8,8.2,14.7
E00073636,21.2,27,16.1,35.8
E00073637,24.6,21.6,23.1,30.6
E00073638,21.4,28.6,20.6,29.4
E00073639,27.3,36.7,12,24
E00073640,16.3,29.5,29.5,24.8
E00073641,20.6,27.5,13.7,38.2
E00073642,19.1,29.8,17.7,33.3
