areacd,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E00048254,10.2,30.7,59.1
E00048255,4.5,9.8,85.7
E00048256,2.2,26.3,71.5
E00048257,6.5,49,44.4
E00048258,5.7,25.9,68.4
E00048259,6.6,25,68.4
E00048260,3.6,39.3,57.1
E00048261,5.4,50,44.6
E00048262,6.1,32.2,61.7
E00048263,6.4,48.9,44.7
E00048264,5.7,17.9,76.4
E00048265,3.9,34.4,61.7
E00048266,7.9,45.7,46.5
E00048267,6.4,36.7,56.9
E00048268,3.1,22.3,74.6
E00048269,2.3,47.7,50
E00048270,5.6,52.8,41.6
E00048271,4.8,42.5,52.7
E00048272,3.5,45.8,50.7
E00048273,0.8,24.2,75
E00048274,11,24.3,64.7
E00048275,8.9,9.8,81.3
E00048276,5.7,21,73.3
E00048277,2,15.7,82.4
E00048278,14.8,20.5,64.8
E00048279,4.2,39.9,55.9
E00048280,5.8,20.8,73.3
E00048281,3.5,23.7,72.8
E00048283,5.6,23.8,70.6
E00048284,4.1,37.4,58.5
E00048285,5,30.8,64.2
E00048286,2.9,29.4,67.6
E00048287,3.9,23.6,72.4
E00048288,7.6,31.9,60.5
E00048289,5.2,32.2,62.6
E00048290,4.2,55.6,40.1
E00048291,7.6,20.3,72
E00048292,9,28.7,62.3
E00048293,13.7,30.8,55.6
E00048294,7,46.1,47
E00048296,8.3,29.6,62
E00048297,9.9,18.9,71.2
E00048298,6.5,43.9,49.5
E00048299,13,22.8,64.1
E00048300,4.5,30.3,65.2
E00048301,4,33.8,62.3
E00048302,6,39,55
E00048303,7.4,20.7,71.9
E00048304,5.4,39.2,55.4
E00048306,4.9,46.9,48.1
E00048307,7.6,31.5,60.9
E00048308,4.9,26.4,68.7
E00048309,5.1,59,35.9
E00048311,6,41.8,52.2
E00048313,6,38,56
E00048314,4.8,42.7,52.4
E00048315,6.3,50.9,42.9
E00048316,11.2,36,52.8
E00048320,3.7,31.3,64.9
E00048323,4.1,28.8,67.1
E00048325,6.2,39.8,54
E00048328,2.9,45.7,51.4
E00048336,2.9,56.3,40.8
E00048342,8.4,36.7,54.8
E00048355,15.2,21.7,63
E00048357,5.7,28.7,65.6
E00048358,7.1,37,55.9
E00048362,4.9,31.5,63.6
E00048363,7.9,19.4,72.7
E00048364,3.5,48.3,48.3
E00048365,9.8,46.2,43.9
E00048427,6.4,21.6,72
E00048443,19.4,21.7,58.9
E00048450,12.1,29.5,58.3
E00048451,12.7,35.6,51.7
E00048455,3.1,57.7,39.2
E00048456,13.6,18.6,67.9
E00048457,7.5,30.8,61.7
E00048458,11.2,25.9,62.9
E00048463,10.1,29.7,60.1
E00048465,10.9,30.5,58.6
E00048475,6.8,35.1,58
E00048476,10.9,26.1,63
E00048477,8.1,32.3,59.7
E00048516,7.3,50,42.7
E00048518,9.1,16.5,74.4
E00048520,9.7,24.1,66.2
E00048521,2.4,43.2,54.4
E00048522,5.7,37.1,57.1
E00048523,5.6,33.6,60.7
E00048524,10.1,30.3,59.6
E00048525,4.8,41,54.3
E00048605,0.7,56.3,43
E00048643,8.3,17.7,74
E00048644,19,32.8,48.3
E00048645,8.5,14.4,77.1
E00048646,15.4,23.1,61.5
E00048647,12.1,14.6,73.2
E00048648,10.4,20.1,69.4
E00048649,6.4,25.7,67.9
E00048650,8,21.6,70.4
E00048651,10.3,25,64.7
E00048652,9.3,21.7,69
E00048653,2.9,40,57.1
E00048654,5.8,18.3,75.8
E00048656,5.4,34.6,60
E00048657,6.7,27.7,65.5
E00048658,11.5,19.2,69.2
E00048659,5,26.7,68.3
E00048660,6.4,21.2,72.4
E00048661,9.6,27.4,63
E00048662,10.4,16.7,72.9
E00048663,11.8,24.4,63.9
E00048664,16.8,35.6,47.7
E00048665,11.9,25.9,62.2
E00048666,2.6,26.1,71.3
E00048667,18.5,32.3,49.2
E00048668,5.3,23.7,71.1
E00048669,4.1,32,63.9
E00048670,9.4,24.4,66.1
E00048671,7.3,22.7,70
E00048672,26.2,29.5,44.3
E00048673,12,31.6,56.4
E00048674,8,21.4,70.5
E00048675,3.2,24.8,72
E00048677,18.8,28.3,52.9
E00048678,11.7,26.1,62.2
E00048679,7.4,21.3,71.3
E00048680,7.8,24.8,67.4
E00048681,16.9,26.8,56.3
E00048682,9.6,27.4,63
E00048683,8,21,71
E00048684,23.3,31,45.7
E00048685,12.9,48.8,38.2
E00048686,17,35.4,47.6
E00048687,10.3,41.2,48.5
E00048688,12.7,29.4,57.9
E00048689,11.4,19.5,69.1
E00048690,16.7,21.8,61.5
E00048691,27.5,28.2,44.4
E00048693,7.9,33.3,58.7
E00048752,38.1,29.8,32.1
E00048753,37.4,30.8,31.9
E00048756,9.7,29.9,60.4
E00048757,21.4,40.7,37.9
E00048759,26.6,31.5,41.8
E00048761,24.1,23.1,52.8
E00048764,9.9,31.7,58.4
E00048767,16.7,23.1,60.2
E00048768,15.5,19.6,64.9
E00048773,17,26.8,56.3
E00048774,20.7,25,54.3
E00048775,13.7,32.5,53.8
E00048778,13.3,12.5,74.2
E00048781,7.6,26.3,66.1
E00048790,39.4,31.8,28.8
E00048791,33.3,36.5,30.2
E00048793,45.1,28.9,26.1
E00048797,33.8,23.6,42.6
E00048798,50,22.8,27.2
E00048799,38.8,23.1,38.1
E00048857,30.1,22.1,47.8
E00048858,39,22.7,38.3
E00048859,15.2,15.2,69.6
E00048860,3.3,30.9,65.9
E00048861,8.6,22.7,68.8
E00048862,10.9,27.3,61.8
E00048863,3.6,23.6,72.7
E00048864,4.6,41.5,53.8
E00048865,5.5,27.6,66.9
E00048866,6.2,19.5,74.3
E00048867,7.7,45,47.3
E00048868,1.6,24.6,73.8
E00048869,7.1,21.3,71.7
E00048870,4.3,24.3,71.3
E00048871,5.5,28.2,66.4
E00048872,3.2,29.8,66.9
E00048873,9.9,28.1,62
E00048874,5.8,32.5,61.7
E00048875,11.6,23.3,65.1
E00048876,12,28.2,59.9
E00048877,7.8,15.5,76.7
E00048878,11,18.6,70.3
E00048879,9.5,28.4,62.1
E00048880,9.5,30.2,60.3
E00048881,14.8,20,65.2
E00048882,0,78.1,21.9
E00048883,9.1,22.7,68.2
E00048884,10.2,23.6,66.1
E00048885,14.8,35.9,49.2
E00048886,9,28.7,62.3
E00048887,12.2,20,67.8
E00048888,13.9,39.4,46.7
E00048889,18.6,22.9,58.5
E00048890,19.1,14.9,66
E00048891,23.7,28.2,48.1
E00048892,18.5,26.7,54.8
E00048893,10.2,42,47.8
E00048894,13.9,41.6,44.5
E00048895,20.1,26.3,53.6
E00048896,30.4,25.6,44
E00048899,8.3,25,66.7
E00048900,13.9,23.1,63
E00048901,4.5,35.6,59.8
E00048902,4,33.7,62.4
E00048903,4.5,39.6,56
E00048904,11.9,17.2,70.9
E00048905,7.3,23.4,69.4
E00048906,7.6,23.5,68.9
E00048907,3.3,32.5,64.2
E00048908,15.5,13.8,70.7
E00048909,9.9,26,64.1
E00048910,7.2,26.3,66.4
E00048911,8.3,17.3,74.4
E00048912,6,45.9,48.1
E00048913,5,30.9,64
E00049124,7.8,21.7,70.5
E00049125,2.8,61.4,35.9
E00049126,7.5,21.5,71
E00049127,4.7,22.8,72.4
E00049128,6.3,21.6,72.1
E00049129,6.9,23.7,69.5
E00049130,7.2,15.2,77.6
E00049131,7.3,24.4,68.3
E00049132,9.9,20.7,69.4
E00049133,3,25.8,71.2
E00049134,9.6,21.2,69.2
E00049135,9.9,27.3,62.8
E00049136,4.2,25.9,69.9
E00049137,8.4,23.7,67.9
E00049138,8.3,45.5,46.2
E00049139,7.5,25.4,67.2
E00049140,9.3,15.7,75
E00049141,4.8,27.2,68
E00049142,4.7,18.7,76.6
E00049143,2.2,70.3,27.6
E00049144,6.3,24.6,69
E00049145,1,26,73
E00049146,3.1,41.7,55.1
E00049147,4,66.4,29.6
E00049148,8.2,28.6,63.2
E00049149,4.7,35.4,59.8
E00049150,4.5,30.4,65.2
E00049151,5,33.7,61.4
E00049152,9.7,26.9,63.4
E00049153,4.5,24.3,71.2
E00049154,6.4,38.4,55.2
E00049157,9.6,18.4,71.9
E00049158,9.8,18.8,71.4
E00049159,7.8,45.2,47
E00049161,2.7,48.6,48.6
E00049162,5.6,29.4,65.1
E00049163,4.8,29.8,65.3
E00049164,3.3,23,73.8
E00049165,7.2,26.4,66.4
E00049166,9.7,34.5,55.8
E00049167,7,25.4,67.5
E00049168,4.7,30.5,64.8
E00049169,6.3,22.8,70.9
E00049170,7.7,22.1,70.2
E00049171,12.7,16.4,70.9
E00049172,8.4,22.7,68.9
E00049173,4.1,28.1,67.8
E00049174,9.1,23.5,67.4
E00049175,6.6,26.2,67.2
E00049176,1.8,24.3,73.9
E00049177,4.5,17,78.6
E00049178,5.7,24.8,69.5
E00049179,0,19.4,80.6
E00049180,9.4,21.7,68.8
E00049181,6,27.4,66.7
E00049182,7,30,63
E00158780,3.3,39.3,57.4
E00158781,5.5,21.3,73.2
E00158782,3.2,23.4,73.4
E00158783,9.6,27,63.5
E00158784,7,23.7,69.3
E00158785,4.8,19,76.2
E00158786,1.6,40.2,58.3
E00158787,7.6,21,71.4
E00158788,1.4,22.8,75.9
E00165739,3.5,23.7,72.8
E00165740,6,32.5,61.5
E00172180,16.9,28.3,54.8
E00172181,26.6,29.7,43.8
E00172186,7.6,12.7,79.7
E00172187,5.7,19,75.3
E00172189,15.1,13,71.9
E00172197,20.8,32.1,47.2
E00172206,10.6,28.6,60.8
E00172212,5.2,28.5,66.3
E00185034,6.3,28.8,64.9
E00185043,12.4,19.6,68
E00185049,11.5,13.1,75.4
E00185052,20,17.5,62.5
E00185053,17.6,22.2,60.2
E00185065,5.2,36.3,58.5
E00185066,11,13,76
E00185067,34.9,23.3,41.9
E00185068,1.9,28.8,69.2
E00185071,16,10,74
E00185074,8.3,20.4,71.3
E00185084,13,25,62
E00185092,11.3,8.2,80.4
E00185094,6.1,4.5,89.4
E00185099,7.6,15.8,76.6
E00185101,18.9,27.6,53.5
E00185107,3.1,45.4,51.5
E00185108,9.1,33.3,57.6
