areacd,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E00048254,41.3,20.2,23.1,15.4
E00048255,46.4,19.3,25.7,8.6
E00048256,52,10.8,29.1,8.1
E00048257,39,14.4,32.2,14.4
E00048258,51.1,19,15.5,14.4
E00048259,60.6,21.9,7.3,10.2
E00048260,56.9,19.8,12.1,11.2
E00048261,52,23,13,12
E00048262,60.6,11.5,20.2,7.7
E00048263,52.9,15.7,8.8,22.5
E00048264,37.6,14.4,39.6,8.4
E00048265,52.4,12.6,23.1,11.9
E00048266,64.2,15.1,9.4,11.3
E00048267,46.2,17,24.5,12.3
E00048268,42.9,16.7,20.5,19.9
E00048269,61.6,9.1,10.1,19.2
E00048270,54.9,16.5,17.6,11
E00048271,49.6,14.2,22.1,14.2
E00048272,36.4,21.5,23.1,19
E00048273,39.9,12.3,39.1,8.7
E00048274,40.6,18.8,25.5,15.2
E00048275,43.4,16.2,31.2,9.2
E00048276,34.5,25,31,9.5
E00048277,40.8,14,33.8,11.5
E00048278,36.7,19,29.7,14.6
E00048279,46.5,17.8,24.8,10.9
E00048280,36.9,12.1,36.2,14.8
E00048281,40.5,15.3,27.5,16.8
E00048283,41.3,12.3,34.1,12.3
E00048284,41.9,10.5,31.4,16.3
E00048285,37.4,16.8,30.5,15.3
E00048286,47.7,14.4,25.2,12.6
E00048287,29.6,17.6,30.6,22.2
E00048288,57.7,17.5,12.4,12.4
E00048289,54.1,17.4,13.8,14.7
E00048290,47.1,27.6,16.1,9.2
E00048291,43.8,19.5,24.2,12.5
E00048292,45.7,20.1,22,12.2
E00048293,56.2,9.5,12.4,21.9
E00048294,65.6,10.4,12.5,11.5
E00048296,38.3,16.8,29,15.9
E00048297,53.4,17.2,12.1,17.2
E00048298,53.2,15.6,16.9,14.3
E00048299,48.3,13.6,24.6,13.6
E00048300,56.4,20.9,16.6,6.1
E00048301,58.5,18.7,16.3,6.5
E00048302,47.2,19.1,20.2,13.5
E00048303,53.7,16.3,13,17.1
E00048304,49.7,17.2,22.5,10.6
E00048306,64.7,16,9.2,10.1
E00048307,57.3,22.1,12.6,8
E00048308,51.6,15.4,18.7,14.3
E00048309,49.2,23.1,9.2,18.5
E00048311,61.4,20.2,10.5,7.9
E00048313,50.3,18.4,14.3,17
E00048314,57,20.6,12.1,10.3
E00048315,62.4,16.1,8.6,12.9
E00048316,31.1,17.9,39.7,11.3
E00048320,39,14.2,33.3,13.5
E00048323,41.4,19.9,26.3,12.4
E00048325,46.5,21.7,19.4,12.4
E00048328,36.8,16,35.2,12
E00048336,28.6,22.9,30,18.6
E00048342,42.5,19.9,27.4,10.2
E00048355,38.2,23.6,26.7,11.5
E00048357,35,17.5,35.7,11.9
E00048358,40,25.8,23.3,10.8
E00048362,29.7,20.3,34.2,15.8
E00048363,31.5,19.1,34.8,14.6
E00048364,41.6,16.8,31,10.6
E00048365,39,24.6,22.9,13.6
