geography_code,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
W00002704,26.6,49.5,13.8,10.1
W00002705,37.8,38.7,9.9,13.5
W00002706,45.8,28.3,14.2,11.7
W00002707,62.6,25.2,3.7,8.4
W00002708,44.8,38.1,9.5,7.6
W00002709,48.6,33,11,7.3
W00002710,37,39.5,14.8,8.6
W00002711,37.7,40.2,10.1,12.1
W00002712,46,32.2,11.5,10.3
W00002713,45.2,43,6.7,5.2
W00002714,28.3,46.5,9.4,15.7
W00002715,30.1,51.5,5.8,12.6
W00002716,31.1,41.9,9.5,17.6
W00002717,31,41.4,20.7,6.9
W00002718,26.7,25.6,18.9,28.9
W00002719,41.3,39.1,8.1,11.5
W00002720,45.1,40.2,7.8,6.9
W00002721,25.7,32.1,19.3,22.9
W00002722,29.2,37.5,15,18.3
W00002723,29.7,47.7,9.9,12.6
W00002724,42.5,35.8,13.2,8.5
W00002725,42.6,31.7,17.8,7.9
W00002726,52.8,28,9.6,9.6
W00002727,46.5,27.2,12.3,14
W00002728,43.8,31.4,8,16.8
W00002729,63.8,17.2,6.9,12.1
W00002730,56,27.6,7.5,9
W00002731,30.3,25.1,17.1,27.4
W00002732,53.6,23.5,13.7,9.2
W00002733,59.1,24.3,6.1,10.4
W00002734,41,34.2,12,12.8
W00002772,22.9,45,12.1,20
W00002773,20.9,48.7,13.9,16.5
W00002774,29.5,43.2,14.4,13
W00002775,29.2,45.1,11.5,14.2
W00002776,23.6,45.7,16.5,14.2
W00002777,34.7,33.9,13.2,18.2
W00002786,28,42.4,12.7,16.9
W00002787,25.7,48.7,14.2,11.5
W00002788,27.8,41.7,15.7,14.8
W00002789,33,39.6,14.2,13.2
W00002790,39.6,37.6,13.9,8.9
W00002800,22.2,51.1,14.4,12.2
W00002801,28.4,41,11.9,18.7
W00002802,29.2,41.5,17.7,11.5
W00002803,29.6,37.4,18.3,14.8
W00002820,24.8,43.2,11.2,20.9
W00002821,30.4,40.7,17,11.9
