geography_code,in_full_time_education-001,in_full_time_education-002
E00007074,29.9,70.1
E00007077,44.3,55.7
E00007078,31.5,68.5
E00007079,18.3,81.7
E00007080,26.7,73.3
E00007081,23.6,76.4
E00007082,26.6,73.4
E00007083,21.7,78.3
E00007084,36.3,63.7
E00007085,27.1,72.9
E00007086,30,70
E00007087,30.8,69.2
E00007088,29,71
E00007089,24.8,75.2
E00007090,19.5,80.5
E00007118,21.1,78.9
E00007121,31.3,68.7
E00007123,32.6,67.4
E00007270,25.1,74.9
E00007271,30.6,69.4
E00007273,32.6,67.4
E00007274,25.6,74.4
E00007275,32,68
E00007276,28.1,71.9
E00007277,25.1,74.9
E00007278,26.3,73.7
E00007279,35.7,64.3
E00007280,25.7,74.3
E00007709,19.3,80.7
E00007710,31.7,68.3
E00007711,26.9,73.1
E00007713,21.7,78.3
E00007714,31.3,68.8
E00007715,23.4,76.6
E00007716,27.7,72.3
E00007717,29.9,70.1
E00007718,21.4,78.6
E00007719,29.5,70.5
E00007720,26.1,73.9
E00007721,24.9,75.1
E00007722,16.2,83.8
E00007723,23.9,76.1
E00007724,27.2,72.8
E00007726,25.3,74.7
E00007727,32.8,67.2
E00007728,28.5,71.5
E00007729,32.8,67.2
E00007730,18.8,81.2
E00007733,34.9,65.1
E00007734,27,73
E00007735,33.3,66.7
E00007736,30.9,69.1
E00007737,22.9,77.1
E00007738,25.8,74.2
E00007741,28.6,71.4
E00007742,31.2,68.8
E00007745,33.6,66.4
E00007746,30.8,69.2
E00007747,26.5,73.5
E00007750,33.2,66.8
E00007751,23,77
E00007752,28.3,71.7
E00008579,16,84
E00008580,30.8,69.2
E00008581,33,67
E00008585,26.3,73.7
E00008586,43.8,56.3
E00008587,37.9,62.1
E00008588,26.5,73.5
E00008589,33.8,66.2
E00008590,34.3,65.7
E00008591,29.4,70.6
E00008592,38.3,61.7
E00008593,38.1,61.9
E00008594,30.5,69.5
E00008596,26.8,73.2
E00008597,35,65
E00008598,25.3,74.7
E00008599,30.9,69.1
E00008600,22.1,77.9
E00008601,30.9,69.1
E00008602,24,76
E00008603,32.4,67.6
E00008604,11.5,88.5
E00008605,31.4,68.6
E00008606,23.2,76.8
E00008607,8.9,91.1
E00008959,28.7,71.3
E00008961,17.8,82.2
E00008963,25.3,74.7
E00008972,32.1,67.9
E00008973,30.3,69.7
E00008974,23.9,76.1
E00008975,25,75
E00008976,32.7,67.3
E00008977,28.8,71.2
E00008978,40.1,59.9
E00008979,43,57
E00008980,24.1,75.9
E00008981,25.8,74.2
E00008982,22.8,77.2
E00008983,18.6,81.4
E00008985,27.7,72.3
E00008986,24.4,75.6
E00008987,24.2,75.8
E00008989,20.1,79.9
E00008990,19.4,80.6
E00008991,17.8,82.2
E00008993,20,80
E00008998,33.2,66.8
E00009000,30.5,69.5
E00009001,33.9,66.1
E00009002,35.8,64.2
E00009003,36.5,63.5
E00009005,39.1,60.9
E00009006,39.7,60.3
E00009007,23.4,76.6
E00009008,25.3,74.7
E00009012,30.8,69.2
E00009014,21.3,78.7
E00009015,38.3,61.7
E00009017,25.6,74.4
E00009018,42.7,57.3
E00009019,31.8,68.2
E00009021,18,82
E00009022,37.3,62.7
E00009023,20.3,79.7
E00009024,39.5,60.5
E00009027,34.3,65.7
E00009030,34.1,65.9
E00009031,25,75
E00009032,46.7,53.3
E00009033,39.6,60.4
E00009034,46.7,53.3
E00009035,32.2,67.8
E00009036,39,61
E00009037,32.5,67.5
E00009038,19.6,80.4
E00009039,21.2,78.8
E00009040,50.7,49.3
E00009041,32,68
E00009042,34.6,65.4
E00009043,26.8,73.2
E00009044,29.5,70.5
E00009082,27.4,72.6
E00009083,22.4,77.6
E00009084,20.5,79.5
E00009085,31.1,68.9
E00009086,42.3,57.7
E00009087,39.8,60.2
E00009089,31,69
E00009090,36.4,63.6
E00009091,35.6,64.4
E00009092,26.3,73.7
E00009093,33.8,66.2
E00009094,33.7,66.3
E00009095,32.6,67.4
E00009096,42.2,57.8
E00009097,38.7,61.3
E00009098,28,72
E00009099,39.2,60.8
E00009100,45.4,54.6
E00009101,25.2,74.8
E00009102,32.2,67.8
E00009103,26.5,73.5
E00009104,31,69
E00009105,29.4,70.6
E00009106,28.4,71.6
E00009107,27.7,72.3
E00009109,33.9,66.1
E00009110,29.2,70.8
E00009112,21.1,78.9
E00009906,22.2,77.8
E00009907,29.7,70.3
E00009908,19.4,80.6
E00009909,22.2,77.8
E00009910,21.7,78.3
E00009911,18.4,81.6
E00009912,14.3,85.7
E00009913,20.8,79.2
E00009914,18.1,81.9
E00009915,23.1,76.9
E00009916,20.1,79.9
E00009917,22.8,77.2
E00009918,14.2,85.8
E00009919,24.1,75.9
E00009920,22.9,77.1
E00009921,15,85
E00009922,21.2,78.8
E00009923,20.1,79.9
E00009924,21.2,78.8
E00009925,15.7,84.3
E00009926,14.5,85.5
E00009927,19.1,80.9
E00009928,17,83
E00009929,22.4,77.6
E00009930,21.3,78.7
E00009931,26.9,73.1
E00009932,22.9,77.1
E00009933,21.6,78.4
E00009934,20.5,79.5
E00009935,23.2,76.8
E00009936,23.1,76.9
E00009937,17.1,82.9
E00009938,18.8,81.3
E00009939,26.2,73.8
E00009940,22.1,77.9
E00009941,22.2,77.8
E00009942,19.9,80.1
E00009943,24.4,75.6
E00009944,17.8,82.2
E00010213,34.8,65.2
E00010214,21.2,78.8
E00010216,37.1,62.9
E00010217,27.8,72.2
E00010218,32.1,67.9
E00010219,27.8,72.2
E00010220,28.7,71.3
E00010221,23.2,76.8
E00010222,32,68
E00010223,27,73
E00010224,26,74
E00010225,17.8,82.2
E00010226,38.4,61.6
E00010227,27.5,72.5
E00010228,26.4,73.6
E00010229,33.7,66.3
E00010230,31,69
E00010231,27.5,72.5
E00010232,25.9,74.1
E00010233,31.9,68.1
E00010234,27.7,72.3
E00010235,24.6,75.4
E00010236,25.1,74.9
E00010237,16.4,83.6
E00010238,28.5,71.5
E00010239,22.4,77.6
E00010240,28.6,71.4
E00010241,20.3,79.7
E00010242,24.3,75.7
E00010243,21.3,78.7
E00010244,16.7,83.3
E00010245,18,82
E00010247,27.9,72.1
E00010248,26.1,73.9
E00010249,27.3,72.7
E00010250,20.4,79.6
E00010252,28.3,71.7
E00010253,21.6,78.4
