areacd,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E00038827,52.3,2.8,44.9
E00038828,54.5,2.1,43.3
E00038829,57.8,5.1,37.1
E00038830,60.5,1.2,38.3
E00038831,55.5,4.8,39.7
E00038832,53.4,2.8,43.9
E00038834,64.7,3.8,31.5
E00038835,60.9,0,39.1
E00038836,52.6,5.2,42.2
E00038837,58.2,4.4,37.3
E00038838,40,1.5,58.5
E00038839,55.4,3.7,40.9
E00038840,42,6.2,51.8
E00038841,61.8,4.2,34
E00038842,47.5,2.5,50
E00038843,51.1,5.5,43.4
E00038844,49.8,5.6,44.6
E00038845,58.7,2.9,38.4
E00038846,50.5,2.5,47.1
E00038847,70,2.7,27.4
E00038848,64.5,2,33.6
E00038849,66.1,3.1,30.7
E00038850,54,2.4,43.5
E00038851,65,4.3,30.7
E00038852,48.9,3.7,47.4
E00038853,64.4,6.7,28.8
E00038855,64.8,1.1,34.2
E00038856,39.7,2,58.3
E00038858,66.2,3.5,30.4
E00038859,51.4,2.3,46.2
E00038860,50.7,3.7,45.7
E00038861,53.3,1.2,45.5
E00038862,64.2,2.5,33.3
E00038863,69.8,1.6,28.6
E00038864,63.7,4.9,31.3
E00038865,63,2,35
E00038866,71.5,2.4,26
E00038867,27.4,3.2,69.5
E00038868,59.2,2.2,38.6
E00038869,35.9,3.6,60.5
E00038870,45.6,0.6,53.8
E00038871,57.6,3.4,39
E00038872,64.2,3.4,32.3
E00038873,46,3.1,50.9
E00038876,58.6,0.7,40.8
E00038877,50.6,0.4,49
E00038878,47.1,1.9,51
E00038879,49.5,2.4,48.1
E00038880,51,3.4,45.6
E00038881,52.1,2.7,45.2
E00038882,39.9,10.5,49.6
E00038883,49.5,2.7,47.8
E00038884,53.1,3.5,43.3
E00038885,52.1,3.6,44.2
E00038886,55.1,2,42.9
E00038887,46,4,50
E00038888,43.3,5.2,51.6
E00038889,50.8,3.2,46
E00038890,47.3,4.4,48.3
E00038891,42.7,3.6,53.6
E00038892,72.1,3.5,24.3
E00038893,49,4.5,46.5
E00038894,46,1.9,52.1
E00038895,30.5,2.8,66.7
E00038896,59,3.5,37.4
E00038897,60.4,3.5,36.1
E00038898,49.2,2.3,48.5
E00038899,38.3,3.3,58.4
E00038900,38.8,4.4,56.8
E00038901,50.3,5,44.7
E00038902,14.5,4.3,81.2
E00038903,48.9,5.4,45.7
E00038904,45.2,5.9,48.9
E00038905,50.2,3.3,46.5
E00038906,58.3,3.4,38.3
E00038907,47.4,1.9,50.7
E00038908,47.6,1.9,50.5
E00038909,38.6,0.9,60.5
E00038910,50.6,2.4,46.9
E00038911,63.9,1.8,34.2
E00038912,50.4,3.1,46.5
E00038913,70.9,2.9,26.2
E00038915,73.3,1.6,25.1
E00038916,60.9,3.4,35.7
E00038917,47,2.3,50.8
E00038918,69.5,1.5,29
