geography_code,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E00083053,46.9,12.3,22.9,17.9
E00083054,44.5,13.8,23.9,17.9
E00083056,31.8,16.5,32.4,19.4
E00083057,40.5,17.3,19.6,22.6
E00083058,45.6,13.3,22,19.1
E00083059,36.9,20.1,21.8,21.2
E00083060,35.5,23.7,14.8,26
E00083061,43.2,18,18.6,20.2
E00083062,37.8,15.4,24.7,22
E00083063,40.9,18.7,25.1,15.2
E00083065,47.4,17.7,18.3,16.6
E00083066,43.5,19.6,18.7,18.2
E00083067,50,17.9,14.3,17.9
E00083068,48.4,15,16.9,19.7
E00083069,50.5,14.7,14.7,20
E00083070,48.8,17.8,14.1,19.2
E00083071,41.5,14.8,14.8,28.9
E00083073,42.6,15.5,21.9,20
E00083074,43.9,17.1,18.3,20.7
E00083075,37.2,20,23.7,19.1
E00083076,44,17.9,21.7,16.3
E00083077,39.6,20.9,20.9,18.7
E00083078,36,16.9,28.6,18.5
E00083079,38.5,14.4,30.5,16.7
E00083080,36.4,16.1,28.7,18.9
E00083082,29.9,21.9,31.6,16.6
E00083083,48.5,11.1,16.2,24.2
E00083084,46.2,14.7,23.1,16.1
E00083085,33.9,17.7,31.7,16.7
E00083086,37.9,18.9,22.1,21.1
E00083087,39.1,18.1,22.5,20.3
E00083088,37.1,24.6,21,17.4
E00083089,37.9,18.3,21.6,22.2
E00083090,27.3,23,29.1,20.6
E00083091,35.4,17.4,28.2,19
E00083092,36.7,20.1,24.1,19.1
E00083093,40.4,17.6,20.6,21.3
E00083094,32.8,25.3,27.6,14.4
E00083095,48.1,20.7,15.6,15.6
E00083096,42.3,21.2,18.2,18.2
E00083097,28.4,19.4,28.4,23.9
E00083098,36.5,22.3,23.6,17.6
E00083099,49.1,21.7,12.4,16.8
E00083100,38.4,18.9,20.1,22.6
E00083101,48.2,22.6,12.8,16.5
E00083102,41.6,12.8,24.8,20.8
E00083103,35.9,23.4,16.8,24
E00083104,36.2,17.4,22.8,23.5
E00083105,38.6,16.4,25.1,19.9
E00083106,43.8,20.5,15.9,19.9
E00083108,42.6,13.9,20.3,23.2
E00083109,34.4,10.4,37.3,17.9
E00083110,44.7,17,26.4,11.9
E00083112,39.5,15.1,21,24.4
E00083113,46.2,14.6,23.1,16.1
E00083114,42.3,23.4,14.3,20
E00083115,40.4,16.9,20.2,22.4
E00083116,45.1,19.1,19.1,16.7
E00083117,48,14.7,21.2,16
E00083120,39.7,11.9,23.7,24.7
E00083121,46.5,14.8,19.9,18.8
E00083122,41.9,14.4,25,18.8
E00083123,44.2,14.2,24.8,16.8
E00083124,39.4,21.1,16.1,23.3
E00083125,33.5,18,23.4,25.1
E00083127,46.4,13,15.6,25
E00083129,35.5,19.5,20.1,24.9
E00083130,49.1,16.2,19.7,15
E00083132,47.4,9.8,22.7,20.1
E00083134,39.8,21.6,19.3,19.3
E00083154,32.9,27.7,17.4,21.9
E00083155,44.7,16.2,19.8,19.3
E00083156,37.2,13.5,33.8,15.5
E00083157,34.3,19.9,25.9,19.9
E00083158,36.5,17.6,32.4,13.5
E00083159,41.1,21.7,25.1,12
E00083160,42.8,17,27,13.2
E00083162,28.9,16.9,27.1,27.1
E00083163,33.6,21.9,32.8,11.7
E00083164,30.1,22.2,38.6,9.1
E00083165,36.2,14.6,31.9,17.3
E00083166,29.2,14.3,36.6,19.9
E00083167,31.8,15.4,31.8,21
E00083168,28.5,24.2,34.8,12.6
E00083169,32.3,20.7,26.8,20.1
E00083170,40,22.8,25.1,12.1
E00083171,40.4,20.6,20.6,18.4
E00083172,23.6,20.5,35.4,20.5
E00083173,41.3,20.6,26.7,11.3
E00083174,31.5,23.4,31.5,13.6
E00083175,30.5,19.5,34.8,15.2
E00083176,32.6,17.6,32.1,17.6
E00083177,32.1,15.8,37.8,14.4
