geography_code,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E00046609,11,14.4,56.8,17.8
E00046610,18.8,50,27.5,3.6
E00046611,1.5,22.1,42.6,33.8
E00046612,8.2,44.9,31.6,15.3
E00046617,21,39.5,34.4,5.1
E00046618,0,17.6,63.7,18.6
E00046619,1,4.1,59.8,35.1
E00046622,35.7,24,27.1,13.2
E00046624,1.1,2.1,60.6,36.2
E00046625,0,12.8,51.3,35.9
E00046626,0,37.7,54.1,8.2
E00046627,33.1,40.8,22.9,3.2
E00046628,50.5,45.7,2.7,1.1
E00046631,1.4,4.1,61.6,32.9
E00046635,3.3,19.6,64.1,13
E00046636,16.9,24,51.3,7.8
E00046637,10.7,21.4,58.9,8.9
E00046638,36,31.6,30.1,2.2
E00046641,0.9,19.1,39.1,40.9
E00046662,15.3,19.3,53.4,11.9
E00046663,25,22.2,42.4,10.4
E00046664,22,21.2,49.2,7.6
E00046665,38.6,23.6,32.1,5.7
E00046666,31.3,25.8,32.8,10.2
E00046667,14.9,31.8,50.7,2.7
E00046668,42.9,36,21.1,0
E00046669,11,12.3,69.5,7.1
E00046670,2.7,41.6,51,4.7
E00046671,27.5,69.8,2.2,0.5
E00046672,8.2,48.6,31.5,11.6
E00046673,14.4,18.6,50.5,16.5
E00046674,5.6,23.6,59.7,11.1
E00046675,0,21.3,63.9,14.8
E00046676,1.9,7.7,54.8,35.6
E00046677,0,21.2,68.2,10.6
E00046773,22,35.4,36.2,6.3
E00046777,3.1,38.9,42.6,15.4
E00046778,0,14.6,77.7,7.7
E00046779,10,10,62.3,17.7
E00046780,2.2,6,85.1,6.7
E00046781,0.8,12.8,79.2,7.2
E00046782,3.4,31,57.8,7.8
E00046783,2.4,2.4,86.3,8.9
E00046784,3.6,10,84.5,1.8
E00046785,1.5,8.3,75,15.2
E00046786,20.2,2.8,63.3,13.8
E00046834,1.7,12.4,70.2,15.7
E00046835,26.9,26.2,42.3,4.6
E00046837,0.8,4.9,82,12.3
