geography_code,hh_language-001,hh_language-002,hh_language-003,hh_language-004
E00045166,58.2,25.5,4.1,12.2
E00045167,51.7,23.8,7,17.5
E00045168,30.1,43.1,8.9,17.9
E00045169,58.6,22.9,9.3,9.3
E00045171,60.9,17.2,6.5,15.4
E00045172,24.2,45.2,10.5,20.2
E00045173,29.1,55.9,4.7,10.2
E00045174,60.7,12.5,4.8,22
E00045175,56.9,20.7,2.7,19.7
E00045176,34.8,47.3,6.3,11.6
E00045178,31.6,47.9,6.8,13.7
E00045180,26.8,37.1,18.6,17.5
E00045181,62.9,17.1,5.7,14.3
E00045182,70.5,13.6,6.8,9.1
E00045183,25.6,55.4,9.1,9.9
E00045184,60,17.8,3.7,18.5
E00045186,55.9,24.6,4.2,15.3
E00045187,50,37.2,4.3,8.5
E00045188,50,5.6,15.5,28.9
E00045189,65.9,9.8,6.8,17.4
E00045190,52.7,21.2,8.9,17.1
E00045191,57.9,23.4,7.5,11.2
E00045193,64.9,18.9,3.4,12.8
E00045196,67.6,14.7,10.3,7.4
E00045197,54.3,24.8,3.8,17.1
E00045198,88,5.4,4.3,2.2
E00045199,58.9,12.1,11.1,17.9
E00045200,85.1,5.4,2.1,7.5
E00045201,57.8,11.6,8.8,21.8
E00045202,62.8,10.8,8.8,17.6
E00045204,52.4,10.4,21.7,15.6
E00045205,55.8,12.9,8.8,22.4
E00045206,54.4,20.6,9.6,15.4
E00045207,56.3,4.7,14.8,24.2
E00045208,50.3,17,11.5,21.2
E00045210,49.2,15.3,9.3,26.3
E00045212,51.2,10.8,15.7,22.3
E00045213,67.7,16.1,4.5,11.6
E00045214,57.4,11.6,3.1,27.9
E00045215,64.4,14.8,9.4,11.4
E00045216,61.9,16.8,8,13.3
E00045217,53.7,28.5,4.9,13
E00045218,56.9,17.4,6.9,18.8
E00045219,44.7,26.2,13.5,15.6
E00045220,51.8,21.9,6.1,20.2
E00045221,48.6,24.8,11.4,15.2
E00045222,67.6,11.3,0,21.1
E00045223,51.5,23.8,6.9,17.8
E00045224,35.6,31,8,25.3
E00045225,35.7,29.8,8.3,26.2
E00045226,72.8,19.6,0,7.6
E00045227,48.4,33.3,8.6,9.7
E00045228,51.5,29.9,2.1,16.5
E00045231,17.8,49.3,13.7,19.2
E00045232,35,47,4.3,13.7
E00045233,51.2,29.8,9.5,9.5
E00045234,33.6,41.1,6.5,18.7
E00045235,34.1,41.8,4.4,19.8
E00045236,65.6,17.8,3.8,12.7
E00045237,56.6,27.1,3.1,13.2
E00045238,66,20.8,6.6,6.6
E00045239,49.6,32.5,6,12
E00045240,54.4,21.4,0,24.3
E00045241,28.3,39.1,8.7,23.9
E00045242,59.6,17.4,8.3,14.7
E00045244,38.9,24.8,12.4,23.9
E00045245,61,17.5,11.7,9.7
E00045247,44.3,32.9,10.1,12.7
E00045704,85.2,2.8,0,12
E00045707,77.3,5,0.8,16.8
E00045709,83.9,2.1,0,14
E00045730,82.9,7,4.8,5.3
E00045901,59.3,28.1,1.5,11.1
E00045902,39,34,12,15
E00045904,42.2,35.2,7,15.6
E00045905,52.4,28.6,7.9,11.1
E00045906,62.4,14.6,2.9,20
E00045907,42.3,38.5,4.8,14.4
E00045909,39.4,37,7.1,16.5
E00045910,54.1,33.6,5.7,6.6
E00045911,71.1,20.1,2.5,6.3
E00045912,49.2,14.5,0,36.3
E00045913,45.6,34.4,0,20
E00045914,53,22.8,10.1,14.1
E00045915,53.2,35.1,2.1,9.6
E00045916,67.6,16.7,7.4,8.3
E00045917,59.9,22.8,3.6,13.8
E00045918,42.6,34.3,5.6,17.6
E00045919,48.1,33.3,1.6,17.1
E00045920,61.3,27.4,1.6,9.7
E00045921,38.2,39,5.7,17.1
E00045922,60.7,26,2.7,10.7
E00045923,50.4,31.6,3.4,14.5
E00045924,53.2,20.2,5.5,21.1
E00045925,59.9,19.7,3.3,17.1
E00045926,66.7,18.4,3.4,11.6
E00045927,66.4,17.2,1.5,14.9
E00045928,57.4,19.6,4.1,18.9
E00045929,58.7,26.4,0,14.9
E00045930,34.9,45,7.8,12.4
E00045931,38.9,41.1,6.3,13.7
E00045932,54.4,26.2,5.8,13.6
E00045935,63,17.8,0.7,18.5
E00045937,41.1,48.8,0.8,9.3
E00045939,44.4,38,6.5,11.1
E00045940,44.4,44.4,1.7,9.4
E00045941,71.4,8.4,3.4,16.7
E00045943,48.1,33.3,1.5,17
E00045944,48.2,27.3,8.6,15.8
E00045945,47,29.1,1.7,22.2
E00045948,51.4,33.1,3.4,12.2
E00045949,72.8,12.7,4.2,10.3
E00045950,60.2,16.5,7.4,15.9
E00045951,66,8,3.7,22.2
E00045952,70.2,15.7,0,14
E00045953,71.8,12.7,4.2,11.3
E00045954,60.3,17.4,0,22.3
E00045955,58.4,21.9,5.1,14.6
E00045956,41.4,34.2,9,15.3
E00045957,58.2,17.8,3.4,20.5
E00045959,49.5,23.8,11.4,15.2
E00045960,75.8,6.1,5.5,12.7
E00045961,53.7,24.8,6.6,14.9
