geography_code,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00045166,46.4,29.9,15.5,8.2
E00045167,43.4,39.3,14.5,2.8
E00045168,40.5,39.7,14.9,5
E00045169,41,43.9,12.2,2.9
E00045171,46.4,45.2,5.4,3
E00045172,37.9,43.5,12.9,5.6
E00045173,31,41.1,20.9,7
E00045174,50.9,32,9.5,7.7
E00045175,47.9,37.2,12.2,2.7
E00045176,42.5,33.6,16.8,7.1
E00045178,32.8,42.2,17.2,7.8
E00045180,47.4,42.3,7.2,3.1
E00045181,45.7,32.4,18.1,3.8
E00045182,52.3,34.8,10.6,2.3
E00045183,35.5,41.3,16.5,6.6
E00045184,58.4,30.7,8,2.9
E00045186,49.6,37.8,10.9,1.7
E00045187,36.8,40,15.8,7.4
E00045188,60.1,36.4,3.5,0
E00045189,64.4,20.5,12.9,2.3
E00045190,29.4,47.6,19.6,3.5
E00045191,50,36.8,9.4,3.8
E00045193,38.8,43.5,15,2.7
E00045196,48.5,39.7,7.4,4.4
E00045197,24.3,44.7,25.2,5.8
E00045198,80.4,16.3,3.3,0
E00045199,52.6,38.4,6.3,2.6
E00045200,65.3,26,7.4,1.2
E00045201,55.8,35.4,8.2,0.7
E00045202,57,31.1,8.6,3.3
E00045204,51.4,43.9,4.2,0.5
E00045205,58.5,35.4,5.4,0.7
E00045206,54.1,35.6,9.6,0.7
E00045207,61.7,32,4.7,1.6
E00045208,51.5,40,7.3,1.2
E00045210,50.4,38.8,8.3,2.5
E00045212,58.4,30.7,9.6,1.2
E00045213,33.8,37.7,22.7,5.8
E00045214,40.2,48.8,7.9,3.1
E00045215,34.9,38.9,21.5,4.7
E00045216,45.5,32.1,17.9,4.5
E00045217,48,39,9.8,3.3
E00045218,41.7,45.1,11.8,1.4
E00045219,41.7,45.3,11.5,1.4
E00045220,38.3,41.7,15.7,4.3
E00045221,44.8,44.8,7.6,2.9
E00045222,58.2,34.3,7.5,0
E00045223,42.4,42.4,8.1,7.1
E00045224,44.9,44.9,7.9,2.2
E00045225,51.2,25,17.9,6
E00045226,59.1,31.2,6.5,3.2
E00045227,23.4,40.4,24.5,11.7
E00045228,27.7,39.4,24.5,8.5
E00045231,25,52.8,16.7,5.6
E00045232,47,27.4,14.5,11.1
E00045233,50.6,38.6,6,4.8
E00045234,36.8,48.1,13.2,1.9
E00045235,29.7,38.5,19.8,12.1
E00045236,42.4,38,13.9,5.7
E00045237,54.3,28.7,12.4,4.7
E00045238,23.6,50.9,17.9,7.5
E00045239,35.1,37.7,21.9,5.3
E00045240,49,34.6,7.7,8.7
E00045241,31.6,43.4,22.8,2.2
E00045242,62,26.9,8.3,2.8
E00045244,48.2,35.7,12.5,3.6
E00045245,36.8,45.8,16.1,1.3
E00045247,26.9,42.3,25.6,5.1
E00045704,52.3,38.7,7.2,1.8
E00045707,43.8,41.3,9.1,5.8
E00045709,53.1,40.6,6.3,0
E00045730,24.1,47.1,23.5,5.3
E00045901,12.6,34.1,34.1,19.3
E00045902,35.6,45.5,17.8,1
E00045904,29.7,42.2,21.9,6.3
E00045905,29.1,48,17.3,5.5
E00045906,54.4,30.6,10.2,4.9
E00045907,31.4,44.8,19,4.8
E00045909,30.2,46.8,20.6,2.4
E00045910,27.3,45.5,18.2,9.1
E00045911,32.9,37.3,19.6,10.1
E00045912,64,25.6,6.4,4
E00045913,43.8,42.2,11.7,2.3
E00045914,45.6,40.9,12.1,1.3
E00045915,23.7,36.6,28,11.8
E00045916,55.1,31.8,10.3,2.8
E00045917,38.4,42.7,13.4,5.5
E00045918,26.2,50.5,14,9.3
E00045919,30.3,34.1,20.5,15.2
E00045920,39.8,40.7,17.9,1.6
E00045921,40.2,38.5,15.6,5.7
E00045922,42.8,29.6,19.7,7.9
E00045923,29.9,41,22.2,6.8
E00045924,41.8,39.1,5.5,13.6
E00045925,45.5,35.1,13,6.5
E00045926,53.1,33.3,11.6,2
E00045927,57.1,29.3,9.8,3.8
E00045928,41.9,37.2,16.2,4.7
E00045929,38.3,34.2,12.5,15
E00045930,38.5,35.4,23.1,3.1
E00045931,32.3,42.7,20.8,4.2
E00045932,42.2,31.4,12.7,13.7
E00045935,49,36.7,10.9,3.4
E00045937,29,35.9,23.7,11.5
E00045939,37.6,42.2,19.3,0.9
E00045940,30.5,42.4,14.4,12.7
E00045941,64.7,25.5,5.4,4.4
E00045943,33.6,46.3,16.4,3.7
E00045944,47.5,37.4,13.7,1.4
E00045945,40.7,38.1,18.6,2.5
E00045948,39.6,39.6,14.8,6
E00045949,27,50.2,19.1,3.7
E00045950,53.4,38.1,5.1,3.4
E00045951,55.8,32.5,8,3.7
E00045952,43.9,38.2,16.3,1.6
E00045953,52.8,43.1,3.5,0.7
E00045954,32.8,36.1,19.3,11.8
E00045955,32.6,40.6,21,5.8
E00045956,36.6,48.2,10.7,4.5
E00045957,42.5,39.7,14.4,3.4
E00045959,40,48.6,10.5,1
E00045960,48.5,37.4,11.7,2.5
E00045961,37.5,37.5,21.7,3.3
E00045962,19.6,35.7,30.4,14.3
E00045963,30,36,22.7,11.3
E00045964,49,33,18,0
E00045965,41.1,35.7,16.3,7
E00045966,29.1,43.9,20.3,6.8
E00045967,40,34.2,16.7,9.2
E00045969,38.6,38.6,18.9,3.9
E00046265,19.1,51.3,25.2,4.3
E00046266,32.6,48.5,8.3,10.6
E00046285,18.3,51.3,22.6,7.8
E00046286,33.6,40.3,17.2,9
E00046287,27.4,43.7,19.3,9.6
E00046288,39.9,42.4,13.9,3.8
E00046289,44.7,36.4,15.2,3.8
E00046290,46.4,38.4,14.5,0.7
E00046291,68.9,28,3,0
E00046292,29.1,42.5,21.3,7.1
E00046293,35.2,41.4,17.2,6.2
E00046294,14.8,39.3,35.2,10.7
E00046295,33.3,58.5,5,3.1
E00046296,33.8,40,20.7,5.5
E00046297,13.4,41,37.3,8.2
E00046298,19.4,46,25,9.7
E00046299,34,44,13.5,8.5
E00046300,30.4,60,9.6,0
E00046301,20.1,48.5,22.4,9
E00046302,15.8,43.4,28.3,12.5
E00046349,53.6,35.1,7.9,3.3
E00046352,53,34.1,11.4,1.5
E00046423,47,40.9,9.8,2.3
E00046425,66.9,27.6,5.5,0
E00046426,65.9,29.7,3.8,0.5
E00046607,30.8,59.2,6.9,3.1
E00046609,42.8,42.1,11.7,3.4
E00046610,65.2,28.9,5.2,0.7
E00046611,35.6,47.4,10.4,6.7
E00046612,42.7,47.9,6.3,3.1
E00046617,49.7,39.5,9.6,1.3
E00046618,39.8,34,20.4,5.8
E00046619,29.5,42.1,18.9,9.5
E00046622,61.2,29.5,8.5,0.8
E00046624,25.5,38.3,22.3,13.8
E00046625,29.9,41.9,19.7,8.5
E00046626,29.7,55.9,10.2,4.2
E00046627,54.4,40.5,4.4,0.6
E00046628,61.4,35.9,2.7,0
E00046631,36.5,37.8,18.9,6.8
E00046635,34.4,36.7,22.2,6.7
E00046636,59.6,32.7,5.1,2.6
E00046637,42.9,45.5,10.7,0.9
E00046638,58.8,34.6,5.1,1.5
E00046641,20.9,43.6,20.9,14.5
E00046662,51.1,37.5,9.7,1.7
E00046663,38.5,49,9.8,2.8
E00046664,38.5,49.6,10.3,1.7
E00046665,56.4,30,12.9,0.7
E00046666,48.1,44.2,7,0.8
E00046667,55.4,28.4,12.8,3.4
E00046668,64.2,31.5,3.1,1.2
E00046669,50,37.3,10.1,2.5
E00046670,52.3,35.9,9.8,2
E00046671,66.3,31.5,2.2,0
E00046672,55.5,32.2,10.3,2.1
E00046673,43.9,36.7,15.3,4.1
E00046674,45.8,43.1,9.7,1.4
E00046675,51.6,39.1,4.7,4.7
E00046676,24,46.2,23.1,6.7
E00046677,31.8,43.9,18.2,6.1
E00046773,34.9,50.8,10.3,4
E00046777,16,48.1,28.4,7.4
E00046778,21.2,49.2,24.2,5.3
E00046779,22.1,44.3,24.4,9.2
E00046780,22.9,38.2,29,9.9
E00046781,16,47.2,26.4,10.4
E00046782,24.1,50.9,17.2,7.8
E00046783,14.8,45.1,32.8,7.4
E00046784,20,45.5,29.1,5.5
E00046785,12.2,44.3,29,14.5
E00046786,21.3,38,25.9,14.8
E00046834,19.8,46.3,24.8,9.1
E00046835,53.8,40.2,4.5,1.5
E00046837,10,50,30,10
E00046840,13.7,47.3,31.3,7.6
E00046841,17.9,48.2,25,8.9
E00046842,16.1,43,34.9,6
E00046843,12.5,48.3,28.3,10.8
E00046845,31.9,41.6,17.7,8.8
E00046846,20.7,48.9,28.9,1.5
E00046847,9.5,50,26.7,13.8
E00046848,41.8,35.2,17.6,5.5
E00046849,22.7,47.1,25.2,5
E00046850,39.8,41.5,16.3,2.4
E00046851,12.7,50,27.8,9.5
E00046852,39.8,43.9,15.3,1
E00046853,16.2,34.5,33.8,15.5
E00046854,15,48.9,32.3,3.8
E00046855,28.9,49.4,19.6,2.1
E00046856,16.8,41.6,32.1,9.5
E00046857,22.1,55,16,6.9
E00046858,25.2,41.7,27.8,5.2
E00046859,21.8,57.3,16.9,4
E00046860,17.9,49.6,29.3,3.3
E00046861,17.6,48,27.2,7.2
E00046862,21,58.8,17.6,2.5
E00046863,19.8,56.8,18,5.4
E00046864,20.8,48.3,20.8,10
E00046865,16.1,38.1,31.4,14.4
E00046866,15.5,44.5,27.3,12.7
E00046867,24.2,40,32.6,3.2
E00046868,15,42,37,6
E00046869,31.6,37.5,19.7,11.2
E00046870,30.5,44.3,18.3,6.9
E00046871,21.2,38.1,31.9,8.8
E00046873,26.2,27.7,31.5,14.6
E00046874,16.3,38.8,25.9,19
E00046903,15.3,45.1,27.8,11.8
E00046904,11,41.2,33.8,14
E00046979,10.8,33.1,30.9,25.2
E00046990,14.8,34.8,37.8,12.6
