areacd,disability_3a-001,disability_3a-002
E00045166,15.3,84.7
E00045167,18.7,81.3
E00045168,17.3,82.7
E00045169,10.8,89.2
E00045171,12.9,87.1
E00045172,15,85
E00045173,14.1,85.9
E00045174,18.6,81.4
E00045175,17.7,82.3
E00045176,17.5,82.5
E00045178,17.5,82.5
E00045180,9.3,90.7
E00045181,13.1,86.9
E00045182,19,81
E00045183,16,84
E00045184,16.9,83.1
E00045186,11.3,88.7
E00045187,15.6,84.4
E00045188,12.2,87.8
E00045189,22.2,77.8
E00045190,10.8,89.2
E00045191,21.7,78.3
E00045193,13.3,86.7
E00045196,13,87
E00045197,10.1,89.9
E00045198,28.1,71.9
E00045199,12,88
E00045200,27.6,72.4
E00045201,12.2,87.8
E00045202,15.9,84.1
E00045204,8,92
E00045205,15.9,84.1
E00045206,14.5,85.5
E00045207,12,88
E00045208,8.6,91.4
E00045210,8.3,91.7
E00045212,12.3,87.7
E00045213,16.1,83.9
E00045214,8.6,91.4
E00045215,6.6,93.4
E00045216,10.7,89.3
E00045217,17.3,82.7
E00045218,9,91
E00045219,9.8,90.2
E00045220,16.2,83.8
E00045221,12.8,87.2
E00045222,13.2,86.8
E00045223,15.7,84.3
E00045224,10.4,89.6
E00045225,11.1,88.9
E00045226,18.8,81.2
E00045227,19.7,80.3
E00045228,9.6,90.4
E00045231,12.4,87.6
E00045232,14.7,85.3
E00045233,15.8,84.2
E00045234,15.1,84.9
E00045235,12.8,87.2
E00045236,19.8,80.2
E00045237,19.5,80.5
E00045238,15.6,84.4
E00045239,15.7,84.3
E00045240,9.2,90.8
E00045241,9.5,90.5
E00045242,19,81
E00045244,19.1,80.9
E00045245,12.3,87.7
E00045247,9.3,90.7
E00045704,23.7,76.3
E00045707,36.9,63.1
E00045709,29.1,70.9
E00045730,13.3,86.7
E00045901,11.9,88.1
E00045902,11.8,88.2
E00045904,9.6,90.4
E00045905,11.2,88.8
E00045906,22.1,77.9
E00045907,16.1,83.9
E00045909,13,87
E00045910,13.2,86.8
E00045911,13.6,86.4
E00045912,17,83
E00045913,16.4,83.6
E00045914,14.6,85.4
E00045915,10.4,89.6
E00045916,12.7,87.3
E00045917,15.3,84.7
E00045918,16.3,83.7
E00045919,11.8,88.2
E00045920,15.1,84.9
E00045921,11.4,88.6
E00045922,19.9,80.1
E00045923,13.8,86.2
E00045924,13.6,86.4
E00045925,16.9,83.1
E00045926,19,81
E00045927,20.6,79.4
E00045928,13.7,86.3
E00045929,16.2,83.8
E00045930,11.7,88.3
E00045931,13.3,86.7
E00045932,15.8,84.2
E00045935,17.6,82.4
E00045937,16.3,83.7
E00045939,11.6,88.4
E00045940,15.6,84.4
E00045941,27.4,72.6
E00045943,13.1,86.9
E00045944,13,87
E00045945,15.8,84.2
E00045948,14.3,85.7
E00045949,10.2,89.8
E00045950,12.9,87.1
E00045951,19.5,80.5
E00045952,14.6,85.4
E00045953,17.3,82.7
E00045954,14,86
E00045955,14.5,85.5
E00045956,12.7,87.3
E00045957,16,84
E00045959,14.9,85.1
E00045960,15.5,84.5
E00045961,13.3,86.7
E00045962,16.6,83.4
E00045963,12.1,87.9
E00045964,14.2,85.8
E00045965,12.1,87.9
E00045966,10.6,89.4
E00045967,15.4,84.6
E00045969,11.9,88.1
E00046265,20.8,79.2
E00046266,19.6,80.4
E00046285,18.8,81.2
E00046286,21,79
E00046287,16.4,83.6
E00046288,18.9,81.1
E00046289,19.7,80.3
E00046290,15.3,84.7
E00046291,15.6,84.4
E00046292,13.5,86.5
E00046293,19.6,80.4
E00046294,17,83
E00046295,17.2,82.8
E00046296,15.2,84.8
E00046297,12.1,87.9
E00046298,30.9,69.1
E00046299,15.8,84.2
E00046300,18.8,81.2
E00046301,13.5,86.5
E00046302,11.1,88.9
E00046349,23.2,76.8
E00046352,19.6,80.4
E00046423,13.1,86.9
E00046425,16.1,83.9
E00046426,19.8,80.2
E00046607,15.7,84.3
E00046609,14.4,85.6
E00046610,15.1,84.9
E00046611,14.5,85.5
E00046612,20.1,79.9
E00046617,13.1,86.9
E00046618,14.6,85.4
E00046619,16.5,83.5
E00046622,16.7,83.3
E00046624,18.8,81.2
E00046625,13.6,86.4
E00046626,11.8,88.2
E00046627,12.3,87.7
E00046628,10.6,89.4
