areacd,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E00081778,6.5,46.2,19.6,27.7
E00081790,10.8,28.1,12.2,48.9
E00081791,1.3,5.6,35,58.1
E00081792,0,21.7,47.8,30.4
E00081793,0.7,19.9,30.8,48.6
E00081795,6.6,35.8,21.2,36.4
E00081796,0,0,24.7,75.3
E00081797,5.3,25.4,26.6,42.6
E00081798,0.8,8.1,31.5,59.7
E00081799,3.1,12.3,16.9,67.7
E00081801,10.8,25.3,39.9,24.1
E00081802,3.4,18.6,40.7,37.3
E00081803,10.4,36.5,41.7,11.3
E00081804,31.3,34.1,14.5,20.1
E00081806,3.9,28.3,24.4,43.3
E00081807,1.1,3.2,12.6,83.2
E00081808,9.6,59.1,27.8,3.5
E00081809,8.5,18.5,23.1,50
E00081810,7.5,21.5,21.5,49.5
E00081811,4.3,23.3,41.4,31
E00081812,2.3,25.6,45,27.1
E00081815,6.5,14.9,28.9,49.8
E00081816,0.9,1.9,5.6,91.6
E00081817,4.8,12,66.4,16.8
E00081818,3.3,10.6,28.5,57.7
E00081819,12.9,22,59.1,6.1
E00081820,60.5,5.6,28.2,5.6
E00081821,7.5,18,68.4,6
E00081822,31.5,33.3,25,10.1
E00081823,10.5,24.6,49.1,15.8
E00081824,1.8,14.3,67.9,16.1
E00081825,31.6,32.6,30.5,5.3
E00081826,29.7,44.5,17.5,8.3
E00081828,2.9,0.7,37.4,59
E00081830,31.5,23.1,31.5,14
E00081831,4.8,1.6,44.4,49.2
E00081832,15.2,22.8,55.9,6.2
E00081867,11,8.3,63.3,17.4
E00081868,9.9,10.7,66.1,13.2
E00081869,5.5,33,51.6,9.9
E00081870,26.5,26.5,38.9,8
E00081871,9.8,19.7,58.3,12.1
E00081881,9.4,61.6,23.2,5.8
E00081882,23.1,38,38.8,0
E00081883,32.4,45.7,19,2.9
E00081887,20.2,25.4,24.6,29.8
E00081888,39.1,33.6,22.7,4.7
E00081889,26.2,36.5,33.3,4
E00081909,9.8,68.4,15,6.8
E00081914,0.8,27.6,43.3,28.3
