areacd,english_proficiency_4a-001,english_proficiency_4a-002,english_proficiency_4a-003
E00081778,96.2,3.8,0
E00081790,95.6,4.4,0
E00081791,98.8,1.3,0
E00081792,96.1,3.3,0.6
E00081793,97.6,2.4,0
E00081795,94.1,3.7,2.1
E00081796,95.3,4.7,0
E00081797,97.2,2.3,0.5
E00081798,98.3,1.3,0.3
E00081799,97.7,2.3,0
E00081801,93.3,6.2,0.5
E00081802,95.9,3.7,0.3
E00081803,96.5,3,0.4
E00081804,91.4,7.8,0.8
E00081806,95.7,4.3,0
E00081807,95.9,3.3,0.8
E00081808,87.6,10.6,1.8
E00081809,96.1,2.9,1
E00081810,95.1,3.7,1.1
E00081811,97.2,2.8,0
E00081812,96.2,3.8,0
E00081815,96.5,3.5,0
E00081816,97.8,1.1,1.1
E00081817,96.2,3.8,0
E00081818,96.6,3.1,0.3
E00081819,90.9,7.6,1.5
E00081820,83.1,13.7,3.2
E00081821,88.3,10.6,1.1
E00081822,78.9,17.3,3.8
E00081823,86.3,13.4,0.3
E00081824,96.3,3.3,0.4
E00081825,80.1,17.3,2.6
E00081826,90.5,8.2,1.3
E00081828,97.9,2.1,0
E00081830,93,6,1
E00081831,90.7,7.1,2.2
E00081832,93.3,4.9,1.7
E00081867,91.8,6.8,1.4
E00081868,96.7,3,0.3
E00081869,84.7,12.6,2.7
E00081870,94.1,5.5,0.5
E00081871,93.8,5.6,0.6
E00081881,91.3,6.9,1.8
E00081882,90.8,8.8,0.4
E00081883,89.1,8.2,2.7
E00081887,95.9,3.7,0.4
E00081888,86.6,10.7,2.7
E00081889,87.1,11.2,1.7
E00081909,86.8,11.5,1.7
E00081914,90.1,8.1,1.8
E00081915,93.6,4.1,2.2
E00081916,88,10.4,1.6
E00081917,90.6,7.1,2.3
E00081918,86,12.3,1.7
E00081920,87.1,11.6,1.3
E00081968,92.2,7.8,0
E00081969,87.4,9.9,2.8
E00081970,85.6,13.4,1.1
E00081971,86.3,12.5,1.1
E00081972,92.5,7.1,0.3
E00081973,94.2,5.8,0
E00081974,93.7,6.1,0.3
E00081975,90.6,7.6,1.8
E00081977,94.8,4.1,1.1
E00081979,88,11.8,0.3
E00081982,90.2,7.3,2.4
E00081984,92.2,7,0.8
E00081986,94.2,5,0.8
E00081987,91.3,7.1,1.6
E00081988,92.1,7.6,0.3
E00081989,87.7,10.7,1.6
E00081990,94.2,5.8,0
E00081991,90.6,8.6,0.8
E00082012,91.8,5.9,2.2
E00082013,90.7,7.4,1.9
E00082014,89.8,8.1,2.1
E00082015,90.7,8.6,0.6
E00082016,91.7,7.5,0.8
E00082017,94.5,4.3,1.2
E00082021,87.9,10.1,2
E00082022,91.8,6.9,1.3
E00082041,93.9,5.5,0.6
E00082042,97,3,0
E00082043,96.4,3.2,0.3
E00082044,94.7,5.3,0
E00082045,97.7,2.3,0
E00082046,92.3,6,1.6
E00082048,95.6,4.4,0
E00082049,90.1,8.1,1.8
E00082051,90.3,8.8,1
E00082052,97.3,2.7,0
E00082053,92.6,5.5,1.8
E00082054,88.7,10.2,1.1
E00082055,91.9,8.1,0
E00082056,94.1,5.6,0.4
E00082057,95.5,3.9,0.6
E00082058,94,5.3,0.6
E00082059,89.4,9,1.6
E00082060,90.9,7.9,1.3
E00082061,92.9,6.1,1
E00082062,91.4,7,1.6
E00082063,95.8,4.2,0
E00082064,80.2,17.6,2.2
E00082065,91.3,7.9,0.8
E00082066,92,7.4,0.6
E00082067,93.9,6.1,0
E00082068,95.4,4.6,0
E00082069,95.9,3.8,0.3
E00082070,94.9,5.1,0
E00082071,91.8,7.7,0.4
E00082072,94.2,5.4,0.3
E00082073,98,1.8,0.3
E00082074,93,5.7,1.3
E00082075,93.1,6.2,0.8
E00082076,94.7,4.2,1.1
E00082077,92.7,5,2.3
E00082078,94.5,4.9,0.7
E00082079,95,5,0
E00082080,98.1,1.6,0.3
E00082081,96.9,3.1,0
E00082082,93,6.6,0.3
E00082083,94.1,5.4,0.5
E00082084,92,7.3,0.7
E00082086,91.8,7.8,0.4
E00082087,92.6,6,1.4
E00082089,92,6.7,1.3
E00082090,96.2,3.8,0
E00082093,88.5,10.4,1.2
E00082094,81.9,17,1.2
E00082096,86.3,10.7,3.1
E00082097,82.8,15.5,1.8
E00082099,85.1,12,2.9
E00082100,92.7,7.3,0
E00082101,88.1,10.3,1.6
E00082102,96,3.6,0.4
E00082103,92.1,6.9,1
E00082104,84,14.2,1.8
E00082105,86.9,12.2,0.9
E00082106,93.2,6.2,0.7
E00082107,88.6,9.4,2
E00082108,92.9,6.4,0.7
E00082112,96.5,2.5,1
E00082116,96.1,3.9,0
E00082119,95.3,4.1,0.6
E00082120,98,2,0
E00082121,93.3,6.3,0.4
E00082122,96.2,3.2,0.6
E00083501,98.4,1.6,0
E00083503,92.1,7.3,0.6
E00083504,92.9,6,1
E00083505,90.9,8.6,0.5
E00083507,94.1,4.7,1.2
E00083508,95.6,3.7,0.7
E00083509,96.6,3.1,0.3
E00083510,95.1,4.9,0
E00083511,92.3,6.4,1.3
E00083515,93.4,5.9,0.7
E00083517,97.8,2.2,0
E00083519,94.6,5,0.3
E00083520,99.7,0.3,0
E00083521,94.6,4.4,1
E00083605,92.5,6.3,1.2
E00083606,97.9,1.8,0.3
E00083607,91.1,8.9,0
E00083608,94.3,5.7,0
