geography_code,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E00134224,77.5,3.1,19.4
E00134225,68.6,3.1,28.3
E00134226,83.9,0.8,15.3
E00134227,78,1.6,20.4
E00134228,82.7,2.2,15.1
E00134229,73,5.5,21.5
E00134230,77.1,3.2,19.8
E00134237,75.9,7.3,16.8
E00134238,71.7,7.1,21.2
E00134239,79.8,7.8,12.4
E00134240,75.6,4,20.5
E00134242,75.8,2.1,22.2
E00134243,56.9,17,26.2
E00134244,61.1,20.1,18.8
E00134245,68,4.1,27.8
E00134246,62.7,5.1,32.3
E00134247,78.7,2.5,18.8
E00134248,77.1,5.8,17.1
E00134249,79.8,4.4,15.9
E00134258,61,5.9,33.2
E00134260,49.9,4,46.2
E00134261,76.4,2.5,21
E00134262,56.8,3,40.2
E00134263,78,3.2,18.8
E00134264,68.6,0.7,30.7
E00134265,71.6,0.8,27.6
E00134266,79.2,4.6,16.2
E00134267,59,10.4,30.6
E00134268,66.1,14.3,19.6
E00134269,57.5,11.8,30.7
E00134270,68.6,8.7,22.7
E00134271,81.2,1.2,17.6
E00134272,81.8,1.7,16.4
E00134273,57.5,12.3,30.2
E00134274,70,7,23.1
E00134275,66,1.3,32.7
E00134276,50,4.5,45.5
E00134277,62.3,3.6,34.1
E00134278,80.3,5.4,14.3
E00134280,80.3,3.7,16
E00134281,81,2.9,16.1
E00134282,62.5,4.1,33.5
E00134283,51.6,3.6,44.7
E00134284,76.6,1.3,22.1
E00134287,77.5,3.5,19
E00134288,63.3,10.5,26.2
E00134289,67,2.4,30.6
E00134290,74.4,3.1,22.5
E00134291,74.5,2.2,23.4
E00134292,68.3,2.6,29
E00134293,65,3.8,31.2
E00134294,78.1,4.7,17.2
E00134295,73.4,4.4,22.2
E00134296,51.7,3.4,44.8
E00134297,62.6,14.3,23.2
E00134299,84.2,4.7,11.1
E00134300,82.4,1.3,16.3
E00134301,76.1,4,19.9
E00134302,70.1,2.3,27.7
E00134303,65.3,10.7,24.1
E00134304,67.6,13.8,18.5
E00134305,79.6,2.6,17.8
E00134306,81.1,3.2,15.7
E00134307,78.7,3.2,18.1
E00134308,62.5,1.8,35.7
E00134309,68.6,5.7,25.7
E00134310,78.4,2,19.6
E00134311,78.8,0.8,20.4
E00134312,70.8,7.5,21.7
E00134313,80.4,1.1,18.6
E00134320,87.9,2.7,9.4
E00134329,80.6,1.8,17.7
E00134330,70.5,1.7,27.8
E00134331,75.9,6.2,17.8
E00134332,80.3,2.2,17.5
E00134333,81.5,4.2,14.3
E00134334,77.7,4,18.3
E00134335,63.5,3.5,33
E00134363,75.6,1.1,23.3
E00134368,72.6,2.2,25.2
E00134383,85,2.3,12.7
E00134384,68.9,1,30
E00134385,80.9,0,19.1
E00134386,75.4,1.6,23
E00134387,83.5,0,16.5
E00134388,75.3,0.9,23.8
E00134389,76.2,2.6,21.2
E00134390,73.9,3,23.1
E00134391,81.1,4.5,14.4
E00134392,63.4,0.8,35.8
E00134393,76.5,1.9,21.6
E00134394,76.3,0.8,22.9
E00134397,79.4,5.8,14.8
E00134398,73.7,8.4,17.9
E00134399,87.4,2.7,9.9
E00134400,70.1,5.6,24.3
E00134401,70.3,4.7,25
E00134402,88.9,0.4,10.7
E00134403,83.2,2.8,14
E00134406,58.3,6.7,35
E00134407,62.4,3.4,34.2
E00134408,59.2,8.4,32.5
E00134409,69,11.8,19.2
E00134413,75.8,7,17.2
E00134414,56.5,13.5,30
E00134416,84.5,3.1,12.5
E00134417,81.1,3.4,15.5
E00134418,75.1,6.1,18.8
E00134419,71.1,2.9,26.1
E00134420,75.5,6.8,17.7
E00134421,78.3,2.1,19.6
E00134422,70.5,0.9,28.5
E00134423,77.6,0.5,22
