areacd,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E00004962,64.3,26.6,3,2,4
E00004963,50.3,33.3,11.7,1.3,3.3
E00004964,55,33.4,5.1,3.8,2.7
E00004975,49.6,27.5,4.9,7.7,10.3
E00004976,50.1,35.9,2.1,6.5,5.3
E00004977,55,31.7,8.3,4.3,0.7
E00004978,57.9,30.1,7.1,3,1.9
E00004979,46.7,32.3,6.2,9.9,4.8
E00004980,50,34.4,9.1,5.1,1.3
E00004981,54,35.5,2.4,4.7,3.3
E00004982,40.8,28.8,13.5,7.9,9
E00004983,50.4,30.3,13.1,5.1,1.1
E00004985,53.8,29.9,7.1,5.9,3.3
E00004993,45.7,32.8,9,7.8,4.7
E00004995,51.2,33.1,5.5,5.5,4.7
E00005396,61,33,2.8,0.8,2.5
E00005397,56.6,32.5,4.7,3.2,3
E00005398,59.9,26.7,7.5,3.3,2.6
E00005399,65.3,23.9,7.1,2.6,1.1
E00005400,56.4,32.9,4.4,3.6,2.7
E00005401,56.4,33.4,3.9,4.7,1.7
E00005402,62.6,27.5,5.5,3.5,0.9
E00005404,59.3,31.9,4,2.8,1.9
E00005405,46.7,34.4,9.8,5.2,4
E00005406,68.4,24.3,3.5,2.2,1.6
E00005407,55,31.2,7.2,4.3,2.3
E00005408,57.7,27.8,8.2,3.4,2.7
E00005409,55.8,32.8,4.8,4.6,2.1
E00005410,56.3,31.7,7.7,1.4,2.9
E00005411,57.9,28.4,6.6,4.2,3
E00005412,56.7,33.3,5,3.1,1.8
E00005413,53.7,31.5,4.8,5.1,5.1
E00005414,56.1,36,2.8,1.7,3.5
E00005415,49.4,37.7,6.5,4.9,1.6
E00005416,33.2,35.3,13.8,12.1,5.5
E00005417,61.1,33.9,3.2,1.5,0.3
E00005418,65.7,29.7,0.7,2.9,1
E00005419,65,26,4.4,1.6,3
E00005420,52.4,24.1,5.7,9.8,8
E00005421,56.9,32.7,3.2,3.5,3.8
E00005422,61.5,31.8,2.6,1.3,2.9
E00005423,49.4,36.4,9.4,1.6,3.4
E00005424,60.3,29.9,5,2.5,2.3
E00005425,66.3,28,2.2,2.2,1.4
E00005426,49.7,44.1,3.4,2.2,0.6
E00005427,53.9,33.7,6.5,4.5,1.4
