areacd,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E00056839,21.1,49.1,4.2,24.1,1.5
E00056840,36.3,42.8,3.9,14.8,2.3
E00056841,16.5,45.6,8.1,27.8,2
E00056842,21.2,36.6,8.8,30.8,2.6
E00056850,27.3,42.4,6.3,21,2.9
E00056851,18.5,33.3,3.6,43.5,1.1
E00056852,21.9,33.9,5.5,35.9,2.9
E00056853,17.2,49.2,5.7,27.9,0
E00056854,21.2,43.9,6.6,25.9,2.4
E00056855,36.7,43.2,2.5,17.1,0.5
E00056856,11.8,56.6,5.2,26.4,0
E00056858,17.2,50,5,24.4,3.4
E00056859,36.4,42.2,4,16,1.3
E00056861,23.2,44.3,6.1,23.2,3.1
E00056862,23.1,33.8,6.4,32.2,4.5
E00056863,18.4,44.3,9.8,25.2,2.3
E00056864,18.1,37.8,11.2,30.9,1.9
E00056865,22.8,40.1,6.3,28.3,2.5
E00056866,24.2,39.2,11.9,19.4,5.3
E00056867,15.7,51.4,6.8,24.5,1.6
E00056868,20.4,37.2,7.4,32.7,2.2
E00056869,15.9,45.6,5.6,29.8,3.2
E00056871,25.4,42.4,6.8,23.7,1.7
E00056873,15.2,48.8,7,27.3,1.6
E00056874,18.5,37.9,3.5,37.1,3
E00056875,15.6,38.4,4.6,38,3.4
E00056877,27.5,31.7,7.8,29.8,3.2
E00056904,20.7,23.4,4.5,47.2,4.1
E00056905,16.9,27.7,7.4,44.2,3.7
E00056906,30.9,46.8,4.2,13.6,4.5
E00056907,32.2,42.9,2,20.5,2.4
E00056908,18.5,45,5.3,28.5,2.6
E00056909,14.5,36.7,4.2,43,1.5
E00056910,24.3,47.6,7.6,20,0.5
E00056911,32.4,39.4,6.4,19.1,2.7
E00056912,13.6,50.6,7.4,28.4,0
E00057048,29.8,44.8,5.1,17.8,2.5
E00057049,30.7,46.4,6.1,15.7,1.2
E00057050,23.9,46.3,7.3,20.6,1.8
E00057051,16.6,42.5,7.2,31.2,2.6
E00057052,30.5,39,6.5,22.4,1.6
E00057053,27.5,46.3,2.9,20.8,2.5
E00057054,5.9,27.9,2.1,64.2,0
E00057055,26.4,45.7,6.8,19.2,1.9
E00057056,28.8,43.7,6.1,18.3,3.1
E00057057,14.9,44.3,9.8,28.4,2.6
E00057058,23.5,44.3,7.8,23.9,0.4
E00057059,31,38.5,3.1,24.3,3.1
E00057060,18,46.9,8.2,23.7,3.3
E00057062,16.5,48.2,8.8,24.1,2.4
E00057063,18.5,42.6,6,32.4,0.5
E00057064,21.6,47.8,7.3,20.4,2.9
E00057065,12.8,44.7,3.7,38.8,0
E00057066,41.2,32,6.8,18,2
E00057067,17.3,40.4,6.4,34.3,1.7
E00057068,26.2,43.4,6.3,22.6,1.4
E00057069,11,50.4,2.8,34.3,1.6
E00057070,18.3,42.5,9.9,29,0.4
E00057071,38.6,30.7,7.9,18.6,4.2
E00057072,23,41.6,6.8,26.1,2.5
E00057073,16.5,30.6,7,40.9,5
E00057074,34.6,43.1,4.8,16,1.6
E00057075,10.6,36.4,5.7,45.1,2.3
E00057076,25,54,2.5,16.3,2.2
E00057077,14.4,40.3,3.7,37.5,4.2
E00057078,14,38.3,7.3,39.4,1
E00057079,23,42.9,6.5,27.6,0
E00057080,27.5,48.3,5.7,17.1,1.4
E00057081,25.4,46.5,4.3,20.3,3.5
E00057082,32.8,41.8,5,18.4,2
E00057083,33.5,41.2,4.9,17,3.3
E00057084,14.9,45.2,3.7,33.5,2.7
E00057085,24,42.1,3.2,27.1,3.6
E00057086,22.3,44.2,5.3,24.3,3.9
E00057087,19.1,39.7,9.3,30,1.9
E00057088,29.1,38.9,3.6,24.7,3.6
E00057089,31.7,40.1,7.9,17.3,3
E00057090,24.2,33.6,7.1,33.6,1.4
E00057091,24.6,34.8,9.8,27.3,3.5
E00057092,31.3,42.7,4.8,19.7,1.5
E00057093,39.1,38.3,6.5,14.3,1.7
E00057094,21.6,34.7,10.2,30.1,3.4
E00057095,22.7,42.4,9.1,22.7,3
E00057096,33,46.4,6,12.4,2.1
E00057097,32.7,39.1,5.2,19.4,3.6
E00057098,27.3,46.4,10.4,15.3,0.5
E00057099,21.2,36.8,9,29.7,3.3
E00057100,20,34,8.5,34,3.5
E00057101,15.6,44.6,11.3,26.8,1.7
E00057102,30.1,43.4,5.1,18.9,2.6
E00057103,11.1,53.2,8.9,24.2,2.6
E00057104,32,37.5,5.8,19.7,5
E00057105,4.3,43.1,5.3,47.4,0
E00057106,31.1,42.9,4,19.2,2.8
E00057107,26.5,34.9,5.1,30.7,2.8
E00057108,28.1,40.9,8.9,20.7,1.5
E00057109,31.1,44.3,4.9,17.4,2.3
E00057110,24.8,41.9,5.7,25.5,2
E00057111,21,44.6,6.6,25.8,1.8
E00057112,31.4,46,6.7,13.4,2.5
E00057113,5.8,46.6,5.4,39.5,2.7
E00057114,21.9,45.1,3.4,29.5,0
