areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00056839,34.3,49,15.2,1.5
E00056840,51.6,34,10.7,3.8
E00056841,22.5,53.5,17.8,6.2
E00056842,9.4,45.7,33.9,11
E00056850,41.2,36.1,20.2,2.5
E00056851,30.9,50,13.2,5.9
E00056852,32.7,44.7,17.6,5
E00056853,29.4,45.6,21.3,3.7
E00056854,27.9,50.8,18,3.3
E00056855,49.2,32,16.4,2.5
E00056856,33.9,48.7,14.8,2.6
E00056858,20.5,59.1,18.9,1.5
E00056859,60.2,19.5,19.5,0.8
E00056861,26.9,43.8,19.2,10
E00056862,21.2,53.8,21.7,3.3
E00056863,31,40.4,23.4,5.3
E00056864,20.8,43.8,27.1,8.3
E00056865,22.1,47.3,26.7,3.8
E00056866,15,45.8,34.2,5
E00056867,19.7,42.6,27.9,9.8
E00056868,14.9,51.1,25.5,8.5
E00056869,21.2,46.4,25.2,7.3
E00056871,44.2,45.2,9.6,1
E00056873,10.2,55.5,26.6,7.8
E00056874,48.7,41.7,8.8,0.9
E00056875,56.1,30.9,10.1,2.9
E00056877,20.8,39.6,30.7,8.9
E00056904,18.6,50.4,24.8,6.2
E00056905,33.8,50,12.7,3.5
E00056906,58.3,28.8,8.6,4.3
E00056907,54.4,33.1,10.3,2.2
E00056908,48.1,32.7,17.3,1.9
E00056909,23.3,46.5,27.9,2.3
E00056910,47.4,37.1,12.9,2.6
E00056911,54.1,33.9,11,0.9
E00056912,32.1,46.3,17.9,3.7
E00057048,33.1,45.9,15.9,5.1
E00057049,37.1,42.4,15.3,5.3
E00057050,35,43.8,19.7,1.5
E00057051,20.7,50.7,23.8,4.8
E00057052,34.3,48.3,15.4,2.1
E00057053,43.4,33.3,17.1,6.2
E00057054,8.4,50.8,32.4,8.4
E00057055,31.6,46.3,15.4,6.6
E00057056,35.6,47.4,13.3,3.7
E00057057,20.7,49.5,24.3,5.4
E00057058,32.5,35.9,23.9,7.7
E00057059,34.1,44.4,17.8,3.7
E00057060,10,45.5,34.5,10
E00057062,24.6,51.5,18.5,5.4
E00057063,18.8,41.9,32.5,6.8
E00057064,41.5,43.7,13.3,1.5
E00057065,32.5,46.2,16.2,5.1
E00057066,47.2,41.6,6.8,4.3
E00057067,28.9,48,20.4,2.7
E00057068,41.8,42.6,13.1,2.5
E00057069,38.4,42.8,11.6,7.2
E00057070,27.2,56.5,13.6,2.7
E00057071,46.6,43.8,8.9,0.7
E00057072,34,39.4,24.5,2.1
E00057073,7,49.6,35.7,7.8
E00057074,43.1,43.9,12.2,0.8
E00057075,8.3,49.2,32.6,9.8
E00057076,53.8,30.1,11.9,4.2
E00057077,14.5,60.5,20.2,4.8
E00057078,24.8,44.2,28.3,2.7
E00057079,26.2,48.4,23,2.4
E00057080,35.5,47.9,15.7,0.8
E00057081,32.5,47.6,19,0.8
E00057082,31.2,45.9,19.3,3.7
E00057083,49.1,39.7,7.8,3.4
E00057084,15.6,66.4,16.4,1.6
E00057085,57.4,31.9,9.2,1.4
E00057086,21.1,45,26.6,7.3
E00057087,20.8,42.3,28.5,8.5
E00057088,50,33.6,13.3,3.1
E00057089,38.2,47.2,12.2,2.4
E00057090,38.1,46.3,12.7,3
E00057091,27.2,51,18.4,3.4
E00057092,47.1,33.9,14.4,4.6
E00057093,49,37.9,11.7,1.4
E00057094,15,48.3,26.7,10
E00057095,41.5,36.4,16.9,5.1
E00057096,52.1,34.3,11.4,2.1
E00057097,39.2,40.5,17,3.3
E00057098,40,44.3,13.9,1.7
E00057099,30.2,48.1,18.6,3.1
E00057100,27,46.8,16.2,9.9
E00057101,5.2,44.3,38.3,12.2
E00057102,30.6,41.4,21.6,6.3
E00057103,13.6,39.8,36.4,10.2
E00057104,50.6,35.4,9.8,4.3
E00057105,29.6,43.5,21.3,5.6
E00057106,50.4,36.3,12.4,0.9
E00057107,23.5,47.9,21.8,6.7
E00057108,19.6,44.6,30.4,5.4
E00057109,34.8,47.3,14.3,3.6
E00057110,43.7,33.3,15.5,7.5
E00057111,26.6,39.2,28,6.3
E00057112,65.4,22.2,9.2,3.3
E00057113,33.6,42,18.3,6.1
E00057114,32.5,45.2,18.3,4
E00057115,44.2,41.6,12.4,1.8
E00057116,16.1,39.6,31.5,12.8
E00057117,21.4,49.1,23.2,6.3
E00057118,28.3,44.9,18.1,8.7
E00057119,28.9,36.8,26.3,7.9
E00057120,53.6,37.3,7.3,1.8
E00057121,40.5,47.7,8.1,3.6
E00057122,49.1,40,8.5,2.4
E00057123,21.4,49.1,25.9,3.6
E00057340,20.8,44.2,30,5
E00057344,14.6,52.8,24.4,8.1
E00057345,38.5,42.7,15.4,3.4
E00057346,31.3,46.5,20.1,2.1
E00057347,28.6,44.9,25.5,1
E00057348,25.8,58.3,15.9,0
E00057377,22,47.7,25,5.3
E00057382,11.6,45.3,35.9,7.2
E00057383,29.7,44.1,19.8,6.3
E00057385,36.1,48.1,12.8,3
E00057386,13.6,52.5,32.2,1.7
E00057387,27,61.1,11.1,0.8
E00057388,23.3,62.8,12.4,1.6
E00057389,21,54.8,19.4,4.8
E00057390,14.1,45.2,34.1,6.7
E00057391,26.4,41.3,24.8,7.4
E00057392,16,41.2,32.8,10.1
E00057394,32.9,43.6,20.7,2.9
E00057395,17.3,41.7,36.2,4.7
E00057396,9.9,44,35.5,10.6
E00057397,17.9,47,26.9,8.2
E00057398,16.1,44.4,33.9,5.6
E00057400,2.7,38.8,48.1,10.4
E00057402,33.7,45.9,15.3,5.1
E00057403,13.7,43.6,34.8,7.8
E00057404,38.9,38.1,18.6,4.4
E00057405,20.7,46.7,26.7,5.9
E00057406,5.6,32.2,45.5,16.8
E00057407,35.5,40.2,19.6,4.7
E00057635,29.9,34,24.7,11.3
E00057637,42.7,22.7,20.7,14
E00057682,29.9,37.3,23.1,9.7
E00057684,21.4,35.7,26.8,16.1
E00057686,31.5,25.4,20.8,22.3
E00057687,40.4,31.6,8.8,19.3
E00057689,28.2,38.9,21.4,11.5
E00057690,36.2,33.1,16.5,14.2
E00057695,32.5,22.9,26.5,18.1
E00057698,22.7,43,25,9.4
E00057710,5.9,35.3,43.4,15.4
E00057711,7.7,42.7,44.8,4.9
E00057712,7.4,34.7,45.5,12.4
E00057714,23.2,50.4,22.4,4
E00057715,9.7,44.2,40.7,5.3
E00057716,12,40.1,35.2,12.7
E00057717,20.8,49.2,23.1,6.9
E00057718,19.9,48.6,26,5.5
E00057719,12,45.9,33.1,9
E00057720,26.7,49.6,20.7,3
E00057721,9.2,51.8,32.6,6.4
E00057722,12.3,40.9,38.3,8.4
E00057723,9,44.9,39.7,6.4
E00057724,13.4,47,29.9,9.7
E00057725,12.3,53.1,28.5,6.2
