geography_code,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E00089297,20.6,39.1,5,30.3,5
E00089298,9.4,35.4,5.8,45.5,4
E00089299,9.8,34.3,4.5,48.6,2.8
E00089300,13.5,41.3,0,44.2,1
E00089399,11.6,45.2,6.2,34.2,2.7
E00089408,8,39.3,3.1,49.7,0
E00089410,16.5,38.9,5.3,38.2,1
E00138679,8.7,39.3,6.4,45.7,0
E00138692,33.3,38.9,9.3,15.2,3.3
E00138696,20.8,38.3,4.9,33.3,2.7
E00138697,15,45.8,7.2,27.4,4.7
E00138698,9,39.4,7.2,43,1.4
E00138699,18.7,49.6,5.7,23.7,2.3
E00138700,13,45.6,5.4,34.9,1.1
E00138701,18.7,38.6,6.8,31.9,4
E00138702,16.2,45.7,7.3,29.5,1.3
E00138703,17.6,40.2,8.3,31.4,2.5
E00138704,23.8,44.6,4,27.2,0.5
E00138705,15.9,41.8,3.6,35.5,3.2
E00138706,12.6,46.9,5.1,31.9,3.5
E00138707,9.6,42.8,6,38.8,2.8
E00138708,25.3,50.2,5.1,17.2,2.2
E00138709,28.2,43.6,4.8,21.3,2.1
E00138710,16.3,44.5,4.9,32.7,1.5
E00138711,18.1,49.4,5.6,24.1,2.8
E00138712,17.7,42,6.6,30.5,3.1
E00138713,25,42.1,2.8,28.2,1.9
E00138714,15.3,45.4,6.4,30.5,2.4
E00138715,16.3,50,5,25,3.8
E00138716,32.5,45.5,2.6,17.3,2.2
E00138717,11.7,38.6,5.7,38.9,5
E00138718,15.3,40.4,6.3,34.4,3.6
E00138719,14,52.9,4.1,28.5,0.5
E00138720,13.4,42.5,8.4,33.1,2.7
E00138721,6.7,49.5,5.8,38,0
E00138722,22.6,38.1,6.5,29.7,3.1
E00138723,12.6,51.1,6.1,26.7,3.4
E00138724,8.8,52.5,5,33.7,0
E00138725,11.8,48.1,5.3,32.4,2.3
E00138726,11.7,50,5.7,30.7,1.9
E00138727,11.4,48.9,5.5,33.3,0.9
E00138728,8.3,47.2,4.1,37.6,2.8
E00138729,7.9,47.3,4.8,39.4,0.6
E00138730,6.2,49.5,4.7,38.2,1.5
E00138731,12.9,45.8,5.6,31.3,4.4
E00138732,12,41.6,8.1,34.9,3.3
E00138733,11.2,44.4,8.3,35.6,0.5
E00138819,13.3,38.2,5.8,39.8,2.9
E00138820,10.2,38.5,4.4,45.1,1.8
E00138821,21.5,42.7,5.5,28.3,2
E00138822,27.2,45.5,5.5,18.3,3.4
E00138823,17.3,48.2,4.3,27.8,2.4
E00138824,16.8,41.6,5.3,33.6,2.7
E00138825,8.4,39.3,4.8,46.2,1.3
E00138833,12.7,37.7,4.5,45.1,0
E00138834,15,38.6,3.3,40.2,2.9
E00138835,59.4,15.7,4.3,17,3.6
E00138836,11.2,35.7,4.7,44,4.3
E00138837,11.8,41.1,5,38.2,3.9
E00138838,9.8,37.7,4.5,41.8,6.1
E00138839,6.4,42.5,3.8,45.5,1.9
E00138869,6.7,42.7,1.7,47.2,1.7
E00138870,13.2,48.9,4.5,31.9,1.6
E00144833,8.3,35,5,49.2,2.5
E00144834,9.9,39.5,4.7,41.9,4
