geography_code,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E00089297,37.1,29.5,19.7,13.6
E00089298,16.9,47.1,19.1,16.9
E00089299,17,38.8,19.7,24.5
E00089300,28.8,30.8,13.5,26.9
E00089399,25.4,37.3,16.4,20.9
E00089408,17.9,48.7,15.4,17.9
E00089410,27.7,36.4,14.4,21.5
E00138679,22.3,40.8,18.4,18.4
E00138692,34.8,44,5,16.3
E00138696,21.8,42,16.8,19.3
E00138697,34.5,28.6,16.1,20.8
E00138698,30,40.8,14.2,15
E00138699,20.9,41.1,20.2,17.8
E00138700,26,38.2,10.7,25.2
E00138701,44.6,35.1,10.1,10.1
E00138702,23.2,40,18.4,18.4
E00138703,30,45.5,10,14.5
E00138704,28.9,40.5,20.7,9.9
E00138705,48.4,31.4,12.6,7.5
E00138706,24.8,39.5,17.1,18.6
E00138707,43.2,36.3,11.6,8.9
E00138708,21.2,33.3,12.1,33.3
E00138709,64,23,5,7.9
E00138710,36.1,38.1,13.6,12.2
E00138711,25,35.2,14.1,25.8
E00138712,28.6,31.9,22.7,16.8
E00138713,60.1,22.4,9.1,8.4
E00138714,19,39.7,23.3,18.1
E00138715,24.8,37.2,19.8,18.2
E00138716,26.8,39,16.3,17.9
E00138717,26.1,44.1,14.9,14.9
E00138718,42.9,28.3,15.1,13.7
E00138719,24.8,44,15.6,15.6
E00138720,26.5,44.5,16.1,12.9
E00138721,7.9,34.8,13.5,43.8
E00138722,31.4,29.3,20.7,18.6
E00138723,11.5,38.5,27,23
E00138724,22,37.8,9.4,30.7
E00138725,21.7,33.3,25.6,19.4
E00138726,15.2,30.4,23.2,31.3
E00138727,31.9,36.1,15.1,16.8
E00138728,33.9,30.6,16.5,19
E00138729,11.9,33.6,23.1,31.5
E00138730,11.3,41.1,22.6,25
E00138731,20.6,38.2,22.9,18.3
E00138732,14.6,42.7,16.7,26
E00138733,21.6,30.9,20.6,26.8
E00138819,23,49.2,12.7,15.1
