geography_code,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E00084364,12.1,14,67.8,6.1
E00084380,8.6,13.3,71.9,6.3
E00084381,9,15.8,63.3,11.9
E00084382,8.6,15.1,63.2,13.2
E00084383,12.7,11,69.9,6.4
E00084384,6.7,18.8,69.1,5.4
E00084390,7.6,22.9,61.8,7.6
E00084568,7.1,20.1,61.7,11
E00084569,7.4,17.2,60.1,15.3
E00084570,7.8,17.7,63.8,10.6
E00084571,12.8,19.2,52.6,15.4
E00084572,8.5,15.2,62.4,13.9
E00084573,9,17.2,63.4,10.3
E00084575,8.7,20.2,64.4,6.7
E00084576,6.9,19.1,67.2,6.9
E00084577,11.9,11.3,64.2,12.6
E00084578,9.5,20.4,51,19.1
E00084579,9.9,21.2,59.6,9.3
E00084580,8.8,14.3,68,8.8
E00084582,10.5,19.1,62.5,7.9
E00084583,10.5,20.4,60.5,8.6
E00084584,14.6,20.4,59.2,5.7
E00084585,11.5,13.4,61.8,13.4
E00084586,10.6,22.4,56.5,10.6
E00084587,10.1,24.3,60.1,5.4
E00084588,9.1,21.7,60,9.1
E00084589,14.9,15.5,60.7,8.9
E00084590,8.1,12.2,74.8,4.9
E00084591,12.4,17.4,57.3,12.9
E00084592,12.3,18.4,60.7,8.6
E00084593,8.6,15.7,62.9,12.9
E00084594,5.4,18.1,66.4,10.1
E00084595,8.3,16.1,63,12.5
E00084596,11.7,20,57.9,10.3
E00084597,10.2,17.8,58.6,13.4
E00084598,10.3,15.9,64.5,9.3
E00084599,20,9.1,61.8,9.1
E00084600,8.1,16.2,62.2,13.5
E00084601,8.2,17.1,63,11.6
E00084602,8.2,13.4,66.4,11.9
E00084603,7.9,22.2,67.5,2.4
E00084604,14.4,16.2,55.9,13.5
E00084605,11.3,15.5,66.1,7.1
E00084606,8.7,16.5,61.4,13.4
E00084607,8,15.3,66.9,9.8
E00084608,9.3,13.6,69.3,7.9
E00084609,10.4,19.5,59.8,10.4
E00084610,13.1,17.1,65.7,4
E00084611,9.6,19.8,62.7,7.9
E00084612,9,15.9,67.7,7.4
E00084613,9,16.3,69.3,5.4
E00084615,7.6,20.5,63.2,8.8
E00084616,8.6,14.6,64.2,12.6
E00084617,12.1,12.6,65.2,10.1
E00084618,6.6,17.6,64.3,11.5
E00084619,11.8,19.8,55.6,12.8
E00084620,9.8,18,62.8,9.3
E00084621,5.6,19.9,69.6,5
E00084622,6.9,16.9,68.1,8.1
E00084623,0,26.2,68.9,4.9
E00084626,10.1,21.2,55.6,13.1
E00084627,7.3,22.7,59.1,10.9
E00084628,12.3,20.1,56.5,11
E00084629,7.7,16.8,67.9,7.7
E00084630,6.6,13.9,66.3,13.3
E00084631,7.2,18.6,58.1,16.2
E00084632,9.2,17,62.7,11.1
E00084633,6.2,16.8,63.7,13.3
E00084635,8.6,17.2,60.2,14
E00084691,11,12.9,69.7,6.5
E00084692,17.5,21.4,57.3,3.9
E00084693,7.6,15.3,68.8,8.3
E00084694,7.8,14,70.5,7.8
E00084695,9.4,15.6,60.9,14.1
E00084696,9.4,13.1,69.1,8.4
E00084697,9.7,18.3,65.1,6.9
E00084698,9.8,19.5,57.9,12.8
E00084699,9.6,19.2,62.9,8.4
E00084700,11.3,16.1,61.3,11.3
E00084701,14.1,15.6,60.7,9.6
E00084702,10.4,13.1,66.1,10.4
E00084703,7.3,19.4,66.9,6.5
E00084704,5.3,18.3,68,8.3
E00084705,10.3,21.4,61.9,6.3
E00084706,6.3,16.2,63.1,14.4
E00084707,10,14.6,60.8,14.6
E00084708,10.7,19.6,60.1,9.5
E00084709,9.4,15,65,10.6
E00084710,8.3,21.7,61.1,8.9
E00084711,14.6,20.4,55.5,9.5
E00084712,7.7,13.3,75,4.1
E00084713,6.5,18.9,68.6,5.9
E00084715,4.4,27.5,60.4,7.7
E00084716,6,25.3,60.2,8.4
E00084717,8.2,18.7,67.3,5.8
E00084718,13.4,18.9,61,6.7
E00084719,11.4,16,60,12.6
E00084720,12.9,20.4,58.5,8.2
E00084721,9.4,17.4,65.9,7.2
E00084722,11,15.7,67,6.3
E00084723,13.7,17.6,55.7,13
E00084724,6.6,17.5,67.8,8.2
E00084725,8.1,16.8,67.7,7.5
E00084726,8.6,18.4,60.3,12.6
E00084727,8.4,15.1,65.1,11.4
E00084728,5.3,10.6,70.5,13.6
E00084729,13.8,13.8,63.2,9.2
E00084730,10.2,17.7,66.7,5.4
E00084731,13.4,13.9,62,10.7
E00084732,9.3,14.7,65.9,10
E00084733,13.8,15.6,57.5,13.1
E00084734,7.5,18.4,66,8
E00084735,6.2,17.3,66,10.5
E00084736,11.2,17.6,58.5,12.8
E00084737,9.9,18.2,60.8,11
E00084745,11.7,16.6,57.1,14.7
E00084746,6.3,20.8,58.3,14.6
E00084747,14.9,16.2,59.5,9.5
E00084748,11.5,20.1,59.2,9.2
E00084751,12.8,17.3,57.7,12.2
E00084752,10.5,19.4,59.7,10.5
E00084756,7.7,18,58.8,15.4
E00084757,12.5,21.3,53.8,12.5
E00084758,8.4,21.3,60,10.3
E00084760,11.4,20.3,53.2,15.2
E00084763,14.4,21.2,50,14.4
E00084764,12.5,18.3,60,9.2
E00084765,13.4,21,52.1,13.4
E00084766,9.4,18.8,46.1,25.8
