geography_code,disability_3a-001,disability_3a-002
E00070587,24.4,75.6
E00070588,16.1,83.9
E00070589,36.4,63.6
E00070590,23,77
E00070591,15.3,84.7
E00070592,22.4,77.6
E00070593,27.9,72.1
E00070594,16.4,83.6
E00070595,18.4,81.6
E00070596,17.3,82.7
E00070597,20.5,79.5
E00070598,34.5,65.5
E00070599,16.6,83.4
E00070600,14.2,85.8
E00070601,21.3,78.7
E00070602,18.5,81.5
E00070603,23.3,76.7
E00070604,13.8,86.2
E00070605,28.7,71.3
E00070606,14.9,85.1
E00070607,24.2,75.8
E00070608,15.2,84.8
E00070614,23.1,76.9
E00070617,17.6,82.4
E00070618,22.4,77.6
E00070619,14.9,85.1
E00070661,22.8,77.2
E00070663,24.9,75.1
E00070664,20.3,79.8
E00070665,17.3,82.7
E00070667,24.8,75.2
E00070668,16.8,83.2
E00070669,15.6,84.4
E00070670,17.1,82.9
E00070673,15,85
E00070674,25,75
E00070675,27.3,72.7
E00070676,27.1,72.9
E00070678,15.2,84.8
E00070680,25.9,74.1
E00070681,20.3,79.7
E00070682,28.7,71.3
E00070684,16.9,83.1
E00070685,28.5,71.5
E00070686,22,78
E00070687,20.1,79.9
E00070688,14.6,85.4
E00070689,27,73
E00070691,25.5,74.5
E00070692,15.5,84.5
E00070693,19.4,80.6
E00070694,23,77
E00070695,16,84
E00070696,15.3,84.7
E00070697,20.8,79.2
E00070698,28.9,71.1
E00070699,12.3,87.7
E00070700,16.8,83.2
E00070701,15.2,84.8
E00070702,11,89
E00070703,12.2,87.8
E00070706,16.7,83.3
E00070720,26.2,73.8
E00070721,27.7,72.3
E00070724,16.6,83.4
E00070726,13.6,86.4
E00070727,23.7,76.3
E00070728,20.9,79.1
E00070729,18.8,81.3
E00070730,18.7,81.3
E00070731,13.1,86.9
E00070732,18.7,81.3
E00070733,14.2,85.8
E00070735,15.8,84.2
E00070736,16.2,83.8
E00070737,19.3,80.7
E00070738,18.9,81.1
E00070739,32.3,67.7
E00070740,24.8,75.2
E00070742,15.4,84.6
E00070744,12.7,87.3
