geography_code,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E06000001,9.1,22.6,58.8,9.5
E06000002,10.1,23.6,57.7,8.6
E06000003,9.4,23,57.4,10.2
E06000004,8.8,20.9,60.2,10.1
E06000005,8.5,19.9,61.9,9.7
E06000006,7.9,18.8,64.5,8.8
E06000007,8.9,18.2,63.5,9.4
E06000008,9.2,23.1,60.9,6.7
E06000009,10.5,22.6,58.4,8.6
E06000010,8,21.4,62.1,8.5
E06000011,10.2,20.6,56.3,12.9
E06000012,9.6,22.1,56.5,11.8
E06000013,9.3,19.8,59.4,11.5
E06000014,12.5,21.4,56.9,9.2
E06000015,9.4,20.8,62,7.8
E06000016,10.7,23.7,59.5,6.1
E06000017,11.6,18.9,53.6,16
E06000018,11.7,21.6,59.1,7.6
E06000019,11.1,21.2,53.9,13.7
E06000020,8.4,18.1,63.4,10.1
E06000021,8.2,20.4,62.9,8.5
E06000022,13.4,21,55.2,10.4
E06000023,10.4,19.4,61.7,8.6
E06000024,10.9,21.2,57.1,10.8
E06000025,9.6,20,61.2,9.1
E06000026,9.9,21.6,59.2,9.3
E06000027,11.8,24.1,54.4,9.7
E06000030,8.1,17.5,65.8,8.5
E06000031,8.7,19.2,62.3,9.8
E06000032,10.6,20.8,59.8,8.8
E06000033,11.4,19.5,58.2,10.9
E06000034,9.2,17.6,61.7,11.5
E06000035,9.6,18.2,60.3,11.9
E06000036,8.9,16,63.3,11.7
E06000037,10.3,16.8,60.5,12.4
E06000038,9.8,15.7,65.2,9.3
E06000039,10.2,18.3,62.9,8.6
E06000040,10.6,15.8,58.6,15.1
E06000041,10.2,15.7,62.2,11.9
E06000042,8.6,16.9,64.8,9.7
E06000043,13.2,20.7,56.8,9.3
E06000044,11,20.2,59.1,9.7
E06000045,10.5,19.5,60.2,9.8
E06000046,12.5,25.2,53.1,9.2
E06000047,9,19.6,61.7,9.8
E06000049,10.3,18.6,59.4,11.8
E06000050,10.2,19.4,59.8,10.6
E06000051,10.7,20.8,55,13.5
E06000052,12.3,23.4,52.7,11.6
E06000053,12,19,53.6,15.4
E06000054,10.6,19,58.2,12.2
E06000055,9.7,17.6,61.6,11.1
E06000056,9.7,17.1,61.5,11.7
E06000057,10.1,21.4,57.1,11.4
E06000058,11.8,20.7,57.8,9.6
E06000059,12.8,22,53.1,12.1
E06000060,11.2,17.4,57.8,13.6
E06000061,8.5,17.6,62.6,11.3
E06000062,9,17.4,62.3,11.3
E07000008,11.1,15.5,61.9,11.6
E07000009,9.9,18.2,59.2,12.7
E07000010,9,18.2,60,12.8
E07000011,9.3,17.2,61.9,11.6
E07000012,10,17.7,60.7,11.7
E07000026,10.1,21.6,57.2,11
E07000027,8.5,21.1,63.7,6.6
E07000028,9.8,22.2,56.6,11.3
E07000029,8.3,19.2,64.5,8
E07000030,12.5,20.7,49.2,17.6
E07000031,13.2,21.5,53.2,12
E07000032,9.8,19.6,59.9,10.7
E07000033,8.2,19.7,61.4,10.7
E07000034,9.7,21.8,59.1,9.4
E07000035,13.2,21.7,50.1,15.1
E07000036,9.2,19.4,62,9.4
E07000037,10.5,20.8,57.8,10.9
E07000038,9.9,21.6,57.6,10.9
E07000039,8.6,18,61.4,12
E07000040,12.5,22.8,52.7,12
E07000041,12.4,20.8,58,8.8
E07000042,11.4,21.8,53.5,13.3
E07000043,12.5,23.5,52.3,11.7
E07000044,14.5,23.3,49.5,12.8
E07000045,11.7,23,54.1,11.2
E07000046,12.8,24.4,49,13.8
E07000047,13.4,22.4,49.8,14.5
E07000061,11.9,22.1,56.6,9.4
E07000062,11.6,23.2,55.7,9.6
E07000063,13.3,22.3,53.8,10.6
E07000064,13.7,22.2,51.8,12.3
E07000065,13.4,20.7,53,12.9
E07000066,10.2,17.9,60.4,11.5
E07000067,11.3,18.8,57.3,12.6
E07000068,11.1,16.3,57.4,15.2
E07000069,11.2,19.7,57.5,11.6
E07000070,10.8,18,58.8,12.5
E07000071,11.2,19.7,57.1,11.9
E07000072,11.9,18,56.3,13.9
E07000073,9.5,18.5,62.2,9.7
E07000074,13,19.3,54.1,13.6
E07000075,11.8,18.8,57.1,12.2
E07000076,11.9,22.7,53.4,12
E07000077,12.4,18.4,54.8,14.4
E07000078,10.9,19.8,60.1,9.2
E07000079,13.2,19,53.5,14.3
E07000080,11.7,20.6,55.8,11.8
E07000081,9.1,20.7,61.8,8.4
E07000082,12.1,21,56.3,10.7
E07000083,9.8,19.9,60,10.4
E07000084,9,15.9,64.1,11
E07000085,11.8,18.8,56.2,13.2
E07000086,9.9,19.6,59.8,10.7
E07000087,10.2,19.1,59.7,10.9
E07000088,9.3,19.8,60.1,10.7
E07000089,10.5,16.7,59,13.8
E07000090,10.5,21.3,58,10.2
E07000091,12.9,21.1,54.2,11.9
E07000092,8.6,16.4,64.4,10.6
E07000093,10,18.2,59.5,12.3
E07000094,12.5,18.7,54.4,14.3
E07000095,10.6,18.9,59.6,10.9
E07000096,10.9,18.1,58.4,12.6
E07000098,12.3,18.2,56.3,13.3
E07000099,10.3,17.8,60.3,11.6
E07000102,11,17.7,57.6,13.7
E07000103,9.6,17.5,62.2,10.8
E07000105,10.6,18.6,57.7,13.1
E07000106,13.9,20.9,53.4,11.7
E07000107,8.9,16.9,63.1,11.2
E07000108,11.1,20.7,56,12.3
E07000109,9.8,19,58.8,12.4
E07000110,10.1,18,58.7,13.2
E07000111,11.7,18.1,55,15.1
E07000112,11.3,20.4,56.7,11.6
E07000113,9.6,18.6,58.6,13.2
E07000114,11.6,22.5,55.1,10.8
E07000115,10.7,18.1,57.6,13.7
E07000116,11.5,18.3,55.7,14.5
E07000117,8.4,21.2,63.4,7
E07000118,8.9,18.6,61.7,10.8
E07000119,11.3,19.7,58.3,10.7
E07000120,8.1,19.9,64,8
E07000121,12.2,22,55.2,10.6
E07000122,9.9,22.4,59.7,8
E07000123,10.4,21.4,60.1,8.1
E07000124,10.3,18.3,57.9,13.6
E07000125,8.8,19.5,61.3,10.4
E07000126,8.4,18.4,63.3,9.9
E07000127,10.9,19.6,58.4,11.1
E07000128,10.6,21.6,56.5,11.3
E07000129,9,19.3,61.6,10.1
E07000130,10.5,19.6,59.8,10
E07000131,10.7,18.7,57.3,13.3
E07000132,9,18.9,61.1,11
E07000133,10.8,19.5,56.1,13.6
