geography_code,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E06000001,96,2.3,0.6,0.6,0.5
E06000002,87.7,5.5,2,1.8,2.9
E06000003,97.1,1.9,0.3,0.4,0.3
E06000004,93.8,3.8,1,0.8,0.6
E06000005,92.2,4.4,1.5,1.2,0.7
E06000006,95.2,2.4,0.9,0.8,0.7
E06000007,90.6,4.9,2,1.4,1.1
E06000008,81.9,11.5,2.5,2.2,1.9
E06000009,92.1,4.5,1.4,1,1.1
E06000010,86.9,5.7,3.3,2.3,1.8
E06000011,95,3.2,0.8,0.5,0.4
E06000012,93.4,3.4,1.3,1,0.9
E06000013,90.6,5,2,1.4,1
E06000014,89.2,5.2,1.8,1.6,2.3
E06000015,80.4,11.3,3.5,2.7,2.1
E06000016,58.9,22.8,7.6,5.7,5
E06000017,91.7,5.2,1.3,0.8,0.9
E06000018,75.4,11.9,4.8,3.7,4.2
E06000019,91.4,5,1.7,1,0.9
E06000020,88.6,5.9,2.3,1.9,1.3
E06000021,86.9,6.4,2.7,2.4,1.7
E06000022,87.9,6,2.1,1.7,2.2
E06000023,81.2,9.6,3.6,2.9,2.7
E06000024,91.6,5,1.6,1.1,0.7
E06000025,89.4,5.6,2.1,1.5,1.3
E06000026,90.8,5.2,1.7,1.1,1.1
E06000027,92.9,4.7,1.1,0.7,0.7
E06000030,79.6,10.4,4.2,3.5,2.4
E06000031,71.8,15.4,6.2,3.9,2.7
E06000032,61.6,22.1,6.5,5.3,4.5
E06000033,87.5,8.3,1.9,1.3,1
E06000034,79,12.9,4.3,2.3,1.5
E06000035,86.2,9,2.3,1.4,1.2
E06000036,82.6,10.7,3,2.1,1.6
E06000037,88,7.3,2,1.5,1.2
E06000038,66.5,15.4,6.6,6,5.5
E06000039,56,28.2,6.9,5,4
E06000040,78.3,13.4,3.4,2.7,2.1
E06000041,81.1,11.8,3.1,2.2,1.8
E06000042,74.3,14.7,5,3.5,2.5
E06000043,80.4,10.3,3.5,3,2.9
E06000044,83.1,8.5,3.2,2.5,2.7
E06000045,75.9,11.6,4.7,3.8,4.1
E06000046,93.9,4.3,0.7,0.6,0.6
E06000047,95.6,2.4,0.6,0.5,0.8
E06000049,91.7,4.5,1.6,1.2,1
E06000050,92.7,4.1,1.3,1,0.9
E06000051,94.1,3.4,1,0.7,0.8
E06000052,94.7,3.5,0.8,0.5,0.5
E06000053,94.3,2.7,1,0.9,1.1
E06000054,90.1,6.4,1.5,1.1,0.9
E06000055,78.6,13,3.8,2.6,1.9
E06000056,89,7,1.9,1.1,1
E06000057,96.5,2.5,0.4,0.3,0.3
E06000058,84.5,8.4,3.1,2.2,1.8
E06000059,93.5,4.7,0.8,0.5,0.5
