geography_code,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E06000001,76.4,15.6,8
E06000002,78.9,13.8,7.3
E06000003,76.5,15.8,7.6
E06000004,79.9,13.9,6.3
E06000005,79.8,14.3,5.9
E06000006,78.2,14.1,7.7
E06000007,82.8,12.1,5
E06000008,80.1,13.3,6.6
E06000009,73.9,17,9.1
E06000010,78.2,14.9,6.8
E06000011,80.3,14.4,5.4
E06000012,78.1,15.4,6.5
E06000013,78.8,15.1,6
E06000014,83.6,12.1,4.2
E06000015,80.5,13.7,5.8
E06000016,82.2,12.5,5.2
E06000017,84.6,11.9,3.5
E06000018,81,12.9,6
E06000019,80.8,13.9,5.2
E06000020,80,13.8,6.1
E06000021,77.8,14.8,7.4
E06000022,84.6,11.3,4.1
E06000023,83.5,11.5,5
E06000024,81.4,13.3,5.3
E06000025,83.9,11.9,4.2
E06000026,79.5,14.1,6.4
E06000027,76.5,16.2,7.3
E06000030,83.3,12.3,4.4
E06000031,82,12.9,5.1
E06000032,83.2,12,4.7
E06000033,81.1,13.3,5.6
E06000034,84.1,11.5,4.3
E06000035,82.1,12.8,5.1
E06000036,86.9,9.8,3.2
E06000037,85.7,11,3.3
E06000038,85.6,10.7,3.7
E06000039,85.7,10.6,3.7
E06000040,87.6,9.4,3
E06000041,88.1,9.2,2.7
E06000042,84.8,11.1,4.1
E06000043,83.3,11.6,5.1
E06000044,82.2,12.9,5
E06000045,82.8,12.3,5
E06000046,76.8,16.4,6.7
E06000047,76.9,15.6,7.5
E06000049,83.2,12.1,4.7
E06000050,82.1,12.7,5.2
E06000051,81.3,13.6,5.1
E06000052,79.3,14.6,6.2
E06000053,84.3,11.7,4
E06000054,83.6,12.2,4.2
E06000055,83.8,11.8,4.4
E06000056,84.9,11.3,3.8
E06000057,78.4,15.4,6.2
E06000058,81.7,13.1,5.2
E06000059,80.7,14.2,5.1
E06000060,86.3,10.3,3.3
E06000061,82,13.1,4.9
E06000062,84.3,11.6,4.1
