geography_code,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E06000001,8.2,27.6,45.8,18.4
E06000002,8.5,24.1,51.1,16.4
E06000003,7.8,25.9,49.5,16.8
E06000004,7,22.2,48.2,22.7
E06000005,8.7,32.5,40.7,18.1
E06000006,8.4,23.5,51.5,16.6
E06000007,9.3,23.5,45.3,21.9
E06000008,8.5,31.4,42.1,18.1
E06000009,14.8,26.3,45.8,13.1
E06000010,11.8,33.5,43.7,11
E06000011,6.5,26.9,41.2,25.4
E06000012,8.4,21,54.9,15.8
E06000013,6.3,21.8,53,18.8
E06000014,10.4,30,36.2,23.4
E06000015,10.3,28,44,17.7
E06000016,15.6,25.5,43.6,15.2
E06000017,5.5,20.5,39.5,34.5
E06000018,14.2,28.4,44.1,13.3
E06000019,9.5,23.3,41.4,25.8
E06000020,7.1,23.6,46,23.4
E06000021,8.7,38,43.9,9.5
E06000022,12,23.7,38,26.4
E06000023,16.2,28.4,38.8,16.6
E06000024,9.9,26.1,36.5,27.6
E06000025,7.9,21.4,44.2,26.5
E06000026,14.2,29.3,41,15.5
E06000027,14.5,31,36.5,17.9
E06000030,10.9,26.5,41.3,21.3
E06000031,11.4,25,42,21.6
E06000032,15.3,24.7,44,16
E06000033,17.2,29.8,34.4,18.6
E06000034,11.4,25.6,47.5,15.5
E06000035,10.6,25.1,47,17.4
E06000036,12,24,36.9,27.2
E06000037,9.8,22.8,37.5,29.8
E06000038,16.7,29,36,18.4
E06000039,18.5,26.8,37.8,16.9
E06000040,10.8,23.4,33.8,32.1
E06000041,6.9,19.4,34.7,39
E06000042,11.4,25.1,37.8,25.7
E06000043,24.7,31.2,26.1,18.1
E06000044,15.5,29.2,41.1,14.2
E06000045,20.6,30.2,36.7,12.5
E06000046,11,32.9,39.7,16.4
E06000047,5.9,32.5,44.9,16.7
E06000049,7.2,25.2,38.6,29
E06000050,7,23.1,45.7,24.3
E06000051,7.1,24.3,42.3,26.3
E06000052,9.2,28.7,41.1,20.9
E06000053,16,28.1,35.8,20.1
E06000054,7.4,24.1,40,28.5
E06000055,12,21.8,40.5,25.7
E06000056,7.9,23.8,41.5,26.8
E06000057,7.2,28.1,42.9,21.8
E06000058,15.6,32.6,32.7,19.1
E06000059,8.8,27.1,40.2,24
E06000060,9.5,22.3,36.1,32
E06000061,7.2,23.8,45.6,23.4
E06000062,8.7,24.9,39.1,27.3
E07000008,18.4,27.7,31.4,22.5
E07000009,7.3,25.6,38.6,28.5
E07000010,8.8,30.3,42,18.9
E07000011,8,21.6,39.6,30.8
E07000012,6.7,22.5,35.2,35.6
E07000026,4.9,26.7,47.7,20.7
E07000027,7.6,33.8,45.4,13.2
E07000028,6.7,31.1,43.1,19
E07000029,3.8,25.3,51.4,19.4
E07000030,5.8,23.5,44,26.7
E07000031,7.8,26.5,42.8,22.9
E07000032,6.4,29.7,44.1,19.8
E07000033,4.3,31.3,49.6,14.8
E07000034,10.6,31.4,43,15
E07000035,7.3,24.4,41.7,26.7
E07000036,7.4,28.1,48.2,16.3
E07000037,8.6,28.9,40,22.5
E07000038,6,27.8,46,20.2
E07000039,5.1,24.2,43.3,27.4
E07000040,7.5,28.7,39,24.8
E07000041,14.5,26.9,37.6,21
E07000042,8,25.3,38.7,28.1
E07000043,9.1,26,40.1,24.7
E07000044,7.9,24.7,39.1,28.4
E07000045,9,29.1,37.3,24.7
E07000046,6.8,27.6,41.4,24.2
E07000047,7.5,25.5,38.6,28.4
E07000061,17,32.9,34.9,15.2
E07000062,16.8,32,34.4,16.8
E07000063,10.9,28.5,38,22.7
E07000064,9.7,31.2,35.6,23.4
E07000065,7.6,26.9,34.9,30.6
E07000066,12.6,24.6,40.2,22.6
E07000067,8.8,26.7,39.7,24.8
E07000068,10.9,25.5,33.2,30.4
E07000069,8.8,27.4,39.5,24.3
E07000070,11.6,22.4,37.3,28.7
E07000071,10.5,27.6,38.4,23.6
E07000072,11.8,23.6,36.7,28
E07000073,15.9,31.9,38.9,13.2
E07000074,8.2,22.8,36.8,32.2
E07000075,8.5,24,39.6,28
E07000076,10.1,35.8,36.4,17.7
E07000077,7.7,20.6,34.2,37.5
E07000078,14.1,28.7,34.5,22.7
E07000079,8.3,23,37.8,30.9
E07000080,7.5,24.2,43.4,24.9
E07000081,11.6,26.6,41.3,20.5
E07000082,8.5,23.6,38.3,29.6
E07000083,7.6,23,41.2,28.1
E07000084,9.7,22.9,40.2,27.1
E07000085,8.8,22.1,36,33
E07000086,8.4,25.5,41.3,24.8
E07000087,7.6,22.2,42.4,27.8
E07000088,12.5,29.1,44.1,14.3
E07000089,7.2,19.5,34.3,38.9
E07000090,10.5,25.6,44.1,19.8
E07000091,8.4,25.3,41.6,24.7
E07000092,13.6,27.2,41.9,17.3
E07000093,8.6,21.4,40.4,29.6
E07000094,10.1,23.1,32.9,34
E07000095,12.2,25.6,41.1,21.1
E07000096,12.7,24.2,37.5,25.6
E07000098,12.4,26.7,36.2,24.6
E07000099,11.8,24.2,39.2,24.8
E07000102,10.9,22.9,36.9,29.3
E07000103,18.1,28.8,34.1,19
E07000105,8.1,25.5,40.6,25.8
E07000106,11,29.7,35.3,23.9
E07000107,12,29.7,39.9,18.3
E07000108,9.6,30.2,42.3,17.9
E07000109,12,23.4,45.6,19.1
E07000110,9.7,26.7,39.3,24.3
E07000111,9.2,22.4,37.3,31.1
E07000112,11.9,31.1,35.8,21.1
E07000113,8.6,26.4,46,19.1
E07000114,13.6,34.2,34.8,17.4
E07000115,8.2,24,39.9,27.9
E07000116,13.9,25.5,32.3,28.3
E07000117,8.8,37.8,40.4,13
E07000118,7,24.5,43.5,24.9
E07000119,9.8,28.3,37.1,24.8
E07000120,8.9,39.5,38.8,12.8
E07000121,9.5,29.2,41.2,20.2
E07000122,8.4,34.6,41.3,15.7
E07000123,11.2,25.3,44.4,19.1
E07000124,6.5,26.3,38,29.1
E07000125,9.5,32.2,37.4,20.9
E07000126,5.7,23.7,48.4,22.2
E07000127,6.7,20.9,46.5,25.9
E07000128,7.8,29.8,42.6,19.9
E07000129,5,20.1,48.2,26.7
E07000130,8,23,43,26
E07000131,5.7,21.6,35.9,36.8
E07000132,6,25.9,43.8,24.4
E07000133,5.9,21.6,45.4,27
E07000134,5.8,22.4,44.7,27.2
E07000135,5.3,24.1,46.2,24.4
E07000136,8.6,29.3,45.7,16.3
E07000137,7,34.1,39.8,19.1
E07000138,12.8,31.3,39.2,16.6
E07000139,3.4,24.6,44.7,27.4
E07000140,5.7,27.8,45.9,20.5
E07000141,5.6,23.9,42.9,27.5
E07000142,4.3,25.8,43.1,26.7
E07000143,6.8,26.1,43.4,23.7
E07000144,5.6,24.3,43.7,26.5
E07000145,11.2,31.2,42,15.6
E07000146,7.7,28.2,42.8,21.4
E07000147,7.7,31.3,41.1,19.8
E07000148,17.6,31.7,37.6,13.1
E07000149,6,23.9,41.3,28.7
E07000163,7.9,28.1,41.1,22.9
E07000164,6.5,23.7,38.8,31
E07000165,9.3,25.4,35.9,29.4
E07000166,6.4,25.3,43.6,24.7
E07000167,6.1,27.5,40.4,26
E07000168,11.8,31.4,38.3,18.6
E07000169,5.5,23,42.5,28.9
E07000170,6.1,27.5,51.5,14.9
E07000171,6.3,23,48,22.6
E07000172,7.2,24.9,47.5,20.3
E07000173,6.2,24.5,48.1,21.2
E07000174,7.9,26.2,50.3,15.6
E07000175,6.2,22.7,46.9,24.1
