geography_code,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E06000001,33.3,33.8,16.6,16.3
E06000002,33.1,31.2,16.3,19.4
E06000003,33.5,35.5,15.6,15.4
E06000004,31,34.3,16.4,18.2
E06000005,34.2,35.3,15,15.5
E06000006,31.6,33.8,17,17.6
E06000007,30.2,34.9,16.9,18
E06000008,29.9,28.4,15.4,26.3
E06000009,38,33,14.8,14.3
E06000010,34.2,32,15.9,17.9
E06000011,30,40.2,14.3,15.5
E06000012,32.5,35.7,15.7,16.1
E06000013,29.2,37.8,15.7,17.3
E06000014,31.2,37.2,14.7,16.9
E06000015,31.3,31.9,15.5,21.2
E06000016,27.6,25.5,16.4,30.4
E06000017,28.7,40.8,14,16.5
E06000018,33.6,30.1,15,21.2
E06000019,30.7,38.7,14.4,16.1
E06000020,27.7,35.4,17.1,19.9
E06000021,32.8,33.4,15.7,18.2
E06000022,29.1,35.8,15.2,19.8
E06000023,30.2,33.5,15.7,20.6
E06000024,30.7,36.8,14.7,17.8
E06000025,26,36,16.8,21.1
E06000026,32.6,35.1,15.4,16.9
E06000027,34.7,36.4,13.5,15.4
E06000030,28.4,33.3,16.8,21.5
E06000031,27.8,31.6,17.2,23.4
E06000032,26.7,25.9,16.7,30.7
E06000033,33.3,32.4,15.8,18.5
E06000034,24.4,29,19.4,27.2
E06000035,27.3,32.1,17.6,23
E06000036,26.8,33.8,17.8,21.6
E06000037,27,36.2,16.5,20.3
E06000038,28.5,31.3,17.1,23.1
E06000039,22.8,22.8,18.8,35.6
E06000040,27.4,33.2,17,22.4
E06000041,23.5,34,17.9,24.5
E06000042,26.3,31.9,17.8,23.9
E06000043,34.7,33.6,14.9,16.8
E06000044,32,32.3,16.2,19.5
E06000045,33,32.1,15.3,19.6
E06000046,34.7,38.6,13,13.7
E06000047,33.9,36,15.5,14.6
E06000049,30.4,37.1,15.5,17
E06000050,30.2,36.4,16.1,17.2
E06000051,29.7,39.2,14.5,16.7
E06000052,30.7,38.4,14.5,16.5
E06000053,32.6,42.6,10,14.8
E06000054,28.2,37.7,15.7,18.4
E06000055,28.6,32.9,16.6,21.9
E06000056,25.8,35.8,17.5,20.9
E06000057,32.8,38.7,14.4,14.1
E06000058,32.5,35.5,14.9,17.1
E06000059,30.6,40.7,13.5,15.1
E06000060,26.3,34,16.7,23
E06000061,27.3,35.5,17,20.1
E06000062,26.9,34.8,17,21.2
E07000008,31.7,32.5,16,19.7
E07000009,27.7,37.3,15.9,19.2
E07000010,29,38.2,15.7,17
E07000011,28,37.6,15.9,18.5
E07000012,26.2,36.3,16.2,21.2
E07000026,33.4,37.6,14.1,15
E07000027,36.2,34.5,14.4,14.9
E07000028,35.1,35.9,14.3,14.8
E07000029,34.3,36.5,14.3,14.9
E07000030,31,40.1,13.4,15.6
E07000031,32.5,40.3,13.1,14.1
E07000032,30.5,38.4,15.1,15.9
E07000033,29.9,37.4,16.4,16.3
E07000034,35.5,35.7,14.3,14.5
E07000035,30.6,40.8,13.6,14.9
E07000036,30.9,37.2,16,15.9
E07000037,31.7,37,15.1,16.1
E07000038,31.1,38.6,14.7,15.6
E07000039,27.1,37.7,16.7,18.5
E07000040,30,40.8,13.3,15.9
E07000041,32.4,34,14.9,18.7
E07000042,28.7,38.8,14.1,18.3
E07000043,30.7,38.4,14.1,16.8
E07000044,29.5,40.6,14,15.9
E07000045,30.8,39.3,14,15.9
E07000046,30.6,40.7,13.3,15.4
E07000047,29.4,41,13.4,16.2
E07000061,35.5,34.4,14,16.1
E07000062,35.7,32.8,14.7,16.8
E07000063,31,37,14.8,17.2
E07000064,32.6,39.9,13,14.5
E07000065,27.5,39.5,15,18.1
E07000066,28.1,32.2,17.4,22.4
E07000067,27.4,36.4,16.3,19.9
E07000068,29.1,33.8,16.3,20.8
E07000069,27.3,36.3,16.2,20.2
E07000070,28.1,35,16.2,20.7
E07000071,28.9,35,16.3,19.8
E07000072,27.2,33,17.4,22.4
E07000073,28.8,30.3,18.3,22.6
E07000074,26.6,38.3,15.9,19.2
E07000075,26.3,36.1,16.5,21.2
E07000076,34.2,37.4,13.1,15.2
E07000077,25,35.8,16.9,22.3
E07000078,34.8,35,13.8,16.3
E07000079,30.2,40.1,13.9,15.8
E07000080,28.4,39.5,15.1,17
E07000081,30.2,33.7,16.2,19.9
E07000082,29.1,37.8,15,18.1
E07000083,28.2,38.1,15.4,18.3
E07000084,26.6,35.9,17.1,20.4
E07000085,26.4,38.4,15.9,19.3
E07000086,26.5,36.6,16.5,20.3
E07000087,26.7,39.2,15.8,18.3
E07000088,31.9,36.3,15,16.8
E07000089,24.6,36,17.2,22.2
E07000090,29.8,37.2,15.1,17.9
