geography_code,english_proficiency_4a-001,english_proficiency_4a-002,english_proficiency_4a-003
E06000001,97.9,1.4,0.7
E06000002,92.4,5.6,1.9
E06000003,98.9,0.8,0.3
E06000004,97,2.3,0.7
E06000005,95.8,3.3,0.9
E06000006,97.3,2.1,0.6
E06000007,94.6,4.5,1
E06000008,87.5,8.3,4.1
E06000009,95.6,3.6,0.8
E06000010,90,7.1,2.9
E06000011,97.8,1.7,0.5
E06000012,96.1,2.9,0.9
E06000013,93.6,4.7,1.7
E06000014,94.9,4.4,0.6
E06000015,87,9.7,3.3
E06000016,70,21,9
E06000017,98.1,1.7,0.2
E06000018,85.7,11.3,3
E06000019,95.2,3.8,1
E06000020,93.4,5.3,1.4
E06000021,91.2,6.9,1.9
E06000022,95.1,4.4,0.5
E06000023,89.9,8.6,1.6
E06000024,96.1,3.3,0.6
E06000025,94.6,4.6,0.8
E06000026,95.5,3.8,0.7
E06000027,97.1,2.5,0.4
E06000030,90,8.2,1.8
E06000031,80,15.4,4.5
E06000032,76.9,17.5,5.5
E06000033,94.1,5,0.9
E06000034,88.7,9.4,1.9
E06000035,93.5,5.4,1.2
E06000036,92.3,6.8,0.9
E06000037,95.2,4.2,0.6
E06000038,81.1,15.8,3.1
E06000039,72.7,22.1,5.2
E06000040,91.3,7.7,1
E06000041,92,7.1,0.8
E06000042,87.4,10.9,1.7
E06000043,90.9,7.9,1.2
E06000044,90.8,7.7,1.5
E06000045,84.6,12.8,2.6
E06000046,98.1,1.6,0.3
E06000047,98.1,1.6,0.3
E06000049,95.8,3.4,0.8
E06000050,96.7,2.8,0.6
E06000051,97.4,2.1,0.6
E06000052,98.2,1.6,0.3
E06000053,97.7,2.1,0.3
E06000054,96.5,3,0.5
E06000055,87.8,9.5,2.7
E06000056,95.1,4.2,0.6
E06000057,98.9,0.9,0.2
E06000058,91.7,7.2,1.1
E06000059,98.2,1.6,0.2
E06000060,92.7,6.1,1.1
E06000061,90.6,7.7,1.8
E06000062,89.1,8.7,2.2
E07000008,80,18.3,1.8
E07000009,95.1,4.1,0.9
E07000010,91.2,6.4,2.5
E07000011,94.7,4.4,0.9
E07000012,93.2,6.2,0.6
E07000026,98.9,1,0.2
E07000027,98.4,1.3,0.3
E07000028,96.4,2.8,0.8
E07000029,99,0.8,0.2
E07000030,97.7,1.9,0.4
E07000031,97.5,2.2,0.3
E07000032,98.5,1.2,0.3
E07000033,96.3,2.6,1.1
E07000034,97.8,1.8,0.5
E07000035,99.1,0.8,0.1
E07000036,97.6,2,0.4
E07000037,98.7,1.1,0.2
E07000038,98.9,0.9,0.2
E07000039,96.9,2.6,0.5
E07000040,98.1,1.6,0.3
E07000041,92.2,6.8,1
E07000042,97.3,2.1,0.6
E07000043,98.1,1.6,0.3
E07000044,98.6,1.3,0.1
E07000045,98.6,1.2,0.2
E07000046,99,0.8,0.2
E07000047,98.6,1.2,0.2
E07000061,92.7,6.2,1.2
E07000062,94.8,4.4,0.9
E07000063,97.1,2.5,0.4
E07000064,98.1,1.7,0.3
E07000065,98,1.8,0.2
E07000066,94.9,4.4,0.7
E07000067,97,2.5,0.4
E07000068,96,3.6,0.4
E07000069,98.3,1.4,0.3
E07000070,94.9,4.5,0.6
E07000071,93.4,5.8,0.8
E07000072,94,5.1,1
E07000073,89.6,8.7,1.7
E07000074,98.8,1,0.2
E07000075,98.9,0.9,0.2
E07000076,98.4,1.3,0.3
E07000077,97,2.7,0.4
E07000078,93.1,6,0.9
E07000079,97.8,2,0.2
E07000080,98.2,1.4,0.4
E07000081,92,6.5,1.6
E07000082,98.2,1.6,0.2
E07000083,96.6,2.9,0.4
E07000084,92.9,6.1,1
E07000085,97.1,2.5,0.4
E07000086,96.3,3.2,0.5
E07000087,98.1,1.7,0.3
E07000088,97.7,1.9,0.3
E07000089,96.3,3.3,0.4
E07000090,97.9,1.8,0.3
E07000091,98,1.7,0.2
E07000092,85,11.4,3.7
E07000093,95.8,3.6,0.6
E07000094,96.6,3,0.4
E07000095,91,7.2,1.9
E07000096,93.8,5.4,0.8
E07000098,89.7,8.9,1.3
E07000099,95.7,3.7,0.6
E07000102,92.3,6.9,0.8
E07000103,81,16.3,2.7
E07000105,93.2,5.5,1.3
E07000106,94.6,4.8,0.7
E07000107,90.6,8,1.3
E07000108,96.4,2.9,0.6
E07000109,88.1,9.4,2.6
E07000110,92.2,6.5,1.3
E07000111,96.6,3,0.4
E07000112,95.2,4,0.8
E07000113,96.2,3.1,0.7
E07000114,95.3,3.6,1.1
E07000115,96.9,2.7,0.4
E07000116,94.7,4.7,0.6
E07000117,91,6,3
E07000118,97.8,1.7,0.5
E07000119,97.8,1.8,0.5
E07000120,94,4,2
E07000121,94.7,4.4,0.9
E07000122,87.6,7.7,4.7
E07000123,87.6,9.7,2.7
E07000124,98.6,1.2,0.2
