geography_code,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E06000001,29.6,40.6,22.6,7.2
E06000002,33.1,40.1,20.9,5.9
E06000003,24.8,42.3,24.8,8.1
E06000004,22.3,41,28.3,8.4
E06000005,25,43.6,24.3,7
E06000006,23.8,42.3,26.5,7.4
E06000007,17.4,41.3,31.7,9.6
E06000008,26.9,42.1,23.7,7.3
E06000009,34,42.2,18.5,5.3
E06000010,35.1,42.7,18.2,4.1
E06000011,15.8,42.1,31.1,11
E06000012,26.9,42.2,24,6.9
E06000013,18.5,41,29.6,11
E06000014,24,46,23.6,6.4
E06000015,26,42.1,24.5,7.5
E06000016,33,41.1,19.6,6.3
E06000017,10.3,39.8,36.2,13.6
E06000018,38,41.2,16.4,4.4
E06000019,14.4,39.9,31.6,14
E06000020,18.7,41.5,29.4,10.3
E06000021,27.3,43.5,22.7,6.5
E06000022,19.9,41.6,28.1,10.3
E06000023,26.2,45.8,21.6,6.4
E06000024,15,41.1,32.1,11.9
E06000025,12.3,40.1,34.1,13.4
E06000026,24.9,43.5,24.5,7
E06000027,23.2,43.3,24.5,8.9
E06000030,19.3,41.7,29.6,9.3
E06000031,22.7,43.5,26.1,7.7
E06000032,25,43,23.5,8.5
E06000033,24.6,44.3,23.5,7.6
E06000034,17.3,42.3,29.4,11
E06000035,19.2,40.9,28.9,11
E06000036,11.5,38.3,37.5,12.6
E06000037,12.1,38.3,35.1,14.5
E06000038,28.4,44.3,21.1,6.2
E06000039,20.3,42.7,26.9,10.1
E06000040,12.7,40,33.9,13.4
E06000041,9,37.5,39.5,14
E06000042,17.1,43.4,30.1,9.4
E06000043,37.4,42.7,15.7,4.1
E06000044,30.3,43.5,20.8,5.4
E06000045,27.4,44.3,21.8,6.5
E06000046,20.8,44.4,25.1,9.7
E06000047,24.1,42.3,25.5,8
E06000049,14.5,41,33.3,11.3
E06000050,16.7,40.8,32,10.5
E06000051,13.8,40.1,32,14
E06000052,15,42.1,30.4,12.5
E06000053,41.8,38.3,15.3,4.7
E06000054,13.1,39.4,34,13.4
E06000055,18.2,40.2,30.5,11.1
E06000056,11.3,38.6,36.4,13.7
E06000057,19.7,43.1,28.1,9.1
E06000058,19.4,43.3,27.5,9.8
E06000059,13.7,40.8,31.8,13.7
E06000060,11.5,37.4,36.1,15
E06000061,16,40.4,32,11.6
E06000062,15.9,39,32.7,12.4
E07000008,34.4,46.6,15,4
E07000009,12,39.1,34.9,14
E07000010,15.9,41.5,29.9,12.6
E07000011,13.1,40.1,34.3,12.5
E07000012,10.9,40.8,35.6,12.7
E07000026,18.5,41.9,29.2,10.4
E07000027,26.9,45,21.7,6.5
E07000028,21.7,43.4,26.5,8.4
E07000029,20.6,42.5,27.5,9.4
E07000030,12.4,39.9,33.4,14.3
E07000031,14.1,43.4,30.8,11.7
E07000032,16.8,40,31.4,11.7
E07000033,18.5,40.6,30.1,10.8
E07000034,23.9,42.1,25.9,8.1
E07000035,13,39.2,33.5,14.3
E07000036,19.4,42,29.5,9.1
E07000037,16.9,43.3,29.6,10.3
E07000038,16.1,40.3,31.4,12.2
E07000039,11.1,39.2,36.6,13.1
E07000040,13.6,42.2,31.8,12.4
E07000041,25.4,45.4,22.5,6.7
E07000042,13.1,39.5,32.5,14.9
E07000043,17,41.5,29.5,12
E07000044,11.7,40,33.8,14.4
E07000045,14.4,41.1,31.4,13.1
E07000046,13.7,42,30.6,13.7
E07000047,12.1,40.5,32.7,14.7
E07000061,26.5,44.8,21.9,6.8
E07000062,29.2,43,21,6.9
E07000063,18.8,44.1,27,10
E07000064,16,42.3,28.9,12.7
E07000065,10.6,37.5,35.1,16.8
E07000066,18.7,42,29,10.4
E07000067,13.7,38.5,33.2,14.6
E07000068,13.7,43.1,30.7,12.4
E07000069,15,39.1,31.4,14.5
E07000070,14.9,41.8,31,12.3
E07000071,18.2,42.3,29.1,10.4
E07000072,14,42.2,30.5,13.3
E07000073,21.7,41.7,27.6,9
E07000074,11.3,35.1,35.2,18.5
E07000075,13,38.7,33,15.3
E07000076,20.1,43.3,25.8,10.8
E07000077,8.7,35.2,38,18
E07000078,20.1,45.4,26.9,7.7
E07000079,11,38.9,35.4,14.7
E07000080,12.2,37.6,33.4,16.8
E07000081,20.2,41.8,28.6,9.4
E07000082,11.9,37.5,35.1,15.5
E07000083,11.5,40,35.5,12.9
E07000084,14.5,38.6,34.3,12.7
E07000085,9.7,35.7,37.4,17.1
E07000086,11.9,39.7,36,12.4
E07000087,12.1,38.1,35.8,13.9
E07000088,20.7,44.3,26.6,8.4
E07000089,7.8,35,40.3,16.9
E07000090,18.1,39.7,30.4,11.9
E07000091,11.7,38.9,34.1,15.4
E07000092,16.3,40.4,31.8,11.4
E07000093,11.9,37.4,36.5,14.2
E07000094,13.5,38.4,34.3,13.9
E07000095,16.6,41.7,29.2,12.5
E07000096,14.5,40.8,32.3,12.4
E07000098,15.5,42.3,31,11.2
E07000099,15.5,42.9,30.6,11
E07000102,12.5,39.8,33.7,14
E07000103,22.4,44.5,25.3,7.8
E07000105,14.4,39.9,32,13.8
E07000106,20.8,42.7,26.5,10
E07000107,16.9,45,28.5,9.6
E07000108,20.1,42.5,27.1,10.3
E07000109,19.7,41,27.8,11.5
E07000110,14.6,39.3,32.7,13.4
E07000111,11.4,40.2,33.3,15
E07000112,20.5,42.8,26.5,10.3
E07000113,16.6,40.1,30.5,12.7
E07000114,26.1,43.1,22.8,8
E07000115,12.3,39.8,34.3,13.6
E07000116,15.5,42.7,30.1,11.7
E07000117,29.3,42.6,21.9,6.2
E07000118,14.6,40.8,33.5,11
E07000119,16.8,44.3,29.5,9.4
E07000120,25.3,43.1,24.2,7.3
E07000121,22.7,43.2,25.8,8.3
E07000122,23.3,43.3,25.2,8.2
E07000123,27.7,41.4,23.9,7
E07000124,11.4,39.7,35.1,13.8
E07000125,18.3,41.7,30.4,9.5
E07000126,14.3,42.7,32.6,10.3
E07000127,18,39.7,30.8,11.5
E07000128,18.4,43.2,28.4,9.9
E07000129,11.4,39.3,36.2,13
E07000130,15.6,40.5,32.8,11.1
E07000131,10,36.4,38.1,15.5
E07000132,12.7,39.8,34.4,13
E07000133,13.1,39.3,33.6,14
E07000134,12.6,38,35.4,13.9
E07000135,16.8,41.3,30.9,11
E07000136,19.5,42.7,27,10.8
E07000137,16.7,44.3,27.7,11.3
E07000138,28.4,44.6,21.3,5.7
E07000139,11.4,41.3,34.7,12.6
E07000140,12.9,40.6,32.3,14.2
E07000141,14.6,41.2,32.7,11.5
E07000142,14.1,41.2,32.2,12.4
E07000143,13.3,40.4,32.4,13.9
E07000144,11,41.5,34.3,13.3
E07000145,25.4,42.1,24,8.6
E07000146,15,41.1,30.4,13.5
E07000147,14.6,43.7,29.1,12.6
E07000148,32.7,46.4,16.8,4.1
E07000149,10.5,40.1,35.1,14.3
E07000163,14.6,44,30.2,11.1
E07000164,12.2,40.2,33.8,13.7
E07000165,14.8,42.4,32,10.9
E07000166,11.7,42.6,33.4,12.4
E07000167,12.8,41.7,32.4,13.2
E07000168,25.9,44.4,22.2,7.6
E07000169,12.6,38.8,35.8,12.8
E07000170,20.6,42.1,28,9.4
E07000171,17.2,40.7,30.6,11.5
E07000172,19.9,43.6,28.1,8.4
E07000173,18.9,43.5,29,8.5
E07000174,21.9,41.4,27.9,8.9
E07000175,16.2,40.9,31,11.9
E07000176,13.5,40.3,35.4,10.8
E07000177,14.7,40.5,32.6,12.2
E07000178,32.1,45.4,17.3,5.2
E07000179,10.8,38.5,36.1,14.6
E07000180,12.2,39.8,35.2,12.8
E07000181,11.5,39.8,34.7,14
E07000187,13.2,40.3,32.3,14.1
E07000188,14.5,40,31.3,14.3
E07000189,12.5,41.1,32.4,14
E07000192,16.9,39.5,31.7,11.8
E07000193,18.5,39.8,30.5,11.2
E07000194,12.6,38.4,35,13.9
E07000195,19.4,41.5,28.8,10.2
E07000196,12.2,37.4,35.1,15.3
E07000197,14.9,40.8,32.9,11.4
E07000198,13.1,39.7,33.1,14.2
E07000199,18.3,40,31.2,10.5
E07000200,11.6,38.6,34.2,15.6
E07000202,24.8,43.9,24,7.3
E07000203,9.8,36.6,36.1,17.6
E07000207,11.1,44.4,32.3,12.1
E07000208,14.3,45.2,29.9,10.6
E07000209,13.8,38.8,33.6,13.7
E07000210,11.5,39.2,33.3,16
E07000211,13.5,41.1,32.8,12.7
E07000212,13.9,40.1,32.9,13.2
E07000213,14.7,42,31.3,12
E07000214,9.9,34.3,38.3,17.5
E07000215,11.3,39.4,33.1,16.2
E07000216,11.2,38.1,35.7,15
E07000217,14.7,41.8,31.5,12
E07000218,13.5,38.3,33.7,14.6
E07000219,19.4,40.7,29.6,10.3
E07000220,14.6,40.6,33,11.9
E07000221,11.1,37.5,36,15.5
E07000222,16.6,41,31.8,10.5
E07000223,18.5,44.4,27.9,9.3
E07000224,16.9,42.7,29.3,11.1
E07000225,14.1,40.9,31,14.1
E07000226,20.6,42.2,27.8,9.4
E07000227,11.2,38.4,35.4,15
E07000228,12.4,42.1,32.9,12.7
E07000229,21.8,44.1,25.6,8.5
E07000234,11.4,36.2,37.3,15.2
E07000235,11.8,37.9,33.8,16.4
E07000236,17.6,39.4,31.5,11.5
E07000237,20.5,42.3,28,9.2
E07000238,11.8,36.9,35.4,15.9
E07000239,16.3,40.6,31,12.2
E07000240,12.8,44.1,32.4,10.7
E07000241,17.6,41.6,29.5,11.4
E07000242,12.4,40.6,33.7,13.3
E07000243,20.2,41.6,28.8,9.4
E07000244,15.9,42.6,29.7,11.8
E07000245,14.9,41.7,31.7,11.7
E07000246,15.7,42.7,29.6,12
E08000001,24.8,42.8,25.2,7.2
E08000002,22.1,43.5,27.1,7.3
E08000003,39,43,14.7,3.3
E08000004,27.6,42.6,23.1,6.7
E08000005,26.3,42.4,24.5,6.9
E08000006,33.2,42.9,19.3,4.6
E08000007,19.7,43.1,29.1,8.2
E08000008,26.1,43.4,23.9,6.6
E08000009,19.3,43.4,29.5,7.8
E08000010,21.3,42.4,28.2,8.1
E08000011,31.2,41.2,22.2,5.4
E08000012,40.1,40.4,16.1,3.5
E08000013,23.2,42.3,27.1,7.4
E08000014,26.4,42.6,24.1,6.8
E08000015,25.1,42.4,25.2,7.4
E08000016,22.7,41.5,27.4,8.4
E08000017,24.4,41.7,25.8,8.1
E08000018,23,39.9,27.9,9.2
E08000019,29.2,42.5,22.1,6.2
E08000021,36.6,40.8,18.3,4.3
E08000022,27.8,44.6,22.5,5.1
E08000023,32.8,41.9,20.2,5.1
E08000024,30.9,40.9,22,6.1
E08000025,31.7,41.6,20.4,6.3
E08000026,27.6,41.7,23.4,7.3
E08000027,20.5,40.7,28.7,10.1
E08000028,29.2,42,21.7,7
E08000029,17.6,39.3,31.7,11.4
E08000030,25,40.4,25.5,9.2
E08000031,28.5,40.9,22.9,7.7
E08000032,27.6,42.4,23,7.1
E08000033,24.5,42.9,25,7.5
E08000034,22.7,41.5,27.3,8.5
E08000035,28.7,41.8,23.3,6.1
E08000036,22.8,41.7,27.4,8
E08000037,32.4,41.7,20.7,5.1
E09000001,77.2,19.4,2.5,0.9
E09000002,34.8,44.9,16.1,4.2
E09000003,29.9,45,19.5,5.6
E09000004,22.4,45.4,23.8,8.5
E09000005,44.1,39,12.9,4
E09000006,22.9,46.4,22.8,7.9
E09000007,63.6,30.2,5.2,1
E09000008,33.6,43.2,17.4,5.8
E09000009,36.8,43.8,15.1,4.3
E09000010,31,44.3,18.5,6.1
E09000011,43.1,42.4,11.4,3
E09000012,64.9,30.5,3.9,0.7
E09000013,57.5,35.4,6.1,1.1
E09000014,52.7,38,7.8,1.5
E09000015,24.7,44.2,23.5,7.5
E09000016,21.5,44.1,24.9,9.4
E09000017,22.3,44,24.8,8.9
