geography_code,is_carer_5a-001,is_carer_5a-002,is_carer_5a-003,is_carer_5a-004
E06000001,89.1,4.2,2.9,3.9
E06000002,90.7,3.5,2.5,3.3
E06000003,89.3,4.3,2.5,3.9
E06000004,90.2,4.2,2.3,3.3
E06000005,90.4,4.5,2.1,3
E06000006,88.7,4.7,2.7,3.9
E06000007,90.5,4.9,1.9,2.7
E06000008,90.8,3.8,2.3,3
E06000009,89.1,4.4,2.6,3.9
E06000010,91.5,3.2,2.1,3.2
E06000011,90.7,4.7,1.7,3
E06000012,90.5,4,2.2,3.3
E06000013,90.4,4.2,2.1,3.2
E06000014,92.3,4.4,1.3,2
E06000015,91,4.1,2.1,2.9
E06000016,92.3,3.2,2,2.5
E06000017,92,4.6,1.2,2.2
E06000018,92,3.5,2,2.5
E06000019,90.7,4.9,1.7,2.7
E06000020,89.7,4.7,2.2,3.4
E06000021,90.3,4.1,2.3,3.3
E06000022,91.9,4.6,1.4,2.1
E06000023,92.4,4,1.5,2.1
E06000024,90.9,4.9,1.6,2.6
E06000025,91.4,4.7,1.5,2.3
E06000026,90.5,4.2,2.1,3.2
E06000027,88.8,4.9,2.4,3.9
E06000030,91.7,4.1,1.7,2.5
E06000031,91.9,3.6,1.9,2.5
E06000032,92.3,3.4,2,2.3
E06000033,91.2,4.3,1.8,2.7
E06000034,92.3,3.5,1.7,2.5
E06000035,91.4,3.9,1.9,2.8
E06000036,92.5,4.1,1.3,2.1
E06000037,92.1,4.5,1.3,2.1
E06000038,93.3,3.3,1.5,1.9
E06000039,93.1,3.1,1.8,2
E06000040,92.6,4.2,1.3,1.9
E06000041,92.7,4.3,1.2,1.8
E06000042,92.3,3.8,1.6,2.2
E06000043,92.2,4.3,1.5,2
E06000044,92.2,3.7,1.7,2.4
E06000045,92.3,3.6,1.7,2.4
E06000046,89.5,4.9,2,3.6
E06000047,89.4,4.5,2.4,3.7
E06000049,90.9,4.9,1.6,2.5
E06000050,90.4,4.8,1.9,2.9
E06000051,90.4,5.1,1.8,2.8
E06000052,90,4.9,2,3.2
E06000053,89.8,6,1.4,2.8
E06000054,91.3,4.7,1.6,2.4
E06000055,91.8,4.3,1.7,2.2
E06000056,91.5,4.7,1.5,2.3
E06000057,89.8,4.8,2.1,3.3
E06000058,91.3,4.6,1.7,2.5
E06000059,90.3,5.2,1.7,2.9
E06000060,92,4.6,1.4,2
E06000061,91.5,4.1,1.7,2.6
E06000062,92.1,4.1,1.5,2.3
E07000008,93.7,3.7,1.1,1.5
E07000009,91.4,4.9,1.4,2.3
E07000010,90.4,4.2,2.1,3.4
E07000011,91.7,4.5,1.4,2.4
E07000012,91.6,5.1,1.3,2
E07000026,90.2,4.8,2,3
E07000027,90.1,4.6,2.2,3.2
E07000028,91.2,4.4,1.8,2.6
E07000029,89.9,4.5,2.2,3.4
E07000030,90.9,5.1,1.6,2.4
E07000031,91.1,5.1,1.4,2.4
E07000032,89.5,5.4,2,3.1
E07000033,88.8,4.9,2.5,3.8
E07000034,89.1,5.1,2.2,3.5
E07000035,90,5.9,1.5,2.6
E07000036,90,5,1.9,3.1
E07000037,90.6,5.1,1.6,2.6
E07000038,89.1,5.4,2,3.5
E07000039,90.8,4.8,1.8,2.7
E07000040,90.2,5.2,1.7,2.9
E07000041,92,4.3,1.5,2.2
E07000042,90.5,5.1,1.7,2.7
E07000043,90.5,4.7,1.8,3
E07000044,89.9,5.6,1.7,2.7
E07000045,89.7,5.4,1.8,3.1
E07000046,89.9,4.9,1.9,3.3
E07000047,89.7,5.5,1.7,3.1
E07000061,90.3,4.5,2,3.2
E07000062,89.9,4.5,2.3,3.3
E07000063,89.7,5.6,1.7,3
