geography_code,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E06000001,31.2,27.6,23.4,17.7
E06000002,28.6,27,23.2,21.2
E06000003,36.7,28.5,18.9,15.9
E06000004,33.1,33.5,16.3,17.1
E06000005,33.2,30,16.2,20.6
E06000006,30.6,30.7,24.3,14.4
E06000007,35.3,34.2,15.3,15.3
E06000008,33.3,27.7,18.8,20.2
E06000009,31.4,26.4,10.3,31.9
E06000010,23.1,25.7,27,24.2
E06000011,43.2,30.3,9.4,17.1
E06000012,34.9,29.5,13.2,22.5
E06000013,38,29.8,15,17.2
E06000014,36.8,29.1,14,20.1
E06000015,31.6,28.2,18.8,21.4
E06000016,24.6,22.6,23.2,29.7
E06000017,43.7,28.7,10.9,16.8
E06000018,22.4,23.2,25.5,28.9
E06000019,42.3,25.1,13.7,18.9
E06000020,30.2,30.5,18,21.3
E06000021,30.4,26.7,22.3,20.6
E06000022,36.4,29.9,14.3,19.4
E06000023,25.2,29.7,18.7,26.4
E06000024,39.4,33,9.2,18.5
E06000025,36.6,36.8,10.8,15.8
E06000026,29.5,29.3,18.4,22.7
E06000027,39.2,25.9,8.3,26.6
E06000030,29.2,35.8,15.6,19.5
E06000031,26.3,30.5,18.6,24.5
E06000032,25.7,28.8,16.4,29.2
E06000033,31.6,30.4,11.5,26.5
E06000034,25.5,38.5,17.7,18.3
E06000035,30.9,35.3,13.6,20.2
E06000036,28.8,39.7,15.7,15.8
E06000037,34.8,34.1,14,17.2
E06000038,22.8,28.9,16.1,32.1
E06000039,19.5,30.1,19.6,30.9
E06000040,33.5,33.3,12.6,20.6
E06000041,36.1,42,7.7,14.2
E06000042,24,36.8,18.1,21
E06000043,25.1,27.2,14.9,32.9
E06000044,25.5,27.7,18,28.8
E06000045,22.5,26.2,21.9,29.3
E06000046,44.4,24.1,10.9,20.7
E06000047,34.5,28.3,20,17.2
E06000049,39.6,33.3,11.6,15.6
E06000050,37.1,32.4,14.6,15.8
E06000051,42.5,27,13,17.5
E06000052,41.8,25.6,12.8,19.8
E06000053,34.1,11.9,17.3,36.7
E06000054,37.3,30.7,14.5,17.5
E06000055,31.2,33.4,16.3,19.2
E06000056,33.6,39.3,13.3,13.8
E06000057,38.6,27.2,17.8,16.5
E06000058,34.4,29.2,11,25.5
E06000059,45.8,25.5,12.3,16.3
E06000060,35,36.2,13,15.8
E06000061,32,34.3,15.2,18.6
E06000062,31.2,35.2,14.4,19.2
E07000008,24.6,21.2,22.7,31.6
E07000009,36.2,33.3,14,16.5
E07000010,37.7,29.6,12.7,20
E07000011,35.9,34.4,12.9,16.8
E07000012,36.5,34.9,14.5,14.1
E07000026,42.7,26.2,18.9,12.2
E07000027,39.2,32.8,11,16.9
E07000028,38.3,29.7,14.4,17.6
E07000029,42.2,29.1,17.6,11.1
E07000030,47.4,24.2,10.3,18.1
E07000031,47,25.5,10.7,16.8
E07000032,41,31.6,12.7,14.7
E07000033,35.1,31.2,16.3,17.4
E07000034,35.9,27,20.7,16.4
E07000035,47.7,25.2,12.6,14.4
E07000036,37.5,32.9,12.7,16.9
E07000037,40.1,31.5,12.2,16.2
E07000038,41.2,29.9,18.7,10.2
E07000039,36.2,39.1,9.9,14.8
E07000040,46.8,26.8,10.3,16.1
E07000041,31.1,27.2,16.6,25.1
E07000042,39.6,29.1,12.6,18.7
E07000043,41.8,26.6,11.1,20.4
E07000044,45,27,11.8,16.1
E07000045,43.3,29.3,9.5,17.9
E07000046,45.5,24.9,9.3,20.2
E07000047,46.6,25.1,10.1,18.3
E07000061,35.7,24.5,13,26.7
E07000062,31.3,25.8,14.3,28.7
E07000063,42.4,29.7,10.9,17
E07000064,48.4,25.1,10.2,16.2
E07000065,44.7,33.4,8.4,13.5
E07000066,30.2,34.2,21.2,14.4
E07000067,34.3,34.3,16.3,15.1
E07000068,36.5,36.1,11.3,16.1
E07000069,45.3,35.1,5.5,14.1
E07000070,35.9,35.2,13.3,15.6
E07000071,32.8,32.3,13.3,21.6
E07000072,35.2,35.1,14.7,15.1
E07000073,23,32,29.3,15.6
E07000074,43.8,33.2,11.2,11.8
E07000075,43.8,37.4,8.1,10.7
E07000076,46.7,25.2,8.2,19.9
E07000077,35.7,36.7,13,14.6
E07000078,34.7,29.6,12.2,23.5
E07000079,39.8,27.4,15.4,17.4
E07000080,44.2,29.2,13,13.6
E07000081,31.6,33.4,13.6,21.4
E07000082,41.1,32.8,12.3,13.8
E07000083,39.1,33.9,12.7,14.3
E07000084,30.6,36.1,17.9,15.4
