geography_code,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E00086549,62.9,31.9,5.2
E00086550,66.7,28.1,5.2
E00086570,70.1,26.1,3.8
E00086571,69,20.4,10.6
E00086572,68.6,25.1,6.2
E00086575,68.3,20.2,11.5
E00086576,67.3,27.5,5.2
E00086577,60.5,35.9,3.5
E00086578,62.7,28.1,9.2
E00086579,64.6,29.7,5.7
E00086581,77.6,19.6,2.7
E00086582,57.3,26.5,16.1
E00086589,78.7,16.5,4.8
E00086590,70.9,22.9,6.2
E00086592,87,8.5,4.6
E00086596,88.4,9.5,2.1
E00086598,84.9,11.6,3.5
E00086602,81.4,11.6,7
E00086603,72.1,14.7,13.2
E00086605,66,26.6,7.4
E00086609,87.1,6.3,6.6
E00086610,72.8,13.8,13.4
E00086613,85.1,4.6,10.4
E00086614,72.6,16.7,10.7
E00086615,68,22,10.1
E00086616,74.1,12.2,13.8
E00086617,82.9,8.5,8.5
E00086618,66.3,11.7,22.1
E00086619,70.5,18.4,11.1
E00086620,72.5,18.4,9
E00086621,75.1,15.2,9.8
E00086622,67.6,13.4,19.1
E00086623,64.3,27.8,7.8
E00086624,60.6,24,15.4
E00086625,74.3,15.1,10.6
E00086626,54,39.6,6.4
E00086627,81.6,16.2,2.2
E00086762,63.3,17.5,19.2
E00086763,70.5,14.2,15.3
E00086764,74.9,11.8,13.3
E00086765,82.2,8.5,9.3
E00086766,83.2,3.8,12.9
E00086767,80.5,3.6,15.8
E00086768,85.4,3.8,10.8
E00086769,77.5,11.1,11.4
E00086770,69,7.6,23.4
E00086771,80.1,9.1,10.7
E00086772,78.1,10.7,11.2
E00086773,73.5,8.2,18.3
E00086774,72.5,11.4,16.2
E00086775,65.4,10.6,24
E00086776,79.7,8.5,11.8
E00086777,78.2,9.3,12.5
E00086778,70.9,7.7,21.5
E00086779,85.1,6.6,8.3
E00086780,81.9,10.3,7.9
E00086781,64.9,12,23.2
E00086782,69.1,8.5,22.4
E00086783,79.9,9.1,10.9
E00086784,67.2,8.9,23.9
E00086785,78.3,2.9,18.8
E00086786,67.6,8.7,23.7
E00086788,73.8,10.8,15.4
E00086789,69.4,11.7,18.9
E00086790,68.6,12.3,19
E00086791,75.6,10.9,13.6
E00086792,49.5,17.3,33.2
E00086793,66.9,24.9,8.2
E00086794,70.4,18.2,11.4
E00086795,77.5,7.6,14.9
E00086796,70.7,8.8,20.5
E00086798,65.1,9.2,25.7
E00086799,68.9,16.8,14.3
E00086800,68.7,15.5,15.8
E00086801,74.8,6.6,18.6
E00086802,63.5,12.7,23.8
E00086803,63,27.3,9.7
E00086804,52.2,20.3,27.6
E00086805,61.5,18.5,20
E00086806,69.6,7,23.4
E00086807,69.3,8.9,21.8
E00086808,74.6,8.8,16.6
E00086809,56.5,34.7,8.8
E00086810,84.5,11,4.5
E00086811,66.7,23.3,10
E00086812,75.4,20,4.6
E00086813,59.7,28.6,11.7
E00086814,50.5,40.1,9.4
E00086815,64.4,13.4,22.2
E00086817,64.4,25.3,10.3
E00086819,49.8,37.2,13
E00086820,65.2,20.4,14.4
E00086821,63.7,23.7,12.6
E00086822,50.6,39.5,9.9
E00086823,56.1,33,10.9
E00086824,51.9,41.8,6.3
E00086825,43,50,7
E00086826,56,24.9,19
E00086827,71.1,12.9,16.1
E00086828,49.7,32,18.3
E00086829,54.8,38.4,6.9
E00086830,63.9,25.1,11
E00086831,59.7,28.2,12.1
E00086832,58.7,29,12.3
E00086833,56.9,30.8,12.3
E00086834,61.6,30.3,8.2
E00086835,54.1,38.7,7.2
E00086836,56.3,30.4,13.4
E00086837,49.9,39.1,11
E00086838,61.6,22.7,15.7
E00086839,55.5,33.6,10.9
E00086841,86.7,6.3,6.9
E00086842,60,34.2,5.8
E00086843,82.8,11.6,5.6
E00086844,79.2,16.5,4.2
E00086845,65.5,27.3,7.2
E00086846,74.2,15.6,10.2
E00086847,78.1,15.4,6.5
E00086848,62.1,29.9,8
E00086849,73.4,22.3,4.3
E00086850,50.7,36.8,12.6
E00086851,63.3,19.8,16.9
E00086852,58.6,25.1,16.3
E00086853,58.1,27.9,14
E00086854,43.3,41.1,15.5
E00086855,56.6,36.9,6.4
E00086856,62.6,30.5,6.8
E00086857,69.2,27.4,3.4
E00086858,61.9,31.6,6.5
E00086859,60.4,23.3,16.4
E00086860,66.6,23.7,9.7
E00086909,75.3,12,12.8
E00086910,53.7,33.7,12.6
E00086911,63.2,12,24.9
E00086912,83.2,6.6,10.1
E00086913,76.3,9.8,13.9
E00086914,74.4,10,15.6
E00086915,52.3,12.1,35.6
E00086916,72,16,12.1
E00086917,71.5,16.8,11.7
E00086918,59.2,27.5,13.3
E00086919,63.6,12.7,23.7
E00086920,61.7,25.6,12.8
E00086921,64.3,18.9,16.8
E00086922,65.6,23,11.4
E00086923,58.7,15.2,26.1
E00086925,62.5,13.7,23.7
E00086926,57.1,11,31.9
E00086929,65.9,19.8,14.2
E00086930,82.5,10,7.5
E00086931,61.7,10.2,28.1
E00086932,53.8,19.1,27.1
E00086933,71.8,6.8,21.4
E00086934,71.4,6.9,21.7
E00086935,72.5,18,9.4
E00086936,83.8,7.1,9.1
E00086937,70.5,18.6,10.9
E00086938,70.3,16.7,13
E00086939,82.2,7.1,10.7
E00086940,77.8,11.3,10.9
E00086941,72.4,7.3,20.3
E00086942,71.8,11.7,16.5
E00086943,63.6,21.4,15
E00086944,76.7,16,7.2
E00086945,80.4,11,8.5
E00086946,74.5,11.5,14
E00086947,67.4,15,17.5
E00086948,74.8,15.7,9.4
E00086949,62.6,21.2,16.2
E00086950,69,19.9,11.2
E00086951,80.6,13.5,5.9
E00086952,74.5,11.5,14
E00086953,82,8.8,9.2
E00086954,56.7,22.3,21
E00086955,66.9,16.7,16.4
E00086956,61.4,12.2,26.4
E00086957,56,17.6,26.3
E00086958,44.5,14.6,40.9
E00087052,65.8,7.8,26.5
E00087053,57.7,13.7,28.6
E00087054,70.1,16.9,13
E00087055,81.7,7.2,11.1
E00087056,69.5,13.2,17.3
E00087057,78.8,12.4,8.9
E00087058,66.4,8.7,24.9
E00087059,53.4,8.4,38.2
E00087060,68.6,10,21.4
E00087061,72.5,16.6,10.9
E00087062,70,17.8,12.2
E00087063,73.7,8,18.3
E00087064,73.9,10.9,15.2
E00087065,70.8,12.4,16.8
E00087066,72.1,9.7,18.2
E00087067,70.8,15.9,13.2
E00087069,61.3,9.6,29.1
E00087070,55,8.7,36.3
E00087071,64.5,8.1,27.5
E00087072,70.8,5.8,23.5
E00087073,57.2,7.6,35.2
E00087074,72.4,17.2,10.4
E00087075,67.9,10.4,21.7
E00087076,71.1,12.8,16
E00087077,63.5,17.3,19.2
E00087078,66.1,12.4,21.5
E00087079,81.6,5.3,13.2
E00087080,72.3,6.1,21.6
E00087081,59,13.6,27.4
E00087082,67.6,8.7,23.6
E00087083,64.2,6.3,29.4
E00087084,64,7.3,28.7
E00087085,57.1,15.5,27.4
E00087086,85.4,0.7,14
E00087087,68.4,5.7,25.9
E00087088,60.3,16.6,23.1
E00087089,66.7,8.2,25.2
E00087090,68.8,6.8,24.4
E00087091,52.7,6.2,41.1
E00087092,72.2,4.2,23.6
E00087093,75.2,13.4,11.3
E00087094,66.6,14.4,19.1
E00087095,73,9.6,17.4
E00087096,77.1,6.5,16.5
E00087097,70.9,9.7,19.4
E00087098,72.7,16.7,10.6
E00087099,85.3,5,9.7
E00087100,77.9,11.7,10.4
E00087101,72.9,10,17.1
E00087102,73,16,11
E00087103,88.7,5.7,5.7
E00087104,53.1,36.5,10.4
E00087105,53.8,20.8,25.4
E00087106,74.3,18,7.7
E00087107,62.8,18.3,19
E00087108,63.6,21.1,15.4
E00087109,62.1,26.3,11.7
E00087110,87.2,6.4,6.4
E00087111,50.2,25.4,24.3
E00087112,88.1,6.1,5.8
E00087113,71.6,21.6,6.8
E00087114,66.2,19.7,14.1
E00087115,56.3,23.8,19.9
E00087116,63.2,17.1,19.6
E00087117,60.1,26.9,13
E00087118,45.1,33,22
E00087119,80.3,11.5,8.2
E00087120,52.8,38.2,9
E00087121,76.1,14.2,9.7
E00087122,54.4,32.8,12.7
E00087123,71.7,10.9,17.4
E00087124,53.5,31.6,14.9
E00087125,67.9,9.5,22.6
E00087126,80.8,11.7,7.5
E00087127,86,7.8,6.2
E00087128,89.9,6.5,3.7
E00087129,51.2,35.6,13.2
E00087130,82.5,12.2,5.3
E00087131,64.6,22.7,12.7
E00087132,54,23.8,22.3
E00087133,69.4,15.3,15.3
E00087134,86.9,9.1,4.1
E00087135,51.8,18.2,29.9
E00087136,50.5,20.4,29.1
E00087137,83.7,7.9,8.4
E00087138,80.4,14.9,4.7
E00087139,79.6,9.9,10.5
E00087140,66.3,19,14.8
E00087141,87.7,7.6,4.7
E00087142,89,7.8,3.2
E00087143,85.7,6.6,7.6
E00087144,61.3,26.2,12.5
E00087145,54.5,36.5,9
E00087146,82.3,9.3,8.4
E00087147,50.9,26.7,22.4
E00103085,69.3,2.1,28.6
E00103086,63.5,3.6,32.8
E00103087,72.1,4.3,23.6
E00103088,73.5,5.4,21.1
E00103089,71.3,6.2,22.4
E00103090,65.3,3.2,31.5
E00103091,71.3,2.9,25.7
E00103092,65,5.5,29.6
E00103093,71.6,4.5,23.9
E00103094,64.6,4,31.4
E00103096,85.3,2.4,12.4
E00103097,67.6,5.1,27.3
E00103101,81.5,3.7,14.8
E00103102,89.4,3,7.6
E00103103,90.6,2.4,6.9
E00103104,83.1,1.3,15.6
E00103105,77,5.9,17.1
E00103106,80.5,6.1,13.4
E00103107,87.1,3.7,9.1
E00103108,84.7,5.2,10.1
E00103109,73.5,3.5,22.9
