geography_code,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E00006932,22,14.1,48.2,15.7
E00006933,26.3,14.9,39.4,19.4
E00006934,23.2,15.7,44.9,16.2
E00006935,26.2,17.3,37.1,19.3
E00006936,26.7,8.6,40.1,24.6
E00006937,27.9,15,27,30
E00006938,22,17,45,16.1
E00006939,37.6,16.8,28.7,16.8
E00006940,39,25.6,15.3,20.1
E00006941,25.9,22.2,32.4,19.4
E00006942,27.6,13.6,45.2,13.6
E00006943,23.1,15.6,41.3,20
E00006944,32.8,18,27.9,21.3
E00006945,31.6,14.4,26.7,27.3
E00006946,18.3,18.3,48.4,15
E00006947,31.3,15.7,26.5,26.5
E00006948,31.8,14.5,30.1,23.7
E00007416,28.8,10.2,36.2,24.9
E00007434,36.7,21,23.8,18.6
E00007436,18.3,11.1,45,25.6
E00007438,36.1,15,31.7,17.2
E00007439,24.1,15.9,40.6,19.4
E00007441,37.8,16.7,33.3,12.2
E00007442,26.1,15.6,31.3,27
E00007444,21.7,15.9,49.7,12.7
E00007445,44.9,12.3,31.2,11.6
E00007446,32.6,10.7,38.8,18
E00007447,27.1,15.6,39.2,18.1
E00007448,29.7,19.6,36.1,14.6
E00007449,28.3,15.8,40.8,15
E00007450,31.7,21.1,24.6,22.6
E00007451,25.9,23.3,23.8,26.9
E00007584,24.8,13.1,47.7,14.4
E00007585,32.2,19.2,23.3,25.3
E00007586,34,17.8,27.9,20.3
E00007587,32.9,20.9,34.9,11.3
E00007588,31.9,22.2,30.4,15.5
E00007589,28.2,14.7,36.8,20.2
E00007590,29,21.4,37.4,12.2
E00007591,24.4,8.7,50.6,16.3
E00007594,36.2,20.7,26.7,16.4
E00007595,30.9,16,39.9,13.3
E00007607,24,15,42.7,18.3
E00007613,21,23.1,37.4,18.5
E00007614,27.9,8.9,55.3,7.8
E00007616,37.5,17.4,19.8,25.4
E00007617,28.2,13.6,47.5,10.7
E00007618,25,18.2,39.2,17.6
E00007619,33.3,18.3,26.1,22.2
E00007620,32.2,17.1,30.3,20.4
E00007621,35.9,14.5,20,29.7
E00007708,41.1,18.4,19.6,20.9
E00007712,40.6,14,25.6,19.8
E00007732,35.6,16,25,23.4
E00007739,35.7,16.3,27.1,20.8
E00007743,40,11.3,25.6,23.1
E00008537,44.2,5.8,35.6,14.4
E00008538,25,4,60.2,10.8
E00008539,23,4.6,61.8,10.5
E00008540,33.3,11.1,47.8,7.8
E00008542,32.2,5.5,56,6.2
E00008543,34.2,2.9,44.4,18.5
E00008544,45.3,10.9,27.7,16.1
E00008545,21.4,1.6,68.8,8.3
E00008548,27.3,3.3,63.3,6
E00008549,31.6,3.9,58.3,6.1
E00008550,20.1,6,64.9,9
E00008552,27.4,4.3,58.1,10.2
E00008554,25.5,5.6,58.7,10.2
E00008555,25,5.9,58.1,11
E00008557,38.1,10.2,37.3,14.4
E00008558,46.5,8.8,27.2,17.5
E00008559,28.5,3.8,62,5.7
E00008560,25.6,4.4,63.6,6.4
E00008561,40.8,5.1,34.7,19.4
E00008563,20.4,10.5,58.6,10.5
E00008570,23,3.8,56.5,16.7
E00008576,39.7,10.3,29.5,20.5
E00008577,25.8,5.7,66,2.5
E00008578,30.5,8.5,52,8.9
E00008984,29.1,3.4,34.6,32.9
E00008988,27,2.8,61.7,8.5
E00008992,33.1,2.9,50.4,13.7
E00008996,26.6,5,66.9,1.4
E00009016,42.1,6.9,29.6,21.4
E00009025,58.3,12.6,13.6,15.5
E00009029,29.7,8.5,32.7,29.1
E00009832,20.1,4.4,64.2,11.3
E00009833,20.8,5.4,68.5,5.4
E00009834,26.9,5,57.5,10.6
E00009835,21.6,4.7,64.2,9.5
E00009836,28.8,8.8,48.8,13.6
E00009837,26.7,9.9,49.5,13.9
E00009838,21.9,5.9,67.4,4.8
E00009839,15.7,9.6,68.1,6.6
E00009840,18.7,6.6,69.7,5.1
E00009841,18.2,5.3,70,6.5
E00009842,29,13.6,46.9,10.5
E00009843,20.7,5.2,62.6,11.5
E00009844,14.7,9.5,67.4,8.4
E00009845,22.2,6.3,60.8,10.8
E00009846,16.6,4,72.6,6.9
E00009847,24.1,8,63.8,4
E00009848,29,7.7,53.3,10.1
E00009849,17,8.2,66.1,8.8
E00009850,22.4,8.6,62.1,6.9
E00009851,24.4,5.5,64.7,5.5
E00009852,21.2,4.2,66.7,7.9
E00009853,21.1,7.3,61.8,9.8
E00009854,19.3,7.5,67.7,5.6
E00009855,24.4,4.7,62.4,8.5
E00009856,24.6,7.3,58.1,10.1
E00009857,13.4,9.9,69.2,7.6
E00009858,25.2,6.9,61.1,6.9
E00009859,26.9,7.8,59.9,5.4
E00009860,24.7,6.6,59.6,9
E00009861,12.7,6.8,74.6,5.9
E00009862,19.5,5.8,66.2,8.4
E00009863,21,7.7,60.1,11.2
E00009864,26.1,8.5,50.3,15
E00009865,26.1,15.5,44.1,14.3
E00009866,17,6.3,71,5.7
E00009867,34.7,16.7,33.3,15.3
E00009868,28.3,13.8,33.3,24.6
E00009869,31.3,19.8,26.4,22.5
E00009870,28.7,15.7,40.9,14.8
E00009871,42.3,11,28,18.7
E00009872,42.2,11.1,33.3,13.3
E00009873,25.3,12,41,21.7
E00009874,34.8,14.4,34.1,16.7
E00009875,25.8,14,35.4,24.7
E00009876,24,14.6,37.8,23.6
E00009877,27,18.2,35.1,19.7
E00009878,38,19.8,30.6,11.6
E00009879,27.7,9.5,47.3,15.5
E00009880,18.9,20.1,44,17
E00009881,27.3,24.1,25.1,23.5
E00009882,33.3,16.7,35.5,14.5
E00009883,30.4,9.5,45.3,14.9
E00009884,42.5,16.8,26.3,14.5
E00009885,34.6,17.8,19.6,28
E00009886,42.9,12.2,25.5,19.4
E00009887,39.8,22.2,14.8,23.1
E00009888,33.1,14,28.1,24.8
E00009889,20.1,5.7,64.2,10.1
E00009890,25.9,8.6,40.3,25.2
E00009892,21.4,8.1,48,22.5
E00009893,30.8,12.1,42,15.2
E00009894,21.5,8.5,53.1,16.9
E00009895,27,20.8,32.6,19.7
E00009896,28,18,31.8,22.3
E00009897,24.1,14.1,50.6,11.2
E00009898,34.9,14.3,31.4,19.4
E00009899,23.5,19.4,35.9,21.2
E00009900,27.7,17.3,31.5,23.5
E00009901,23.4,13.8,43.1,19.7
E00009902,28.6,12.3,36.8,22.3
E00009903,30.5,14.9,36.9,17.7
E00009904,29.2,14,45.5,11.2
E00009905,35,17.7,29.1,18.2
E00009945,38.8,7,47.2,7
E00009946,23.8,3.2,65.1,7.9
E00009947,37.7,8,46.3,8
E00009948,24,4,69.3,2.7
E00009949,19.8,5.6,69.8,4.9
E00009950,21.9,5.5,61.6,11
E00009951,14.9,5.3,70.2,9.6
E00009952,19.8,2.3,69.5,8.5
E00009953,23.8,5.4,60.5,10.2
E00009954,17.9,3.8,74.1,4.2
E00009955,17.6,2.3,74,6.1
E00009956,26.6,7,58.3,8
E00009957,23.2,3.7,61.6,11.6
E00009958,25,3.2,66,5.8
E00009959,19.6,6.1,68.2,6.1
E00009960,24.7,4.7,62,8.7
E00009961,22.7,6.1,62.1,9.1
E00009962,23.5,4.9,62.8,8.7
E00009963,28.3,3.4,62.8,5.5
E00009964,20.4,2.1,73.9,3.5
E00009965,19.7,3.4,70.7,6.1
E00009967,21.8,2.4,69.7,6.1
E00009968,23.7,4.2,63.6,8.5
E00009969,19.4,7,66.7,7
E00009970,21.5,2.9,67.3,8.3
E00009971,26.4,7.4,61.2,5
E00009972,23,4.5,64,8.4
E00009973,19,5.8,67.9,7.3
E00009974,18.7,4.7,69.3,7.3
E00009975,29.4,3.3,64.1,3.3
E00009976,21.8,5.3,62.4,10.6
E00009978,25.3,5.3,58.8,10.6
E00009979,25,4.7,65.6,4.7
E00009980,29.9,4.2,61.1,4.8
E00009982,33.6,2.9,57.7,5.8
E00009983,19.5,4.7,67.8,8.1
E00009984,29,3,59.8,8.3
E00009985,31,2.5,56,10.5
E00009986,11.2,7.3,77,4.5
E00009987,31.7,3.1,54.7,10.6
E00009988,22.3,11.2,55.3,11.2
E00009990,19.1,2.7,71.8,6.4
E00009991,18.1,11,64.6,6.3
E00009992,21.3,3.7,62.8,12.2
E00009993,22.6,7.1,67.3,3
E00009994,23.7,5.8,66,4.5
E00009995,23.6,9.9,55.5,11
E00009996,28.8,6.9,51.3,13.1
E00009997,23.1,7.7,57.7,11.5
E00009998,22.8,9.9,55.9,11.4
E00009999,24.1,5.4,63.4,7.1
E00010000,23.1,6.2,65.4,5.4
E00010001,34.9,3.9,55.3,5.9
E00010002,14.8,0.9,72.2,12
E00010003,24.3,6.9,61.8,6.9
E00010004,24.4,10.6,55.6,9.4
E00010005,23.6,5.2,64.4,6.9
E00010006,18.1,4.2,74.7,3
E00010007,22.5,6.9,63.8,6.9
