areacd,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E00063850,44.9,3.8,51.3
E00063851,55.7,4.4,39.9
E00063852,53.3,5.6,41.1
E00063853,45.5,3.7,50.8
E00063854,44.1,3.7,52.1
E00063855,50.2,4.9,44.9
E00063856,55.2,4.2,40.6
E00063857,56.8,7,36.2
E00063858,37,2.2,60.9
E00063860,43.7,5.8,50.5
E00063861,47.3,2.9,49.8
E00063862,49.4,0,50.6
E00063863,58.8,2.5,38.8
E00063869,53.3,2.2,44.4
E00063870,36.1,6,57.9
E00063871,33.3,8,58.6
E00063872,54,7.2,38.8
E00063873,51.7,5.7,42.6
E00063874,43.2,7.4,49.4
E00063875,47.9,7.2,44.9
E00063876,42.9,4.9,52.2
E00063877,53.3,6.7,40
E00063878,41.6,8.2,50.2
E00063879,48.2,10.1,41.7
E00063880,25.1,5.7,69.1
E00063881,17.6,1,81.4
E00063882,28,8,64
E00063883,61,2.6,36.4
E00063884,43.9,3.9,52.1
E00063885,33.6,12.3,54.1
E00063886,45.7,6,48.3
E00063887,56.5,8.5,35.1
E00063888,46.2,6.5,47.3
E00063889,51.3,6.5,42.2
E00063890,32,8.7,59.3
E00063891,48.3,9.5,42.3
E00063892,46,5.9,48.1
E00063893,35.4,7.5,57.1
E00063894,36.5,6.1,57.5
E00063895,58.6,3.6,37.8
E00063896,36,7.9,56.2
E00063897,57.8,4.7,37.6
E00063898,38.8,6.5,54.7
E00063899,56.7,4.1,39.2
E00063900,45.2,5,49.8
E00063901,60.7,2.4,36.9
E00063902,39.9,10.6,49.5
E00063903,44.2,6.1,49.7
E00063904,58.6,1.4,40
E00063905,56.3,4.7,39.1
E00063906,45.5,7.1,47.5
E00063907,61.1,4.2,34.6
E00063908,57.4,5.1,37.5
E00063909,49.3,2.6,48
E00063910,46.5,6.1,47.4
E00063911,52.2,9.6,38.2
E00063912,58.2,9,32.8
E00063914,40.4,8.8,50.8
E00063916,44.1,7.5,48.4
E00063917,54.2,5.7,40.1
E00063918,43.1,10.2,46.7
E00063919,53.8,4.8,41.4
E00063920,39,8.7,52.3
E00063921,45.5,7.6,46.9
E00063922,46.5,8.9,44.7
E00063923,48.7,7.2,44.2
E00063924,58.8,4.4,36.7
