areacd,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E00025383,87.3,10,2.7
E00025384,84.3,11.3,4.4
E00025385,85.2,11,3.8
E00025387,67.1,23.8,9
E00025388,88.4,8.5,3.1
E00025389,88.2,8.2,3.6
E00025390,76.2,16.7,7.1
E00025391,73.8,17.2,9
E00025392,84,13.4,2.7
E00025393,81.8,13.1,5.1
E00025394,78.7,16.8,4.5
E00025395,84,12.1,3.8
E00025396,82.4,13.4,4.2
E00025397,84.4,11,4.6
E00025399,88,9.9,2.1
E00025400,82.3,10.8,6.9
E00025401,78.7,13.8,7.6
E00063399,84.1,10.2,5.8
E00063400,77.7,14.7,7.6
E00063417,87.3,9.5,3.2
E00063418,75.7,12.9,11.3
E00063484,86.3,9.7,4
E00063485,83.9,10.9,5.1
E00063486,83,12.8,4.3
E00063487,81.5,13.6,4.9
E00063488,78.8,15.9,5.3
E00063489,87.5,9.7,2.8
E00063544,80.9,13.6,5.5
E00063587,78.1,14.7,7.1
E00063588,76.1,15.4,8.5
E00063589,91.1,7.3,1.5
E00063590,73.9,17.6,8.4
E00063591,82.1,14,3.9
E00063592,70.6,19.4,9.9
E00063595,78.9,14.5,6.5
E00063596,80.6,10.9,8.5
E00063597,83.1,12.9,4
E00063598,81.6,10.9,7.5
E00063600,77.3,15.1,7.6
E00063601,86.2,10.9,2.9
E00063603,88.1,8.5,3.4
E00063604,82.5,11.7,5.8
E00063605,72.4,20,7.6
E00063606,50,24.5,25.5
E00063651,92.2,6.4,1.5
E00063652,89.9,8.3,1.8
E00063654,75.7,17.8,6.5
E00063655,77.4,15.5,7.1
E00063656,85.5,12.1,2.4
E00063674,82.9,11.5,5.6
E00063675,76.2,14.6,9.1
E00063701,76.3,18.6,5.1
E00063702,72.9,19.8,7.3
E00063703,74.3,15.1,10.5
E00063704,77.7,15.7,6.6
E00063705,77.1,13.8,9.1
E00063706,75.2,14.9,9.8
E00063707,82.7,12.8,4.5
E00063708,77.5,15.7,6.8
E00063709,78.2,14.9,6.9
E00063710,75.8,15.2,9.1
E00063711,77.1,16,6.9
E00063712,65.7,22.9,11.4
E00063713,71.4,17.2,11.5
E00063714,77.4,11.8,10.8
E00063715,68.7,20.4,10.9
E00063721,78.8,13.9,7.2
E00063722,81.6,9.5,8.9
E00063723,82.9,12,5.1
E00063724,80.6,13.8,5.6
E00063725,81.7,10.8,7.4
E00063743,76.2,16.8,7
E00063745,67.9,16.2,15.9
E00063747,68.8,19.8,11.4
E00063748,75.6,18.5,5.9
E00063752,73.1,18.7,8.2
E00063761,75,18.5,6.5
E00063763,80,12.6,7.4
E00063764,57,20,23
E00063766,78.1,15.4,6.5
E00063812,88.4,7.4,4.3
E00063813,89.5,9,1.5
E00063814,84.7,11.6,3.6
E00063815,83.2,10.8,6.1
E00063816,80.2,15.7,4.1
E00063817,80.3,13.1,6.6
E00063818,86.4,12.6,0.9
E00063821,80.4,15,4.6
E00063822,75.1,17.2,7.7
E00127066,83.1,13.7,3.1
E00127067,78.4,15,6.6
E00127074,74.8,15.4,9.8
E00127075,80.2,14.2,5.5
E00127076,73.6,16.8,9.6
E00127077,81.8,12.6,5.7
E00127078,75.4,16.4,8.2
E00127080,80.3,13.9,5.8
E00127081,77.4,15.5,7.2
E00127082,82.6,11,6.4
E00127083,78.3,17.9,3.8
E00127084,83,12.8,4.3
E00127085,84.5,11.4,4.1
E00127086,86,8.6,5.4
E00127087,88.9,7.9,3.2
E00127088,90.3,7.7,2
E00127089,86.4,9.1,4.5
E00127090,84.5,11.9,3.6
E00127091,89.3,9,1.8
E00127092,77,17.8,5.2
E00127093,81.8,15.6,2.5
E00127154,83.3,12,4.7
E00127155,78.2,15.4,6.4
E00127156,76.1,16.7,7.2
E00127157,73.2,20.7,6.1
E00127158,56.4,23.9,19.7
E00127159,86.9,8,5.1
E00127160,78.4,18,3.6
E00127161,46.1,31.8,22.1
E00127162,86.6,10.5,2.8
E00127163,75,19.5,5.5
E00127164,77.2,15.6,7.1
E00127165,86.3,12.2,1.5
E00127166,78.1,14.1,7.8
E00127167,52,30.5,17.5
E00127168,74.9,15.7,9.4
E00127263,75.8,15.6,8.6
E00127264,84.4,10.5,5.1
E00127265,75.8,17.1,7.1
E00127266,79.1,13.5,7.4
E00127267,63.7,22.6,13.7
E00127268,83.9,13.4,2.6
E00127269,80.9,11.7,7.4
E00127270,80.5,14.1,5.4
E00127271,81.2,11.7,7.1
E00127272,45.9,33.9,20.2
E00127274,56.4,20.8,22.8
E00127276,65.3,24.7,10
E00127277,76.4,16.8,6.8
